gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378147.864687,-1.216350,4.345366,-0.094683,-0.079428,-0.044171
6378137.631022,4.378164,2.972112,0.017488,0.035957,-0.992871
6378137.334772,-7.096918,-3.877580,-0.120268,0.011304,-1.980965
6378144.647155,3.032026,-6.360973,-0.157098,-0.020068,-1.975412
6378140.242410,-10.160633,-0.889368,-0.092567,0.078305,-2.004639
6378129.408862,0.909618,-9.312741,-0.128735,0.094745,-2.005231
6378137.798062,0.218003,-4.452377,-0.134683,0.092376,-2.034802
6378137.261383,-10.670952,-11.291822,-0.116905,0.085419,-2.031385
6378142.269678,15.100277,-8.204828,-0.229874,0.019504,-1.933761
6378138.130227,-1.817502,-23.623780,-0.151981,0.010546,-2.099007
6378143.268462,7.069981,-22.772497,-0.196640,0.000520,-2.013537
6378134.989416,2.707307,-28.466595,-0.115429,0.054717,-1.976989
6378143.278359,-3.936579,-11.005069,-0.141000,-0.023653,-1.979205
6378131.413294,2.636524,-25.569288,-0.110980,0.017803,-2.018369
6378128.740255,-14.845569,-20.833335,-0.064904,0.018586,-1.939551
6378139.837228,5.360439,-22.044247,-0.355950,0.142888,-1.926121
6378133.844738,-6.258899,-38.000429,-0.265169,0.272944,-1.761263
6378138.943442,5.663549,-27.769776,-0.415684,0.397053,-1.626572
6378136.842854,13.283532,-29.311373,-0.528416,0.423323,-1.618049
6378142.402910,3.364412,-35.245369,-0.725156,0.529807,-1.415985
6378124.666170,2.306272,-40.679673,-0.780812,0.617294,-1.299607
6378122.238633,8.756240,-36.759930,-0.819713,0.569610,-1.230882
6378123.914375,6.254091,-41.395425,-0.968893,0.728147,-1.134132
6378123.017379,-2.318959,-37.220606,-1.105745,0.685321,-0.924396
6378131.710277,6.775276,-23.681331,-1.210890,0.789012,-0.937214
6378122.661170,9.659777,-47.711040,-1.613511,0.665789,-1.975724
6378123.421056,-0.147344,-42.080983,-1.998958,0.477879,-2.097568
6378120.145037,6.077619,-23.161359,-2.005586,0.416476,-2.060457
6378106.310920,4.593177,-49.829727,-2.092898,0.481055,-1.911027
6378120.211140,9.675684,-57.581504,-2.151506,0.407105,-1.950539
6378117.576966,2.895817,-53.023256,-2.106976,0.367683,-1.957536
6378122.661353,3.132166,-54.362394,-2.136593,0.455405,-1.984052
6378120.214041,5.985346,-57.894389,-2.210844,0.290264,-1.882587
6378112.104302,21.564010,-59.453370,-2.009693,0.376984,-1.981001
6378103.281620,13.211455,-57.976039,-2.038634,0.372448,-1.971174
6378110.134072,4.946752,-64.776967,-2.179432,0.406272,-1.911238
6378105.476352,17.626295,-63.151075,-2.021437,0.392375,-1.979484
6378100.822615,12.631062,-58.652505,-2.122191,0.249536,-1.902319
6378101.456459,7.556776,-64.094053,-2.070295,0.297388,-1.928131
6378097.700390,7.466862,-52.416047,-2.057604,0.326658,-1.946834
6378103.526016,11.660556,-76.594460,-2.332242,0.333435,-1.507987
6378087.885825,15.372785,-66.779434,-2.474584,0.090063,-1.192382
6378095.421051,1.588360,-67.691951,-2.432102,-0.037834,-1.138654
6378090.379000,16.286356,-79.776193,-2.416625,-0.078507,-1.145523
6378090.177359,13.167049,-74.305536,-2.238055,-0.204923,-1.253111
6378080.108604,15.660921,-72.027276,-2.038884,-0.470851,-1.471526
6378082.251019,13.812198,-92.682046,-1.632784,-0.534110,-1.915113
6378079.054568,10.912185,-89.182910,-1.173877,-0.831212,-2.169380
6378087.337394,12.555799,-72.792976,-0.565270,-0.726911,-2.469143
6378076.761923,11.292749,-93.524048,-0.039681,-0.603508,-2.592007
6378077.505284,15.978442,-86.966902,-0.657727,-1.228739,-2.881509
6378078.515229,12.398173,-86.102904,-1.258753,-1.930370,-3.336263
6378079.732372,13.902887,-93.958769,-1.454478,-2.009556,-3.373208
6378084.886191,1.068493,-86.513438,-1.465504,-2.067133,-3.380507
6378073.992034,1.804960,-93.844571,-1.440388,-2.000935,-3.418843
6378080.203135,2.318577,-115.563188,-1.431873,-2.014670,-3.432054
6378068.963012,-6.149053,-106.114402,-1.409299,-2.026263,-3.465497
6378062.989222,-4.591233,-119.184931,-1.474051,-2.024291,-3.378236
6378071.853295,-17.869335,-109.815270,-1.507062,-2.076969,-3.462965
6378062.675307,-11.485653,-118.716129,-1.458741,-1.936265,-3.358501
6378067.987226,-7.567619,-120.974851,-1.486740,-1.997437,-3.445161
6378064.982790,-26.428793,-129.559973,-1.465098,-2.016625,-3.334034
6378063.496206,-25.347597,-122.634159,-1.054453,-1.679506,-3.597390
6378055.832895,-20.718578,-128.846123,-0.295578,-1.121691,-3.851883
6378066.289231,-25.099045,-141.244063,0.657261,-0.475591,-3.849802
6378067.070607,-23.004368,-138.684778,1.398192,0.096192,-3.466049
6378064.482614,-19.802696,-143.551522,2.028187,0.636221,-2.970254
6378065.633864,-19.499935,-149.806674,2.425183,1.167695,-2.293598
6378071.128393,-23.618332,-148.727331,2.672563,1.775389,-1.321561
6378069.260312,-3.897280,-141.948780,2.512580,2.169499,-0.433852
6378080.913133,-12.456844,-152.212450,2.078792,2.500887,0.442510
6378077.833592,-9.540065,-134.951807,1.443511,2.622795,1.131020
6378073.527525,-6.862886,-150.147365,1.036896,3.203905,1.500396
6378074.848389,-0.902156,-155.318614,1.338098,4.065740,1.245567
6378092.662883,0.035277,-148.562223,1.294746,4.293284,1.250555
6378077.367757,4.017500,-143.146410,1.184548,4.320202,1.257351
6378079.922969,10.990391,-152.593836,1.138418,4.280090,1.247670
6378081.557275,13.484011,-129.681627,1.048158,4.374590,1.222134
6378081.924170,11.944554,-131.730858,1.110798,4.362008,1.232336
6378088.341926,26.443874,-152.133379,1.054285,4.358685,1.229083
6378086.992686,23.117944,-152.236712,1.117453,4.343570,1.347724
