ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.652757,0.000000,-16.617507
27.653588,-0.000876,-16.616125
27.655249,-0.002540,-16.613359
27.657740,-0.004912,-16.609211
27.661061,-0.007920,-16.603679
27.665156,-0.011499,-16.596853
27.669944,-0.015589,-16.588865
27.675353,-0.020138,-16.579835
27.681316,-0.025096,-16.569871
27.687773,-0.030420,-16.559070
27.694671,-0.036071,-16.547520
27.701959,-0.042012,-16.535302
27.709595,-0.048211,-16.522486
27.717537,-0.054640,-16.509139
27.725750,-0.061271,-16.495319
27.734201,-0.068081,-16.481080
27.742860,-0.075048,-16.466469
27.751701,-0.082152,-16.451531
27.760700,-0.089377,-16.436304
27.769834,-0.096706,-16.420824
27.779085,-0.104124,-16.405124
27.788435,-0.111619,-16.389232
27.797868,-0.119180,-16.373175
27.807369,-0.126794,-16.356977
27.816925,-0.134454,-16.340658
27.826526,-0.142150,-16.324239
27.836159,-0.149875,-16.307737
27.845817,-0.157622,-16.291168
27.855490,-0.165384,-16.274545
27.865171,-0.173155,-16.257883
27.874854,-0.180931,-16.241192
27.884531,-0.188707,-16.224483
27.894197,-0.196479,-16.207766
27.903848,-0.204243,-16.191048
27.913479,-0.211996,-16.174339
27.923086,-0.219735,-16.157644
27.932666,-0.227457,-16.140971
27.942215,-0.235160,-16.124324
27.951731,-0.242841,-16.107708
27.961211,-0.250499,-16.091129
27.970653,-0.258132,-16.074590
27.980055,-0.265738,-16.058094
27.989416,-0.273317,-16.041647
27.998733,-0.280866,-16.025249
28.008005,-0.288385,-16.008904
28.017232,-0.295874,-15.992614
28.026412,-0.303330,-15.976381
28.035544,-0.310753,-15.960207
28.044628,-0.318143,-15.944094
28.053663,-0.325499,-15.928043
28.062648,-0.332821,-15.912055
28.071584,-0.340108,-15.896132
28.080469,-0.347360,-15.880275
28.089303,-0.354576,-15.864484
28.098086,-0.361757,-15.848760
28.106818,-0.368902,-15.833105
28.115499,-0.376011,-15.817517
28.124128,-0.383084,-15.801999
28.132706,-0.390120,-15.786549
28.141233,-0.397120,-15.771170
28.149709,-0.404084,-15.755860
28.158133,-0.411011,-15.740621
28.166506,-0.417902,-15.725451
28.174828,-0.424756,-15.710352
28.183099,-0.431574,-15.695324
28.191319,-0.438356,-15.680366
28.199489,-0.445102,-15.665478
28.207608,-0.451812,-15.650661
28.215678,-0.458485,-15.635915
28.223697,-0.465123,-15.621239
28.231667,-0.471725,-15.606633
28.239587,-0.478291,-15.592097
28.247458,-0.484822,-15.577631
28.255280,-0.491317,-15.563235
28.263053,-0.497777,-15.548908
28.270778,-0.504202,-15.534651
28.278455,-0.510592,-15.520464
28.286084,-0.516947,-15.506345
28.293665,-0.523268,-15.492295
28.301199,-0.529554,-15.478314
28.308686,-0.535806,-15.464401
28.316127,-0.542023,-15.450557
28.323520,-0.548207,-15.436780
28.330868,-0.554357,-15.423071
28.338170,-0.560473,-15.409429
28.345426,-0.566556,-15.395855
28.352637,-0.572605,-15.382347
28.359803,-0.578621,-15.368906
28.366925,-0.584605,-15.355531
28.374002,-0.590555,-15.342222
28.381034,-0.596473,-15.328980
28.388024,-0.602359,-15.315802
28.394969,-0.608212,-15.302690
28.401871,-0.614033,-15.289643
28.408731,-0.619822,-15.276660
28.415547,-0.625580,-15.263742
28.422322,-0.631306,-15.250889
28.429054,-0.637000,-15.238098
28.435744,-0.642664,-15.225372
28.442393,-0.648296,-15.212709
28.449001,-0.653898,-15.200108
28.455567,-0.659469,-15.187571
28.462093,-0.665009,-15.175096
28.468579,-0.670519,-15.162683
28.475024,-0.675999,-15.150332
28.481429,-0.681448,-15.138042
28.487795,-0.686868,-15.125814
28.494122,-0.692259,-15.113647
28.500409,-0.697619,-15.101540
28.506658,-0.702951,-15.089494
28.512868,-0.708253,-15.077509
28.519039,-0.713526,-15.065583
28.525173,-0.718770,-15.053717
28.531269,-0.723986,-15.041910
28.537327,-0.729173,-15.030162
28.543348,-0.734332,-15.018473
28.549332,-0.739462,-15.006843
28.555280,-0.744565,-14.995270
28.561190,-0.749639,-14.983756
28.567065,-0.754686,-14.972300
28.572903,-0.759705,-14.960901
28.578706,-0.764697,-14.949559
28.584473,-0.769662,-14.938274
28.590205,-0.774599,-14.927046
28.595902,-0.779510,-14.915874
28.601563,-0.784393,-14.904758
28.607191,-0.789250,-14.893698
28.612783,-0.794081,-14.882694
28.618342,-0.798885,-14.871744
28.623867,-0.803663,-14.860850
28.629358,-0.808415,-14.850011
28.634816,-0.813141,-14.839227
28.640240,-0.817841,-14.828496
28.645631,-0.822515,-14.817820
28.650990,-0.827164,-14.807197
28.656316,-0.831788,-14.796628
28.661609,-0.836386,-14.786112
28.666871,-0.840960,-14.775649
28.672100,-0.845508,-14.765239
28.677298,-0.850032,-14.754881
28.682464,-0.854531,-14.744576
28.687599,-0.859006,-14.734323
28.692703,-0.863456,-14.724121
28.697776,-0.867882,-14.713971
28.702818,-0.872284,-14.703872
28.707830,-0.876662,-14.693824
28.712812,-0.881016,-14.683827
28.717763,-0.885346,-14.673880
28.722685,-0.889653,-14.663984
28.727577,-0.893937,-14.654137
28.732439,-0.898197,-14.644341
28.737272,-0.902434,-14.634594
28.742076,-0.906648,-14.624896
28.746851,-0.910839,-14.615247
28.751597,-0.915007,-14.605647
28.756315,-0.919153,-14.596096
28.761004,-0.923276,-14.586593
28.765666,-0.927377,-14.577139
28.770299,-0.931455,-14.567732
28.774904,-0.935511,-14.558373
28.779482,-0.939546,-14.549061
28.784033,-0.943558,-14.539796
28.788556,-0.947549,-14.530579
28.793052,-0.951518,-14.521408
28.797521,-0.955465,-14.512284
28.801964,-0.959391,-14.503206
28.806379,-0.963296,-14.494174
28.810769,-0.967180,-14.485188
28.815132,-0.971042,-14.476247
28.819470,-0.974884,-14.467352
28.823781,-0.978704,-14.458502
28.828067,-0.982504,-14.449698
28.832327,-0.986284,-14.440937
28.836562,-0.990043,-14.432222
28.840772,-0.993781,-14.423550
28.844956,-0.997500,-14.414923
28.849116,-1.001198,-14.406340
28.853251,-1.004876,-14.397800
28.857361,-1.008534,-14.389304
28.861447,-1.012173,-14.380851
28.865509,-1.015792,-14.372441
28.869547,-1.019391,-14.364074
28.873561,-1.022970,-14.355749
28.877551,-1.026531,-14.347467
28.881517,-1.030072,-14.339227
28.885460,-1.033594,-14.331029
28.889380,-1.037097,-14.322873
28.893276,-1.040581,-14.314758
28.897150,-1.044046,-14.306685
28.901000,-1.047492,-14.298652
28.904828,-1.050920,-14.290661
28.908633,-1.054329,-14.282711
28.912416,-1.057720,-14.274801
28.916176,-1.061092,-14.266931
28.919915,-1.064447,-14.259102
28.923631,-1.067783,-14.251313
28.927326,-1.071101,-14.243563
28.930998,-1.074401,-14.235853
28.934650,-1.077684,-14.228182
28.938279,-1.080948,-14.220551
28.941888,-1.084195,-14.212958
28.945475,-1.087425,-14.205404
28.949041,-1.090637,-14.197889
28.952586,-1.093832,-14.190412
28.956111,-1.097009,-14.182974
28.959614,-1.100170,-14.175573
28.963098,-1.103313,-14.168211
28.966560,-1.106439,-14.160886
28.970003,-1.109549,-14.153598
28.973426,-1.112642,-14.146348
28.976828,-1.115718,-14.139135
28.980211,-1.118778,-14.131958
28.983573,-1.121821,-14.124819
28.986917,-1.124847,-14.117716
28.990240,-1.127858,-14.110649
28.993545,-1.130852,-14.103619
28.996830,-1.133830,-14.096624
29.000095,-1.136792,-14.089666
29.003342,-1.139738,-14.082743
29.006570,-1.142668,-14.075855
29.009780,-1.145582,-14.069003
29.012970,-1.148481,-14.062186
29.016142,-1.151364,-14.055404
29.019296,-1.154232,-14.048656
29.022431,-1.157084,-14.041944
29.025548,-1.159921,-14.035265
29.028647,-1.162742,-14.028621
29.031728,-1.165549,-14.022011
29.034791,-1.168340,-14.015435
29.037836,-1.171116,-14.008893
29.040864,-1.173877,-14.002384
29.043874,-1.176624,-13.995908
29.046867,-1.179356,-13.989466
29.049842,-1.182073,-13.983057
29.052800,-1.184775,-13.976681
29.055741,-1.187463,-13.970338
29.058666,-1.190136,-13.964027
29.061573,-1.192796,-13.957748
29.064463,-1.195440,-13.951502
29.067337,-1.198071,-13.945288
29.070194,-1.200688,-13.939106
29.073035,-1.203290,-13.932955
29.075859,-1.205878,-13.926837
29.078667,-1.208453,-13.920749
29.081459,-1.211014,-13.914693
29.084235,-1.213561,-13.908668
29.086995,-1.216094,-13.902675
29.089739,-1.218614,-13.896711
29.092467,-1.221120,-13.890779
29.095179,-1.223613,-13.884877
29.097876,-1.226092,-13.879006
29.100558,-1.228558,-13.873164
29.103224,-1.231011,-13.867353
29.105875,-1.233451,-13.861572
29.108510,-1.235877,-13.855820
29.111131,-1.238291,-13.850098
29.113736,-1.240692,-13.844406
29.116327,-1.243079,-13.838742
29.118902,-1.245454,-13.833108
29.121463,-1.247817,-13.827503
29.124009,-1.250166,-13.821927
29.126541,-1.252503,-13.816380
29.129058,-1.254828,-13.810861
29.131561,-1.257140,-13.805370
29.134050,-1.259439,-13.799908
29.136524,-1.261727,-13.794474
29.138984,-1.264002,-13.789068
29.141430,-1.266265,-13.783690
29.143863,-1.268516,-13.778340
29.146281,-1.270754,-13.773017
29.148686,-1.272981,-13.767722
29.151076,-1.275196,-13.762454
