ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000003,-0.000100
6378137.000300,0.000008,-0.000300
6378137.000600,0.000016,-0.000600
6378137.000983,0.000026,-0.001000
6378137.001440,0.000038,-0.001501
6378137.001962,0.000052,-0.002101
6378137.002543,0.000067,-0.002802
6378137.003177,0.000084,-0.003603
6378137.003858,0.000102,-0.004505
6378137.004582,0.000122,-0.005506
6378137.005345,0.000143,-0.006609
6378137.006141,0.000165,-0.007811
6378137.006968,0.000188,-0.009115
6378137.007822,0.000213,-0.010518
6378137.008701,0.000238,-0.012023
6378137.009601,0.000264,-0.013628
6378137.010520,0.000292,-0.015333
6378137.011456,0.000320,-0.017139
6378137.012408,0.000349,-0.019046
6378137.013372,0.000379,-0.021053
6378137.014348,0.000410,-0.023162
6378137.015334,0.000442,-0.025370
6378137.016329,0.000474,-0.027680
6378137.017332,0.000507,-0.030090
6378137.018341,0.000542,-0.032601
6378137.019355,0.000576,-0.035212
6378137.020374,0.000612,-0.037924
6378137.021396,0.000648,-0.040737
6378137.022421,0.000686,-0.043650
6378137.023449,0.000724,-0.046665
6378137.024478,0.000762,-0.049779
6378137.025508,0.000802,-0.052995
6378137.026538,0.000842,-0.056311
6378137.027568,0.000883,-0.059728
6378137.028597,0.000925,-0.063245
6378137.029625,0.000967,-0.066863
6378137.030652,0.001010,-0.070582
6378137.031678,0.001054,-0.074401
6378137.032701,0.001099,-0.078321
6378137.033721,0.001145,-0.082342
6378137.034739,0.001191,-0.086463
6378137.035754,0.001238,-0.090685
6378137.036765,0.001286,-0.095007
6378137.037773,0.001335,-0.099430
6378137.038778,0.001384,-0.103954
6378137.039778,0.001434,-0.108578
6378137.040774,0.001486,-0.113303
6378137.041766,0.001537,-0.118128
6378137.042753,0.001590,-0.123054
6378137.043736,0.001644,-0.128080
6378137.044713,0.001698,-0.133207
6378137.045686,0.001753,-0.138434
6378137.046654,0.001809,-0.143762
6378137.047616,0.001866,-0.149191
6378137.048572,0.001924,-0.154720
6378137.049524,0.001983,-0.160349
6378137.050469,0.002042,-0.166079
6378137.051408,0.002102,-0.171910
6378137.052342,0.002164,-0.177840
