gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378130.316264,-5.274123,6.586349,-0.060911,0.011941,0.028571
6378143.228998,8.592117,9.071602,0.030246,0.083457,-0.919302
6378142.829321,12.074864,-3.362011,0.031842,0.258599,-1.945099
6378135.062520,4.496087,-7.586452,-0.107633,0.266004,-1.996543
6378135.190877,0.066758,-11.421114,-0.176244,0.237092,-1.935283
6378133.009382,5.684786,-6.357503,-0.188346,0.216942,-1.890953
6378134.073453,5.337607,-7.851985,-0.186873,0.360168,-1.932422
6378134.973786,3.399916,-26.658622,-0.234940,0.175841,-1.988378
6378140.821013,5.927833,-22.722729,-0.171673,0.327744,-1.962568
6378138.878042,7.696714,-18.075178,-0.252791,0.366068,-1.841269
6378134.825922,15.228176,-11.478970,-0.294859,0.243499,-1.999550
6378138.555270,4.480230,-17.938503,-0.190654,0.274632,-1.922628
6378139.803566,1.193603,-20.691207,-0.256218,0.335397,-1.977103
6378133.615232,11.875126,-28.222042,-0.286153,0.318924,-2.041403
6378134.177189,-5.028527,-20.925341,-0.258670,0.219527,-1.933574
6378136.141985,-2.542134,-24.704008,-0.160679,0.341549,-1.945303
6378133.097364,-3.975229,-41.803730,-0.438985,0.502120,-1.758450
6378136.163230,2.084416,-28.053407,-0.562003,0.799949,-1.602093
6378137.899508,0.156358,-33.555327,-0.677133,0.824764,-1.350873
6378134.528981,3.071365,-34.748975,-0.756392,0.961307,-1.172800
6378135.781718,17.285447,-26.626976,-0.846017,1.090768,-1.113965
6378128.311600,15.755922,-39.730885,-0.834448,1.162061,-1.093804
6378130.664755,0.558406,-34.457888,-0.807877,1.210951,-0.987951
6378124.551997,4.890601,-35.504676,-0.876787,1.240848,-1.018089
6378125.048021,8.306746,-39.777200,-0.882395,1.220649,-1.071708
6378118.014595,12.745974,-39.089363,-1.380807,1.325315,-1.625096
6378125.482417,23.293177,-35.823297,-2.443655,1.194951,-1.800499
6378122.664413,18.490375,-49.761438,-2.455748,1.078867,-1.862065
6378124.623594,18.246221,-45.967311,-2.542712,0.984551,-1.776913
6378112.002255,26.581237,-45.276245,-2.549330,0.900278,-1.876913
