ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.286479,0.286479,0.004060
0.572957,0.572958,0.007683
0.859435,0.859438,0.010865
1.145911,1.145920,0.013599
1.430169,1.432403,0.015874
1.685284,1.705777,0.017686
1.914041,1.950964,0.019055
2.118964,2.170659,0.020005
2.302331,2.367301,0.020560
2.466208,2.543097,0.020751
2.612461,2.700044,0.020606
2.742779,2.839948,0.020155
2.858691,2.964443,0.019428
2.961580,3.075007,0.018453
3.052696,3.172978,0.017258
3.133170,3.259567,0.015868
3.204028,3.335867,0.014305
3.266195,3.402870,0.012593
3.320509,3.461471,0.010752
3.367728,3.512480,0.008799
3.408539,3.556632,0.006753
3.443562,3.594590,0.004627
3.473358,3.626954,0.002436
3.498435,3.654267,0.000191
3.519252,3.677020,-0.002095
3.536226,3.695657,-0.004414
3.549731,3.710582,-0.006756
3.560108,3.722157,-0.009114
3.567666,3.730711,-0.011480
3.572681,3.736542,-0.013850
3.575405,3.739920,-0.016217
3.576068,3.741088,-0.018577
3.574873,3.740265,-0.020926
3.572009,3.737652,-0.023260
3.567642,3.733429,-0.025576
3.561926,3.727758,-0.027872
3.554999,3.720788,-0.030146
3.546984,3.712651,-0.032395
3.537996,3.703468,-0.034618
3.528135,3.693348,-0.036814
3.517494,3.682390,-0.038981
3.506156,3.670684,-0.041119
3.494197,3.658309,-0.043226
3.481684,3.645338,-0.045303
3.468680,3.631839,-0.047349
3.455241,3.617869,-0.049363
3.441415,3.603484,-0.051346
3.427250,3.588731,-0.053296
3.412785,3.573655,-0.055215
3.398059,3.558296,-0.057102
3.383104,3.542690,-0.058957
3.367951,3.526868,-0.060780
3.352628,3.510861,-0.062572
3.337159,3.494695,-0.064333
3.321567,3.478394,-0.066063
3.305871,3.461979,-0.067762
3.290090,3.445470,-0.069430
3.274241,3.428885,-0.071068
3.258337,3.412239,-0.072677
3.242393,3.395548,-0.074255
3.226421,3.378823,-0.075805
3.210431,3.362076,-0.077326
3.194433,3.345318,-0.078818
3.178436,3.328558,-0.080282
3.162448,3.311806,-0.081718
3.146476,3.295068,-0.083127
3.130526,3.278351,-0.084508
3.114605,3.261662,-0.085863
3.098717,3.245006,-0.087192
3.082867,3.228388,-0.088495
3.067058,3.211813,-0.089771
3.051296,3.195284,-0.091023
3.035583,3.178806,-0.092249
3.019922,3.162381,-0.093451
3.004315,3.146012,-0.094629
2.988766,3.129702,-0.095783
2.973276,3.113454,-0.096912
2.957846,3.097268,-0.098019
2.942480,3.081147,-0.099103
2.927177,3.065092,-0.100164
2.911940,3.049105,-0.101202
2.896769,3.033187,-0.102219
2.881666,3.017340,-0.103213
2.866630,3.001563,-0.104187
2.851664,2.985858,-0.105139
2.836767,2.970225,-0.106070
2.821940,2.954665,-0.106980
2.807184,2.939179,-0.107871
2.792499,2.923766,-0.108741
2.777884,2.908428,-0.109592
2.763341,2.893164,-0.110423
2.748869,2.877975,-0.111234
2.734469,2.862861,-0.112027
2.720140,2.847821,-0.112801
2.705884,2.832856,-0.113557
2.691698,2.817966,-0.114295
2.677584,2.803151,-0.115014
2.663542,2.788411,-0.115716
2.649571,2.773745,-0.116401
2.635671,2.759154,-0.117068
2.621843,2.744637,-0.117718
2.608085,2.730195,-0.118352
2.594397,2.715826,-0.118969
2.580781,2.701531,-0.119570
2.567234,2.687310,-0.120155
2.553758,2.673163,-0.120724
2.540351,2.659088,-0.121277
2.527014,2.645086,-0.121815
2.513746,2.631157,-0.122338
2.500547,2.617300,-0.122846
2.487416,2.603515,-0.123339
2.474354,2.589801,-0.123818
2.461360,2.576160,-0.124282
2.448434,2.562589,-0.124732
2.435575,2.549089,-0.125168
2.422783,2.535659,-0.125590
2.410059,2.522300,-0.125999
2.397400,2.509010,-0.126395
2.384808,2.495790,-0.126777
2.372282,2.482639,-0.127146
2.359822,2.469557,-0.127503
2.347426,2.456544,-0.127847
2.335096,2.443599,-0.128178
2.322830,2.430721,-0.128498
2.310629,2.417912,-0.128805
2.298492,2.405169,-0.129100
2.286418,2.392493,-0.129383
2.274407,2.379884,-0.129655
2.262460,2.367341,-0.129916
2.250575,2.354864,-0.130165
2.238753,2.342453,-0.130403
2.226993,2.330106,-0.130631
2.215294,2.317825,-0.130847
2.203657,2.305608,-0.131053
2.192081,2.293456,-0.131248
2.180566,2.281367,-0.131433
2.169112,2.269342,-0.131608
2.157717,2.257380,-0.131773
2.146382,2.245481,-0.131929
2.135107,2.233645,-0.132074
2.123892,2.221871,-0.132210
2.112735,2.210159,-0.132337
2.101636,2.198509,-0.132454
2.090596,2.186920,-0.132562
2.079614,2.175392,-0.132661
2.068690,2.163925,-0.132751
2.057823,2.152518,-0.132833
2.047014,2.141172,-0.132906
2.036261,2.129885,-0.132970
2.025564,2.118657,-0.133026
2.014924,2.107489,-0.133074
2.004340,2.096379,-0.133114
1.993811,2.085328,-0.133146
1.983338,2.074336,-0.133170
1.972920,2.063401,-0.133186
1.962556,2.052524,-0.133195
1.952247,2.041704,-0.133196
1.941992,2.030941,-0.133190
1.931791,2.020235,-0.133177
1.921644,2.009585,-0.133156
1.911550,1.998992,-0.133129
1.901509,1.988454,-0.133095
1.891521,1.977972,-0.133053
1.881585,1.967545,-0.133006
1.871701,1.957174,-0.132951
1.861870,1.946856,-0.132890
1.852090,1.936594,-0.132823
1.842362,1.926385,-0.132750
1.832684,1.916230,-0.132670
1.823058,1.906129,-0.132584
1.813482,1.896081,-0.132493
1.803956,1.886086,-0.132395
1.794481,1.876144,-0.132292
1.785055,1.866254,-0.132183
1.775679,1.856416,-0.132068
1.766352,1.846631,-0.131948
1.757074,1.836896,-0.131823
1.747845,1.827214,-0.131692
1.738665,1.817582,-0.131557
1.729532,1.808001,-0.131416
1.720448,1.798471,-0.131270
1.711412,1.788991,-0.131119
1.702422,1.779561,-0.130963
1.693481,1.770180,-0.130802
1.684586,1.760849,-0.130637
1.675738,1.751568,-0.130467
1.666936,1.742335,-0.130293
1.658181,1.733151,-0.130114
1.649471,1.724016,-0.129931
1.640808,1.714929,-0.129743
1.632190,1.705889,-0.129552
1.623617,1.696898,-0.129356
1.615089,1.687954,-0.129156
1.606606,1.679057,-0.128952
1.598168,1.670207,-0.128745
1.589774,1.661403,-0.128533
1.581424,1.652647,-0.128318
1.573118,1.643936,-0.128099
1.564856,1.635271,-0.127876
1.556637,1.626652,-0.127650
1.548462,1.618079,-0.127420
1.540329,1.609551,-0.127187
1.532239,1.601068,-0.126951
1.524191,1.592629,-0.126711
1.516186,1.584235,-0.126468
1.508223,1.575886,-0.126222
1.500302,1.567580,-0.125973
1.492422,1.559319,-0.125721
1.484584,1.551101,-0.125466
1.476787,1.542926,-0.125208
1.469031,1.534795,-0.124947
1.461315,1.526706,-0.124683
1.453640,1.518660,-0.124417
1.446006,1.510657,-0.124148
1.438412,1.502695,-0.123876
1.430857,1.494776,-0.123602
1.423342,1.486899,-0.123325
1.415867,1.479063,-0.123046
1.408431,1.471269,-0.122764
1.401034,1.463516,-0.122480
1.393676,1.455803,-0.122194
1.386357,1.448132,-0.121905
1.379076,1.440500,-0.121615
1.371833,1.432910,-0.121322
1.364629,1.425359,-0.121027
1.357462,1.417848,-0.120730
1.350333,1.410377,-0.120431
1.343241,1.402945,-0.120130
1.336187,1.395552,-0.119827
1.329169,1.388199,-0.119523
1.322189,1.380884,-0.119216
1.315245,1.373608,-0.118908
1.308338,1.366370,-0.118598
1.301467,1.359170,-0.118287
1.294632,1.352009,-0.117973
1.287833,1.344885,-0.117659
1.281070,1.337799,-0.117342
1.274342,1.330750,-0.117025
1.267650,1.323739,-0.116705
1.260992,1.316764,-0.116385
1.254370,1.309827,-0.116063
1.247783,1.302926,-0.115739
1.241230,1.296061,-0.115414
1.234711,1.289233,-0.115088
1.228227,1.282440,-0.114761
1.221777,1.275684,-0.114433
1.215361,1.268963,-0.114103
1.208978,1.262278,-0.113773
