ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000064,0.000011,-0.000100
6378137.000186,0.000033,-0.000300
6378137.000360,0.000064,-0.000600
6378137.000580,0.000103,-0.001000
6378137.000842,0.000150,-0.001500
6378137.001142,0.000204,-0.002101
6378137.001476,0.000264,-0.002801
6378137.001840,0.000330,-0.003601
6378137.002231,0.000401,-0.004502
6378137.002646,0.000477,-0.005503
6378137.003083,0.000559,-0.006604
6378137.003539,0.000644,-0.007806
6378137.004012,0.000734,-0.009107
6378137.004500,0.000828,-0.010509
6378137.005001,0.000926,-0.012011
6378137.005515,0.001027,-0.013614
6378137.006038,0.001132,-0.015316
6378137.006571,0.001240,-0.017119
6378137.007111,0.001353,-0.019023
6378137.007659,0.001468,-0.021026
6378137.008211,0.001587,-0.023130
6378137.008769,0.001709,-0.025335
6378137.009330,0.001835,-0.027639
6378137.009895,0.001964,-0.030044
6378137.010462,0.002097,-0.032550
6378137.011031,0.002233,-0.035155
6378137.011601,0.002373,-0.037861
6378137.012171,0.002516,-0.040667
6378137.012742,0.002663,-0.043574
6378137.013313,0.002814,-0.046581
6378137.013882,0.002968,-0.049688
6378137.014451,0.003127,-0.052895
6378137.015018,0.003289,-0.056203
6378137.015583,0.003456,-0.059611
6378137.016146,0.003627,-0.063119
6378137.016706,0.003802,-0.066727
6378137.017264,0.003981,-0.070436
6378137.017818,0.004164,-0.074245
6378137.018370,0.004353,-0.078154
6378137.018917,0.004545,-0.082163
6378137.019461,0.004743,-0.086273
6378137.020001,0.004945,-0.090483
6378137.020536,0.005153,-0.094793
6378137.021067,0.005365,-0.099203
6378137.021594,0.005582,-0.103713
6378137.022116,0.005805,-0.108323
6378137.022632,0.006033,-0.113034
6378137.023144,0.006266,-0.117845
6378137.023650,0.006505,-0.122755
6378137.024151,0.006749,-0.127766
6378137.024647,0.006999,-0.132877
6378137.025137,0.007255,-0.138088
6378137.025620,0.007517,-0.143400
6378137.026098,0.007784,-0.148811
6378137.026570,0.008058,-0.154322
6378137.027036,0.008338,-0.159933
6378137.027495,0.008625,-0.165645
6378137.027948,0.008917,-0.171456
6378137.028394,0.009216,-0.177367
