ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000,0.000000,0.000000
0.001357,0.002168,0.000092
0.003934,0.006285,0.000268
0.007609,0.012155,0.000518
0.012269,0.019600,0.000836
0.017814,0.028458,0.001214
0.024153,0.038584,0.001646
0.031202,0.049845,0.002126
0.038888,0.062123,0.002650
0.047143,0.075310,0.003212
0.055905,0.089308,0.003809
0.065120,0.104029,0.004437
0.074738,0.119394,0.005092
0.084714,0.135330,0.005772
0.095007,0.151773,0.006473
0.105580,0.168663,0.007194
0.116400,0.185947,0.007931
0.127436,0.203578,0.008683
0.138662,0.221511,0.009448
0.150053,0.239708,0.010224
0.161587,0.258133,0.011010
0.173243,0.276754,0.011804
0.185004,0.295542,0.012605
0.196853,0.314472,0.013413
0.208776,0.333518,0.014225
0.220760,0.352661,0.015041
0.232791,0.371881,0.015861
0.244860,0.391161,0.016683
0.256956,0.410485,0.017508
0.269071,0.429838,0.018333
0.281197,0.449209,0.019159
0.293327,0.468586,0.019986
0.305454,0.487959,0.020812
0.317572,0.507318,0.021638
0.329677,0.526655,0.022462
0.341763,0.545963,0.023286
0.353827,0.565234,0.024108
0.365864,0.584464,0.024928
0.377871,0.603646,0.025746
0.389846,0.622775,0.026562
0.401785,0.641848,0.027376
0.413687,0.660860,0.028186
0.425548,0.679809,0.028995
0.437367,0.698690,0.029800
0.449143,0.717501,0.030602
0.460873,0.736240,0.031401
0.472557,0.754905,0.032198
0.484193,0.773493,0.032990
0.495780,0.792004,0.033780
0.507317,0.810435,0.034566
0.518804,0.828785,0.035349
0.530240,0.847054,0.036128
0.541624,0.865239,0.036903
0.552956,0.883342,0.037676
0.564235,0.901360,0.038444
0.575461,0.919293,0.039209
0.586633,0.937140,0.039970
0.597752,0.954903,0.040728
0.608817,0.972579,0.041482
0.619827,0.990168,0.042232
0.630784,1.007672,0.042978
0.641687,1.025089,0.043721
0.652535,1.042419,0.044460
0.663330,1.059662,0.045196
0.674070,1.076820,0.045928
0.684755,1.093890,0.046656
0.695387,1.110874,0.047380
0.705965,1.127772,0.048101
0.716489,1.144584,0.048818
0.726959,1.161310,0.049531
0.737376,1.177951,0.050241
0.747739,1.194506,0.050947
0.758049,1.210976,0.051650
0.768306,1.227361,0.052348
0.778510,1.243662,0.053044
0.788661,1.259878,0.053735
0.798759,1.276010,0.054423
0.808805,1.292059,0.055108
0.818800,1.308024,0.055789
0.828742,1.323907,0.056466
0.838632,1.339707,0.057140
0.848471,1.355425,0.057810
0.858259,1.371061,0.058477
0.867996,1.386615,0.059141
0.877682,1.402088,0.059801
0.887317,1.417481,0.060457
0.896903,1.432793,0.061110
0.906438,1.448025,0.061760
0.915923,1.463178,0.062406
0.925359,1.478251,0.063049
0.934745,1.493246,0.063689
0.944082,1.508162,0.064325
0.953370,1.523000,0.064958
0.962610,1.537761,0.065587
0.971802,1.552444,0.066214
0.980945,1.567050,0.066837
0.990040,1.581580,0.067456
0.999088,1.596033,0.068073
1.008088,1.610411,0.068686
1.017041,1.624713,0.069296
1.025947,1.638941,0.069903
1.034807,1.653094,0.070506
1.043620,1.667173,0.071107
1.052387,1.681177,0.071704
1.061107,1.695109,0.072298
1.069783,1.708967,0.072889
1.078412,1.722753,0.073477
1.086996,1.736466,0.074062
1.095536,1.750108,0.074644
1.104030,1.763678,0.075223
1.112480,1.777176,0.075799
1.120886,1.790604,0.076371
1.129247,1.803962,0.076941
1.137565,1.817249,0.077508
1.145839,1.830467,0.078072
1.154069,1.843615,0.078632
1.162257,1.856694,0.079190
1.170401,1.869705,0.079745
1.178503,1.882647,0.080297
1.186562,1.895521,0.080846
1.194579,1.908328,0.081392
1.202554,1.921068,0.081936
1.210487,1.933741,0.082476
1.218378,1.946347,0.083014
1.226228,1.958887,0.083549
1.234036,1.971361,0.084081
1.241804,1.983770,0.084610
1.249531,1.996114,0.085137
1.257217,2.008393,0.085660
1.264863,2.020607,0.086181
1.272469,2.032757,0.086699
1.280035,2.044844,0.087215
1.287561,2.056867,0.087728
1.295048,2.068827,0.088238
1.302496,2.080724,0.088745
1.309904,2.092559,0.089250
1.317273,2.104332,0.089752
1.324604,2.116042,0.090252
1.331896,2.127692,0.090749
1.339150,2.139280,0.091243
1.346366,2.150807,0.091734
1.353544,2.162274,0.092224
1.360685,2.173681,0.092710
1.367788,2.185028,0.093194
1.374853,2.196315,0.093675
1.381882,2.207543,0.094154
1.388874,2.218712,0.094631
1.395828,2.229823,0.095105
1.402747,2.240875,0.095576
1.409629,2.251869,0.096045
1.416475,2.262805,0.096511
1.423285,2.273684,0.096975
1.430059,2.284506,0.097437
1.436798,2.295271,0.097896
1.443501,2.305980,0.098353
1.450170,2.316632,0.098807
1.456803,2.327228,0.099259
1.463401,2.337769,0.099709
1.469965,2.348255,0.100156
1.476494,2.358685,0.100601
1.482989,2.369061,0.101043
1.489450,2.379382,0.101483
1.495877,2.389649,0.101921
1.502270,2.399862,0.102357
1.508630,2.410022,0.102790
1.514956,2.420128,0.103221
1.521249,2.430181,0.103650
1.527509,2.440182,0.104077
1.533737,2.450129,0.104501
1.539931,2.460025,0.104923
1.546093,2.469869,0.105343
1.552223,2.479661,0.105760
1.558320,2.489402,0.106176
1.564386,2.499091,0.106589
1.570419,2.508730,0.107000
1.576421,2.518318,0.107409
1.582392,2.527856,0.107816
1.588331,2.537343,0.108221
1.594239,2.546781,0.108623
1.600116,2.556169,0.109024
1.605962,2.565508,0.109422
1.611777,2.574798,0.109818
1.617562,2.584040,0.110212
1.623316,2.593232,0.110604
1.629041,2.602377,0.110994
1.634735,2.611473,0.111382
1.640399,2.620522,0.111768
1.646034,2.629523,0.112152
1.651639,2.638477,0.112534
1.657215,2.647384,0.112914
1.662761,2.656244,0.113292
1.668278,2.665058,0.113668
1.673766,2.673826,0.114042
1.679226,2.682547,0.114414
1.684657,2.691223,0.114784
1.690059,2.699853,0.115152
1.695433,2.708438,0.115518
1.700779,2.716977,0.115882
1.706096,2.725472,0.116245
1.711386,2.733922,0.116605
1.716648,2.742328,0.116964
1.721882,2.750690,0.117320
1.727089,2.759008,0.117675
1.732269,2.767282,0.118028
1.737421,2.775513,0.118379
1.742546,2.783701,0.118728
1.747645,2.791846,0.119075
1.752716,2.799947,0.119421
1.757761,2.808007,0.119765
1.762780,2.816024,0.120107
1.767772,2.823999,0.120447
1.772738,2.831932,0.120785
1.777678,2.839823,0.121122
1.782592,2.847674,0.121457
1.787480,2.855482,0.121790
1.792343,2.863250,0.122121
1.797180,2.870977,0.122451
1.801991,2.878664,0.122778
1.806778,2.886310,0.123104
1.811539,2.893916,0.123429
1.816275,2.901482,0.123752
1.820987,2.909008,0.124073
1.825673,2.916495,0.124392
1.830335,2.923943,0.124710
1.834973,2.931351,0.125026
1.839586,2.938721,0.125340
1.844175,2.946052,0.125653
1.848740,2.953344,0.125964
1.853281,2.960598,0.126273
1.857798,2.967815,0.126581
1.862291,2.974993,0.126887
1.866761,2.982133,0.127191
1.871208,2.989236,0.127494
1.875631,2.996302,0.127796
1.880031,3.003331,0.128096
1.884407,3.010322,0.128394
1.888761,3.017277,0.128690
1.893092,3.024196,0.128985
1.897400,3.031078,0.129279
1.901685,3.037924,0.129571
1.905949,3.044734,0.129861
1.910189,3.051509,0.130150
1.914408,3.058248,0.130438
1.918604,3.064951,0.130724
1.922778,3.071619,0.131008
1.926930,3.078253,0.131291
1.931061,3.084851,0.131572
1.935170,3.091415,0.131852
1.939257,3.097944,0.132131
1.943323,3.104439,0.132408
1.947367,3.110900,0.132684
1.951390,3.117327,0.132958
1.955393,3.123721,0.133230
1.959374,3.130081,0.133502
1.963334,3.136407,0.133771
