ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.000000,0.739911,-10.780325
0.950889,0.665631,-10.780351
0.832517,0.598454,-10.780407
0.750337,0.537604,-10.780489
0.676818,0.482437,-10.780605
0.611146,0.432370,-10.780749
0.552603,0.386867,-10.780902
0.500489,0.345457,-10.781058
0.454170,0.307721,-10.781211
0.413073,0.273281,-10.781358
0.376682,0.241801,-10.781496
0.344533,0.212979,-10.781621
0.316203,0.186545,-10.781734
0.291315,0.162255,-10.781833
0.269525,0.139894,-10.781917
0.250526,0.119265,-10.781986
0.234040,0.100195,-10.782039
0.219815,0.082526,-10.782077
0.207626,0.066117,-10.782100
0.197268,0.050844,-10.782107
0.188559,0.036591,-10.782100
0.181331,0.023258,-10.782079
0.175436,0.010754,-10.782044
0.170740,-0.001004,-10.781995
0.167120,-0.012089,-10.781933
0.164468,-0.022568,-10.781858
0.162685,-0.032499,-10.781771
0.161683,-0.041936,-10.781672
0.161381,-0.050927,-10.781561
0.161707,-0.059515,-10.781439
0.162597,-0.067738,-10.781307
0.163992,-0.075632,-10.781164
0.165839,-0.083227,-10.781011
0.168090,-0.090551,-10.780849
0.170703,-0.097630,-10.780677
0.173640,-0.104487,-10.780496
0.176866,-0.111141,-10.780307
0.180348,-0.117610,-10.780109
0.184060,-0.123912,-10.779903
0.187976,-0.130062,-10.779689
0.192073,-0.136071,-10.779467
0.196330,-0.141953,-10.779238
0.200729,-0.147718,-10.779002
0.205253,-0.153376,-10.778758
0.209887,-0.158935,-10.778508
0.214618,-0.164403,-10.778251
0.219433,-0.169787,-10.777988
0.224322,-0.175094,-10.777719
0.229274,-0.180329,-10.777443
0.234281,-0.185498,-10.777162
0.239335,-0.190604,-10.776875
0.244428,-0.195653,-10.776582
0.249555,-0.200647,-10.776284
0.254709,-0.205590,-10.775980
0.259885,-0.210486,-10.775671
0.265078,-0.215337,-10.775358
0.270284,-0.220145,-10.775039
0.275500,-0.224912,-10.774715
0.280722,-0.229641,-10.774387
0.285946,-0.234334,-10.774054
0.291171,-0.238991,-10.773717
0.296393,-0.243615,-10.773375
0.301611,-0.248207,-10.773029
0.306822,-0.252768,-10.772679
0.312025,-0.257300,-10.772325
0.317219,-0.261802,-10.771967
0.322401,-0.266276,-10.771605
0.327570,-0.270723,-10.771239
0.332726,-0.275144,-10.770870
0.337867,-0.279539,-10.770497
0.342993,-0.283909,-10.770120
0.348102,-0.288254,-10.769740
0.353194,-0.292575,-10.769357
0.358268,-0.296873,-10.768970
0.363325,-0.301148,-10.768581
0.368362,-0.305399,-10.768188
0.373381,-0.309629,-10.767792
0.378379,-0.313836,-10.767393
0.383359,-0.318021,-10.766991
0.388317,-0.322185,-10.766587
0.393256,-0.326328,-10.766179
0.398174,-0.330449,-10.765769
0.403071,-0.334550,-10.765357
0.407948,-0.338631,-10.764942
0.412803,-0.342691,-10.764524
0.417637,-0.346731,-10.764104
0.422450,-0.350751,-10.763681
0.427242,-0.354751,-10.763257
0.432012,-0.358731,-10.762830
0.436761,-0.362692,-10.762401
0.441489,-0.366634,-10.761970
0.446195,-0.370556,-10.761536
0.450880,-0.374460,-10.761101
0.455543,-0.378344,-10.760664
0.460185,-0.382210,-10.760225
0.464806,-0.386056,-10.759784
0.469406,-0.389884,-10.759341
0.473984,-0.393694,-10.758897
0.478542,-0.397485,-10.758451
0.483078,-0.401258,-10.758003
0.487593,-0.405013,-10.757554
0.492087,-0.408750,-10.757103
0.496560,-0.412468,-10.756651
0.501012,-0.416169,-10.756197
0.505444,-0.419852,-10.755742
0.509855,-0.423517,-10.755286
0.514245,-0.427164,-10.754828
0.518614,-0.430794,-10.754369
0.522964,-0.434407,-10.753909
0.527292,-0.438002,-10.753448
0.531601,-0.441579,-10.752986
0.535889,-0.445140,-10.752523
0.540157,-0.448683,-10.752058
0.544405,-0.452210,-10.751593
0.548633,-0.455719,-10.751127
0.552841,-0.459211,-10.750660
0.557030,-0.462687,-10.750192
0.561198,-0.466146,-10.749723
0.565347,-0.469588,-10.749253
0.569477,-0.473014,-10.748783
0.573587,-0.476423,-10.748312
0.577678,-0.479816,-10.747841
0.581749,-0.483192,-10.747368
0.585801,-0.486552,-10.746895
0.589835,-0.489896,-10.746422
0.593849,-0.493224,-10.745948
0.597844,-0.496536,-10.745474
0.601820,-0.499831,-10.744999
0.605778,-0.503111,-10.744524
0.609717,-0.506375,-10.744048
0.613638,-0.509624,-10.743572
0.617540,-0.512856,-10.743096
0.621423,-0.516073,-10.742619
0.625289,-0.519275,-10.742143
0.629136,-0.522460,-10.741666
0.632965,-0.525631,-10.741188
0.636776,-0.528786,-10.740711
0.640569,-0.531926,-10.740234
0.644344,-0.535051,-10.739756
0.648101,-0.538161,-10.739278
0.651841,-0.541255,-10.738800
0.655563,-0.544335,-10.738323
0.659268,-0.547400,-10.737845
0.662955,-0.550450,-10.737367
0.666624,-0.553485,-10.736890
0.670277,-0.556505,-10.736412
0.673912,-0.559511,-10.735935
0.677530,-0.562502,-10.735457
0.681131,-0.565479,-10.734980
0.684715,-0.568441,-10.734503
0.688282,-0.571389,-10.734026
0.691833,-0.574323,-10.733550
0.695366,-0.577243,-10.733073
0.698883,-0.580148,-10.732597
0.702384,-0.583039,-10.732122
0.705868,-0.585916,-10.731646
0.709335,-0.588779,-10.731171
0.712787,-0.591629,-10.730696
0.716222,-0.594464,-10.730222
0.719641,-0.597286,-10.729748
0.723043,-0.600094,-10.729274
0.726430,-0.602888,-10.728801
0.729801,-0.605669,-10.728329
0.733156,-0.608436,-10.727857
0.736495,-0.611190,-10.727385
0.739818,-0.613930,-10.726914
0.743126,-0.616658,-10.726443
0.746418,-0.619371,-10.725973
0.749695,-0.622072,-10.725504
0.752956,-0.624760,-10.725035
0.756202,-0.627434,-10.724567
0.759433,-0.630096,-10.724099
0.762648,-0.632744,-10.723632
0.765849,-0.635380,-10.723165
0.769034,-0.638002,-10.722700
0.772204,-0.640612,-10.722235
0.775360,-0.643210,-10.721770
0.778500,-0.645794,-10.721307
0.781626,-0.648366,-10.720844
0.784737,-0.650926,-10.720382
