mag_x (uT),mag_y (uT),mag_z (uT)
27.658396,-0.000360,-16.614961
27.643713,-0.009341,-16.624298
27.659965,-0.002132,-16.612250
27.655123,-0.013384,-16.618590
27.667365,-0.030465,-16.606869
27.663165,-0.026802,-16.590487
27.674864,-0.042483,-16.581657
27.688734,-0.052237,-16.573112
27.687732,-0.066745,-16.551296
27.698964,-0.091512,-16.555221
27.678080,-0.107694,-16.541336
27.698176,-0.130055,-16.534105
27.720412,-0.134813,-16.523118
27.716836,-0.161868,-16.496239
27.731856,-0.180910,-16.482204
27.751768,-0.226172,-16.472830
27.753862,-0.238278,-16.451652
27.750856,-0.269323,-16.444358
27.756379,-0.297910,-16.422262
27.781314,-0.326166,-16.421844
27.792393,-0.357751,-16.388859
27.808097,-0.375167,-16.364598
27.810234,-0.378604,-16.351943
27.819540,-0.408798,-16.331644
27.816314,-0.425291,-16.305889
27.833859,-0.473383,-16.296610
27.839354,-0.499264,-16.282189
27.866128,-0.528716,-16.261167
27.876903,-0.549909,-16.248744
27.868916,-0.575188,-16.237660
27.897772,-0.605212,-16.191431
27.919544,-0.616872,-16.190074
27.895911,-0.664265,-16.165340
27.928486,-0.694224,-16.149604
27.943606,-0.708813,-16.140653
27.951284,-0.734494,-16.105595
27.968526,-0.754129,-16.096992
27.955007,-0.798171,-16.062463
27.972171,-0.830575,-16.049835
27.990786,-0.845049,-16.039354
27.969899,-0.859321,-16.018700
27.993630,-0.911551,-15.998941
28.005250,-0.908932,-15.974832
28.030942,-0.946222,-15.939999
28.047906,-0.972837,-15.929913
28.028271,-1.015727,-15.902165
28.056472,-1.031064,-15.891706
28.058715,-1.064968,-15.873912
28.068441,-1.082076,-15.866685
28.078940,-1.106578,-15.829851
28.088145,-1.124159,-15.838247
28.101042,-1.160146,-15.810397
28.091958,-1.181811,-15.778160
28.123246,-1.192435,-15.762675
28.111978,-1.228155,-15.755292
28.131528,-1.247484,-15.738917
28.159031,-1.288653,-15.719011
28.162649,-1.308018,-15.713458
