gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378136.539898,-13.752067,9.048534,-0.004871,-0.046712,-0.034912
6378133.370157,2.194984,15.107049,0.247156,0.186212,-1.056218
6378135.850892,4.859761,7.493466,0.038391,0.268966,-2.004879
6378141.571396,-1.813246,1.765479,-0.044679,0.320599,-1.888340
6378125.787169,0.685379,-13.166351,0.002530,0.319994,-1.993580
6378138.177151,2.845400,-12.931443,0.004688,0.303036,-1.975155
6378147.185697,4.333809,-13.539020,-0.057474,0.321177,-1.936670
6378137.787064,12.037978,-10.175792,0.027000,0.194745,-1.958734
6378131.267152,-4.252978,-13.040097,-0.041171,0.270013,-1.909669
6378131.512904,7.853419,-12.152407,-0.012143,0.361376,-1.882779
6378141.825139,9.893252,-18.469241,-0.060274,0.216063,-1.956342
6378128.859431,6.803780,-16.718531,0.042232,0.300493,-1.923549
6378130.408073,6.559679,-22.860429,-0.028864,0.324353,-1.940657
6378139.933133,2.910369,-17.274501,0.014390,0.398912,-1.879760
6378147.786225,12.423609,-23.225538,0.007713,0.384911,-1.965145
6378139.099200,-2.549135,-35.698041,0.087886,0.698730,-1.954150
6378135.327490,-3.270365,-24.954129,0.126537,1.087678,-1.736545
6378141.090566,11.989459,-37.489252,-0.116122,1.440822,-1.558696
6378135.920604,5.691224,-23.000097,-0.278995,1.673900,-1.347213
6378128.553846,14.016960,-31.141924,-0.337395,2.092165,-1.000585
6378128.268517,17.182455,-35.698691,-0.634267,2.293902,-0.681471
6378136.007318,22.548970,-34.447391,-0.918111,2.474460,-0.430358
6378133.237446,18.129421,-41.431788,-1.127177,2.477868,0.013115
6378138.067463,24.068248,-33.238447,-1.388187,2.531272,0.369937
6378138.117480,17.834874,-41.117589,-1.635865,2.660489,0.731974
6378133.743807,21.240302,-30.589511,-2.750502,3.292809,0.642167
6378137.913066,41.777349,-22.419954,-3.095149,3.138074,0.686873
6378126.551893,33.578970,-25.381695,-3.171477,3.006536,0.764333
6378125.673474,41.292282,-17.668429,-3.197937,2.999284,0.733999
6378121.381337,43.500979,-25.632899,-3.251281,2.929555,0.660428
6378119.791403,40.719670,-42.823041,-3.311815,2.824294,0.859103
6378105.051099,44.352562,-30.806240,-3.280171,2.892620,0.804649
6378105.681480,44.026968,-14.678235,-3.339170,2.870390,0.778069
6378104.423353,56.818741,-20.606886,-3.335450,2.814130,0.764938
6378100.990966,62.648435,-35.224977,-3.366001,2.889059,0.698852
6378090.924488,44.414066,-29.359335,-3.283018,2.873019,0.714275
6378089.698341,54.805529,-28.380415,-3.285778,2.857939,0.677844
6378087.217429,63.209093,-24.493111,-3.345784,3.003858,0.759829
6378088.681236,62.284072,-24.095992,-3.319754,2.957076,0.785734
6378087.341542,64.368060,-29.906529,-3.377234,2.775716,0.810623
6378076.697763,71.664630,-17.734215,-3.277807,2.831895,1.094354
6378069.881556,69.207463,-12.465016,-3.087473,3.035556,1.226893
6378074.236582,75.408160,-18.571346,-2.814056,3.179703,1.086803
6378063.269452,76.551613,-12.949043,-2.717397,3.488557,0.863973
6378068.861274,87.741773,-19.525633,-2.445283,3.732940,0.525182
6378065.453695,83.439046,-21.173261,-2.354290,3.912566,-0.144751
6378066.017272,82.156281,-8.955205,-2.121376,3.967906,-0.835838
6378062.527230,91.874501,-19.614416,-1.861164,3.885457,-1.659957
6378060.104507,101.715894,-12.187027,-1.481535,3.849181,-2.330134
6378057.180163,103.817325,-39.147696,-0.986417,3.502922,-3.031320
6378057.805345,112.348859,-28.234171,-1.220673,4.182753,-2.396828
6378057.829940,110.136687,-35.190813,-2.137994,4.853462,-2.004093
6378065.552387,107.387661,-34.096768,-2.476119,5.089041,-1.937774
6378061.596417,114.595777,-32.625147,-2.432961,5.033311,-1.942764
6378051.567577,123.085096,-35.110742,-2.510333,5.046688,-1.903185
6378042.390278,132.611888,-46.465765,-2.547728,5.097692,-1.864229
6378047.235203,125.809903,-45.076721,-2.548271,4.991784,-1.929967
6378037.972165,135.935742,-42.856558,-2.493961,4.954699,-1.913835
6378041.836021,143.066313,-34.147303,-2.525911,4.936220,-1.967715
6378047.291844,154.967470,-52.865607,-2.520302,5.000163,-1.912651
6378032.716589,156.796176,-39.005099,-2.584305,5.019002,-1.930367
6378027.171779,153.903821,-47.459587,-2.517184,5.022716,-1.933376
6378032.314871,172.608706,-46.316221,-2.576147,4.993514,-1.935770
