ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.652757,0.000000,-16.617507
27.653561,-0.001529,-16.616169
27.655088,-0.004434,-16.613627
27.657264,-0.008575,-16.610002
27.660023,-0.013826,-16.605404
27.663305,-0.020071,-16.599930
27.667054,-0.027208,-16.593670
27.671222,-0.035143,-16.586704
27.675763,-0.043791,-16.579106
27.680637,-0.053074,-16.570940
27.685806,-0.062925,-16.562266
27.691239,-0.073280,-16.553139
27.696905,-0.084082,-16.543606
27.702777,-0.095280,-16.533711
27.708830,-0.106828,-16.523494
27.715042,-0.118684,-16.512990
27.721394,-0.130810,-16.502234
27.727867,-0.143171,-16.491253
27.734444,-0.155737,-16.480074
27.741112,-0.168481,-16.468722
27.747857,-0.181376,-16.457218
27.754667,-0.194401,-16.445582
27.761532,-0.207534,-16.433831
27.768440,-0.220757,-16.421982
27.775385,-0.234055,-16.410049
27.782358,-0.247411,-16.398046
27.789351,-0.260812,-16.385984
27.796359,-0.274246,-16.373874
27.803375,-0.287702,-16.361725
27.810396,-0.301170,-16.349548
27.817415,-0.314642,-16.337348
27.824429,-0.328109,-16.325135
27.831434,-0.341564,-16.312914
27.838426,-0.355001,-16.300690
27.845404,-0.368414,-16.288471
27.852363,-0.381798,-16.276259
27.859302,-0.395148,-16.264060
27.866219,-0.408461,-16.251877
27.873112,-0.421731,-16.239713
27.879978,-0.434957,-16.227573
27.886817,-0.448135,-16.215459
27.893627,-0.461263,-16.203373
27.900408,-0.474338,-16.191318
27.907157,-0.487358,-16.179295
27.913874,-0.500322,-16.167307
27.920559,-0.513227,-16.155356
27.927210,-0.526073,-16.143442
27.933827,-0.538859,-16.131567
27.940410,-0.551583,-16.119732
27.946957,-0.564244,-16.107939
27.953470,-0.576841,-16.096189
27.959947,-0.589375,-16.084481
27.966388,-0.601844,-16.072817
27.972793,-0.614247,-16.061198
27.979162,-0.626586,-16.049624
27.985494,-0.638858,-16.038095
27.991790,-0.651065,-16.026613
27.998050,-0.663205,-16.015177
28.004273,-0.675279,-16.003787
28.010460,-0.687287,-15.992445
28.016610,-0.699228,-15.981150
28.022724,-0.711103,-15.969903
28.028801,-0.722912,-15.958704
28.034842,-0.734655,-15.947552
28.040847,-0.746332,-15.936448
28.046817,-0.757943,-15.925392
28.052750,-0.769488,-15.914384
28.058647,-0.780967,-15.903425
28.064509,-0.792382,-15.892513
28.070336,-0.803731,-15.881649
28.076127,-0.815016,-15.870834
28.081883,-0.826236,-15.860067
28.087604,-0.837391,-15.849347
28.093290,-0.848483,-15.838676
28.098942,-0.859511,-15.828052
28.104559,-0.870476,-15.817476
28.110142,-0.881378,-15.806948
28.115691,-0.892217,-15.796468
28.121206,-0.902993,-15.786034
28.126688,-0.913708,-15.775649
28.132136,-0.924361,-15.765310
28.137551,-0.934952,-15.755019
28.142932,-0.945482,-15.744775
28.148281,-0.955951,-15.734577
