gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.863112,1.028297,0.557047
0.801930,1.024226,0.614331
0.753947,0.960961,0.615217
0.760155,1.056351,0.622372
0.745697,1.013607,0.673892
0.825787,1.031205,0.531453
0.731977,0.980550,0.599830
0.661476,1.037098,0.559088
0.776948,1.008471,0.576359
0.819704,0.949710,0.592007
0.695550,0.934922,0.580430
0.761844,0.900461,0.599360
0.728856,1.030077,0.505335
0.695017,1.006732,0.485606
0.732181,0.958472,0.585129
0.711503,0.944502,0.489481
0.685144,0.989747,0.558514
0.733584,0.995360,0.548714
0.740283,0.958841,0.558264
0.728221,0.951443,0.489457
0.696552,0.873160,0.567085
0.780724,0.962342,0.505147
0.676126,0.894795,0.435251
0.720387,0.930401,0.540631
0.770888,0.926419,0.565531
0.750940,0.898682,0.556277
0.728736,0.922949,0.514345
0.686145,0.923998,0.530041
0.637760,0.847673,0.440089
0.724245,0.893423,0.541205
0.557646,0.931771,0.484262
0.647607,0.947231,0.603949
0.688409,0.936768,0.525637
0.748514,0.842654,0.504566
0.732856,0.852217,0.447445
0.652163,0.920100,0.501371
0.626008,0.864972,0.461788
0.641652,0.876203,0.533016
0.652846,0.931384,0.543120
0.662750,0.902597,0.527362
0.634737,0.812636,0.391831
0.599468,0.760590,0.442654
0.629356,0.838960,0.493691
0.546475,0.841451,0.468444
0.726103,0.894055,0.512188
0.616429,0.900031,0.464700
0.534473,0.769543,0.484341
0.623470,0.811640,0.458830
0.574866,0.776414,0.388542
0.589016,0.769301,0.476601
0.639747,0.810288,0.463181
0.502458,0.774541,0.360387
0.625218,0.790461,0.479766
0.559471,0.709186,0.454270
0.612788,0.805696,0.392194
0.558513,0.775889,0.399683
0.548004,0.747187,0.396549
0.574808,0.739276,0.444957
0.601170,0.779235,0.381732
0.547722,0.753058,0.480785
0.540601,0.814232,0.472555
0.645277,0.743773,0.384568
0.511397,0.729247,0.459891
0.515604,0.809834,0.513817
0.566108,0.695237,0.425811
0.604344,0.775878,0.489217
0.565133,0.738620,0.452643
0.533776,0.728422,0.379496
0.589338,0.711674,0.458733
0.527362,0.684548,0.409256
0.598247,0.773308,0.408537
0.574217,0.748398,0.376513
0.519829,0.798059,0.452470
0.513315,0.788462,0.365172
0.559174,0.738251,0.399951
0.532589,0.678934,0.395390
0.599967,0.699989,0.375119
0.520844,0.704202,0.405133
0.530520,0.633314,0.393796
0.464302,0.671678,0.386129
0.501642,0.664203,0.323246
0.552875,0.688215,0.390688
0.506862,0.608691,0.336669
0.542201,0.644659,0.355149
0.396983,0.694828,0.356807
0.490917,0.572630,0.320856
0.557418,0.625070,0.394306
0.572400,0.649804,0.370510
0.421736,0.691616,0.366679
0.490556,0.657924,0.383826
0.472097,0.676528,0.335827
0.482315,0.652126,0.394733
0.482697,0.564747,0.349117
0.455298,0.690613,0.258756
0.486650,0.648651,0.416052
0.474167,0.607919,0.380648
0.509330,0.597582,0.356760
0.538048,0.583414,0.357165
0.480972,0.661793,0.359473
0.519715,0.619220,0.357001
0.424318,0.539222,0.318935
0.518371,0.539074,0.330885
0.396158,0.642646,0.282050
0.461793,0.557084,0.280253
0.403716,0.662604,0.403757
0.480859,0.617556,0.313064
0.360339,0.570770,0.325430
0.438661,0.546960,0.384128
0.457564,0.484181,0.366059
0.458379,0.611645,0.339628
0.461560,0.576605,0.370633
0.410227,0.575390,0.313253
0.431145,0.571478,0.298180
0.488441,0.582634,0.345518
0.479007,0.626051,0.318408
0.424195,0.582006,0.293668
0.379545,0.607421,0.241602
0.385554,0.563186,0.229421
0.415260,0.632957,0.342964
0.519939,0.594945,0.240736
0.462898,0.526180,0.255316
0.415334,0.456073,0.278864
0.342752,0.575414,0.323323
0.430440,0.575180,0.266136
0.494851,0.546099,0.366000
0.430323,0.525682,0.265307
0.342947,0.504325,0.322328
0.385664,0.598171,0.237974
0.516562,0.552684,0.311501
0.395303,0.560868,0.270113
0.400659,0.645644,0.248706
0.386604,0.525307,0.172738
0.394107,0.450159,0.261716
0.433738,0.471357,0.278876
0.383154,0.596843,0.221264
0.423270,0.520299,0.227997
0.487892,0.543239,0.216123
0.393910,0.501678,0.302227
0.367455,0.508993,0.317963
0.373953,0.429208,0.289117
0.365790,0.497825,0.251843
0.358258,0.513074,0.232273
0.300894,0.579067,0.291080
0.396737,0.447061,0.276897
0.315410,0.480932,0.298587
0.457278,0.511000,0.295847
0.364568,0.429409,0.315046
0.357388,0.477223,0.246001
0.384052,0.394256,0.340782
0.367421,0.521194,0.308884
0.388706,0.490053,0.256985
0.285116,0.468675,0.235355
0.342967,0.489062,0.279963
0.373548,0.372161,0.259908
0.347284,0.554699,0.281497
0.393300,0.437090,0.240925
0.316139,0.433413,0.225044
0.347060,0.406143,0.308029
0.419558,0.449075,0.289736
0.292396,0.396136,0.215932
0.300664,0.411683,0.282185
0.392964,0.414786,0.212825
0.356919,0.382955,0.225601
0.302730,0.477633,0.258029
0.305924,0.429385,0.230072
0.321736,0.430740,0.213384
0.348640,0.409841,0.265766
0.295236,0.419166,0.170425
0.412380,0.367000,0.232154
0.261927,0.358915,0.257572
0.320006,0.458273,0.184498
0.317872,0.438256,0.247781
0.289434,0.388850,0.204548
0.304466,0.370183,0.161971
0.290751,0.375808,0.240430
0.327913,0.465619,0.179622
0.284269,0.440911,0.257667
0.304309,0.334364,0.233845
0.319325,0.478257,0.249544
0.315821,0.430145,0.181922
0.291739,0.446075,0.241437
0.338849,0.386231,0.221097
0.302026,0.385756,0.226427
0.290111,0.459789,0.234370
0.289690,0.344390,0.196185
0.234597,0.356804,0.161604
0.282663,0.380433,0.192681
0.321081,0.455849,0.231692
0.386000,0.360691,0.195044
0.305044,0.411105,0.247113
0.300711,0.374507,0.217996
0.295407,0.451988,0.203473
0.221769,0.358368,0.236963
0.320681,0.385167,0.199262
0.285153,0.320750,0.231495
0.268707,0.441965,0.257828
0.255835,0.411271,0.200785
0.299420,0.303060,0.186961
0.272409,0.388271,0.152327
0.234996,0.398455,0.218154
0.211771,0.346189,0.190975
0.243562,0.375968,0.260486
0.292630,0.331954,0.279970
0.292471,0.336024,0.295190
0.303652,0.360990,0.135143
0.267821,0.323838,0.162623
0.320840,0.379879,0.231729
0.237033,0.304906,0.242444
0.223628,0.352949,0.217097
0.242691,0.311065,0.201751
0.229284,0.356728,0.118270
0.264532,0.326834,0.128690
0.305385,0.360995,0.189123
0.360157,0.421085,0.082889
0.212524,0.243148,0.142047
0.262738,0.306269,0.223479
0.243810,0.282211,0.186683
0.281908,0.387154,0.172711
0.210945,0.314173,0.128934
0.185801,0.346180,0.166280
0.266367,0.320125,0.178158
0.238495,0.370386,0.155811
0.221737,0.312978,0.190875
0.168361,0.294447,0.161398
0.317089,0.265291,0.179730
0.226561,0.255533,0.129679
0.280417,0.236959,0.180669
0.126029,0.290024,0.160125
0.217888,0.339396,0.207954
0.235977,0.317537,0.176028
0.183364,0.334259,0.224218
0.207952,0.296831,0.151115
0.233604,0.288895,0.102040
0.244324,0.289405,0.114119
0.226188,0.349092,0.197290
0.274089,0.309525,0.090920
0.252419,0.267044,0.149880
0.200439,0.292100,0.117300
0.243891,0.306771,0.256049
0.260991,0.330527,0.142896
0.295441,0.307505,0.208109
0.185918,0.365356,0.148194
0.308681,0.291554,0.157664
0.191029,0.364650,0.179893
0.192450,0.300634,0.117093
0.147261,0.255851,0.154401
0.295138,0.245969,0.142345
0.194459,0.243133,0.128793
0.208797,0.269571,0.115386
0.162940,0.256876,0.234373
0.160769,0.358809,0.237840
0.179769,0.301520,0.130309
0.138765,0.271634,0.096573
0.213705,0.295568,0.144286
0.186225,0.226313,0.132699
0.202048,0.252607,0.042443
0.241429,0.233733,0.180771
0.168633,0.296206,0.215844
0.210004,0.324656,0.173116
0.192695,0.235296,0.117883
0.130984,0.283745,0.177124
0.190519,0.309148,0.180334
0.183795,0.288178,0.163296
0.220943,0.230424,0.159777
0.224667,0.262422,0.094401
0.200976,0.267317,0.143628
0.246798,0.288620,0.060529
0.234884,0.226779,0.165426
0.184742,0.196567,0.070377
0.164922,0.315553,0.120615
0.227928,0.227964,0.166602
0.196050,0.205050,0.136896
0.116302,0.215608,0.193681
0.216935,0.303333,0.107340
0.200241,0.172469,0.174012
0.230234,0.205308,0.219725
0.098409,0.341065,0.119901
0.197306,0.213801,0.180506
0.202204,0.195711,0.155017
0.208310,0.178122,0.064163
0.149049,0.176085,0.127645
0.211203,0.195186,0.070850
0.229307,0.213616,0.108463
0.183102,0.276797,0.116403
0.127588,0.237180,0.068777
0.260046,0.217201,0.067532
0.112566,0.227902,0.135647
0.161542,0.317729,0.118766
0.210686,0.244658,0.111070
0.168740,0.183035,0.199695
0.206254,0.188266,0.107908
0.141439,0.208927,0.205302
0.248614,0.229976,0.138582
0.191679,0.168843,0.117149
0.210308,0.231006,0.195674
0.195838,0.269024,0.171736
0.170421,0.227566,0.121580
0.167781,0.219649,0.072183
0.147780,0.180855,0.172297
0.191849,0.287560,0.075686
0.158663,0.213360,0.161886
0.230490,0.232602,0.158860
0.123597,0.205659,0.116368
0.200227,0.213978,0.165770
0.206794,0.212990,0.165225
0.144701,0.225279,0.186734
0.085437,0.227320,0.129644
0.188698,0.217164,0.102726
0.145029,0.230340,0.164095
0.139316,0.245913,0.198045
0.153521,0.189446,0.105625
0.166000,0.161384,0.110999
0.082334,0.122863,0.116797
0.200290,0.218374,0.130260
0.169715,0.180056,0.090642
0.198848,0.179214,0.099478
0.162167,0.153627,0.105337
0.113168,0.206369,0.128180
0.217934,0.135951,0.197582
0.124042,0.254830,0.058380
0.165399,0.239577,0.129689
0.147266,0.268508,0.073371
0.213426,0.226204,0.005617
0.171978,0.188468,0.154820
0.175257,0.255493,0.126624
0.211483,0.108301,0.064379
0.203493,0.224452,0.114477
0.175778,0.197315,0.094483
0.037689,0.193938,0.053749
0.084879,0.198426,0.083587
0.086934,0.252896,0.135731
0.195006,0.215442,0.114964
0.093078,0.149950,0.016477
0.171863,0.214003,0.023872
0.128802,0.237128,0.123206
0.179993,0.163888,0.102039
0.072266,0.251343,0.072376
0.201675,0.199187,0.098201
0.176993,0.195985,0.067027
0.086309,0.202576,0.099929
0.063001,0.113495,0.061039
0.066863,0.105933,0.096272
0.095235,0.144302,0.126222
0.090721,0.182957,0.100133
0.130866,0.147307,0.043213
0.142564,0.210139,0.156591
0.020963,0.162997,0.045986
0.117751,0.162668,0.078613
0.095777,0.194243,0.112886
0.111191,0.219865,0.034591
0.139446,0.190955,0.106403
0.132841,0.257067,0.100618
0.137488,0.237212,0.081183
0.078573,0.178242,0.053210
0.104324,0.160213,0.098296
0.156098,0.138051,0.048527
0.091206,0.153819,0.087441
0.107947,0.129554,0.090711
0.090321,0.128734,0.079120
0.055340,0.163028,0.046246
0.105904,0.178302,0.146220
0.124588,0.178603,0.047573
0.098048,0.188775,0.081865
0.136785,0.155720,0.107311
0.132888,0.155228,0.137777
0.026059,0.111104,0.120830
0.072753,0.073243,0.147717
0.065779,0.098581,0.046135
0.123381,0.092740,0.076419
0.135465,0.130286,0.170629
0.170413,0.136067,0.135284
0.143284,0.155160,0.088814
0.164204,0.118975,0.084463
0.124364,0.215366,0.103309
0.111591,0.168330,0.121005
0.156376,0.154701,0.080872
-0.002600,0.141986,0.060485
0.116331,0.192662,0.054302
0.119328,0.156099,0.102036
0.094344,0.147539,0.042367
0.156904,0.116509,0.034451
0.144264,0.043217,0.063475
0.096281,0.136806,0.052564
0.113899,0.133865,0.127013
0.109063,0.097960,0.057958
0.184947,0.104092,0.078743
0.082540,0.183010,0.136585
