gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378130.798139,1.272189,2.152181,0.023546,0.045730,-0.008502
6378129.324319,-7.139571,-2.940188,0.022472,0.105654,-0.968471
6378131.993687,0.584013,12.678975,-0.061221,0.225408,-1.962853
6378143.502055,-5.479779,-2.185768,-0.116454,0.222873,-1.847552
6378139.402417,3.166644,-3.722533,-0.106206,0.358157,-1.848767
6378123.412285,-2.334856,3.285887,-0.138115,0.414982,-1.951019
6378137.245832,-4.715557,-14.637275,-0.209428,0.336189,-1.786412
6378132.009812,-7.507102,-9.937295,-0.194180,0.497076,-1.875400
6378131.855526,-6.868047,-14.484453,-0.282888,0.480059,-1.911126
6378139.327772,3.692217,-1.686312,-0.272116,0.363662,-1.809323
6378137.415618,4.413979,-9.951615,-0.280524,0.414511,-1.900533
6378136.620112,5.739758,-16.409167,-0.161479,0.418622,-1.946466
6378138.181143,11.718324,-18.075467,-0.287266,0.419907,-1.957651
6378137.355584,-0.843565,-9.674853,-0.204825,0.457362,-1.823308
6378138.019341,-1.460009,-34.230395,-0.170368,0.343702,-1.875771
6378136.550310,1.006041,-23.666588,-0.198183,0.415726,-1.862534
6378135.319082,14.985966,-21.819475,-0.137262,0.813969,-1.726843
6378136.879067,9.379985,-23.777373,-0.114457,1.054800,-1.521859
6378145.033422,7.989988,-41.727229,-0.033157,1.381888,-1.324990
6378132.813251,8.296198,-44.324996,0.092234,1.506021,-0.986419
6378131.344580,18.868758,-32.201895,0.283451,1.647866,-0.778727
6378135.400503,12.868767,-24.986534,0.490486,1.805890,-0.401233
6378132.838435,14.145862,-27.954694,0.652509,2.034238,-0.258418
6378139.424689,20.484125,-38.909845,0.911900,1.949393,-0.001472
6378140.449311,21.124105,-27.074620,1.183331,1.847748,0.253457
6378133.958302,19.515232,-25.644636,1.516198,1.942412,0.398858
6378143.710462,17.751254,-45.514642,1.399381,3.120724,0.179842
6378136.989759,31.649558,-23.781523,1.059337,3.434891,0.143552
6378136.551513,31.272542,-27.692434,0.871222,3.426657,0.047215
6378144.305661,36.464204,-38.187264,0.718741,3.586148,-0.100809
6378140.479542,28.975007,-39.704925,0.681910,3.546749,-0.161513
6378134.365890,42.509834,-38.178273,0.709306,3.550974,-0.230024
6378138.225746,42.086014,-35.227372,0.680313,3.573034,-0.105091
6378141.458155,46.794838,-33.649794,0.743003,3.604350,-0.084093
6378153.672728,45.119370,-23.671829,0.694974,3.570135,-0.095491
6378147.087958,56.298290,-21.848902,0.762995,3.547641,-0.170401
6378133.573085,56.381103,-30.201717,0.683546,3.596769,-0.163418
6378135.061614,68.641794,-41.809069,0.621256,3.491654,-0.209316
6378153.184671,71.043187,-45.022934,0.710203,3.552783,-0.149936
6378143.511803,65.474683,-23.870329,0.666466,3.543012,-0.135062
6378143.313419,72.505478,-29.436266,0.769042,3.478198,-0.149779
6378151.439385,71.438423,-40.932708,0.835943,3.506852,-0.176949
6378146.858407,75.418229,-35.440720,1.181816,3.528458,-0.409984
6378157.383941,77.739542,-31.010515,1.537408,3.508571,-0.685408
6378156.097569,81.655614,-31.960981,1.899480,3.237471,-1.184901
6378163.127304,91.045601,-46.661882,2.305974,2.812764,-1.796487
6378162.852435,87.947765,-30.005086,2.441013,2.354027,-2.305223
6378154.174592,87.861251,-45.728337,2.516288,1.910755,-2.918485
6378160.991771,90.015661,-33.775207,2.458625,1.124754,-3.487824
6378157.653240,87.138193,-63.483030,2.409358,0.258279,-3.662004
6378172.136714,91.889195,-59.849255,2.163228,-0.721804,-3.830628
6378171.699550,100.051109,-50.057741,2.476330,-1.106097,-3.915546
6378178.470920,98.585988,-70.976235,2.849653,-0.798163,-4.470700
6378177.160989,96.182469,-60.072369,3.338063,-0.393424,-4.959452
6378179.819032,84.647077,-83.003470,3.288160,-0.392299,-5.139558
6378182.316186,85.102703,-63.280195,3.233762,-0.523676,-5.168408
6378185.467293,87.113634,-78.730725,3.257505,-0.562327,-5.172096
6378193.990255,82.431755,-98.973364,3.233763,-0.551554,-5.163468
6378197.710627,90.872588,-81.655495,3.280167,-0.559165,-5.154034
6378192.200401,92.479340,-101.162856,3.213011,-0.496601,-5.169904
6378201.679817,85.902662,-93.191298,3.178183,-0.546635,-5.163046
6378196.271380,90.343224,-99.718990,3.121190,-0.474988,-5.128834
6378204.647525,99.923084,-114.325237,3.132491,-0.586292,-5.149174
6378212.782181,86.754191,-118.308038,3.216392,-0.525308,-5.172680
6378212.540353,86.520177,-114.263833,3.159391,-0.544574,-5.121281
6378215.377738,94.207661,-133.088890,3.082889,-0.729794,-5.203403
6378220.468374,83.359183,-123.688758,2.999514,-1.060878,-5.149976
6378218.732007,77.611397,-137.384798,3.248779,-1.381786,-5.035633
6378233.491150,81.820653,-129.100966,3.713096,-1.593376,-4.520611
6378244.206136,88.208995,-148.537083,4.348696,-1.457652,-4.018561
6378232.389358,79.514479,-153.547089,4.944059,-1.050945,-3.428113
6378237.612599,82.852729,-151.525203,5.619162,-0.416646,-2.694845
6378245.267431,80.787391,-160.603727,5.930692,0.563733,-1.887110
6378248.646648,80.949775,-173.969451,5.988371,1.915124,-1.101818
6378255.055471,87.955063,-162.181425,5.535643,3.187597,-0.119615
6378268.564618,95.805544,-158.163541,5.731850,4.108146,-0.113901
6378278.938474,100.814861,-156.470666,6.169805,4.511046,-0.725828
6378278.947888,99.577055,-158.804779,6.282464,4.617007,-0.850124
6378278.266018,104.891735,-162.175008,6.267853,4.726564,-0.703629
6378294.853428,106.259280,-158.424140,6.236917,4.717257,-0.700879
6378294.532418,110.485664,-155.452739,6.318717,4.784921,-0.728003
6378298.528432,118.930147,-146.630472,6.230644,4.734260,-0.709600
6378298.765002,117.533192,-167.428073,6.211633,4.813214,-0.627562
6378305.547115,129.742619,-164.247355,6.216967,4.755150,-0.684270
6378309.384670,124.868773,-171.338573,6.176454,4.700754,-0.686946
6378322.259291,131.181630,-158.863423,6.301893,4.760510,-0.653282
6378327.116202,148.553606,-165.650455,6.088031,4.687942,-0.676097
6378342.481482,142.009243,-173.716418,6.245084,4.717423,-0.690903
6378336.865213,147.638534,-159.758706,6.147194,5.045485,-0.167197
6378355.053701,160.086224,-170.993142,5.707197,5.495625,0.882681
6378356.809254,165.561724,-171.447038,5.116519,5.948747,1.720236
6378356.132192,178.583688,-157.618125,4.286531,6.340982,2.633132
6378355.082451,161.262693,-174.753444,3.245135,6.634533,3.339270
6378369.687103,191.086506,-150.840603,2.170085,6.898831,3.933088
6378375.301395,182.431416,-152.825852,0.957559,6.990634,4.364957
6378363.003997,194.686416,-139.907694,-0.388554,7.128309,4.358705
6378366.488610,194.433691,-146.414350,-1.788393,6.962998,4.442867
6378371.277237,208.208833,-144.479212,-3.065442,6.659367,4.281395
6378362.023257,210.387792,-136.056848,-3.779258,7.020568,3.877268
6378355.854867,218.702918,-133.178965,-4.011600,7.795315,4.053460
6378348.853738,226.346180,-136.864140,-4.163186,7.780616,3.987369
6378355.720814,234.766896,-113.193801,-4.449838,7.693158,3.947141
6378343.492989,246.190114,-120.037767,-4.390301,7.770748,3.855470
6378341.167428,254.188661,-113.562938,-4.539079,7.729052,3.832536
6378336.570485,251.520126,-107.474773,-4.430779,7.595209,3.909270
6378343.175793,267.297578,-111.977264,-4.566432,7.709139,3.837523
6378327.538794,273.881051,-96.021093,-4.509771,7.664750,3.905219
6378322.077732,284.113711,-102.336510,-4.568364,7.656775,3.818602
6378323.644652,287.152788,-93.720593,-4.598852,7.731404,3.795459
6378321.165280,300.578377,-90.890195,-4.581088,7.709398,3.787977
6378310.319370,312.443511,-94.087927,-4.537971,7.668716,3.847074
6378287.305405,308.640125,-89.574896,-4.650392,7.701602,3.830682
6378296.492734,324.530023,-79.090728,-6.444001,6.666053,3.046770
