accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.639193,-1.087999,-10.681115
0.638413,-1.098497,-10.683639
0.637269,-1.093612,-10.689419
0.641312,-1.094805,-10.685147
0.639092,-1.103340,-10.684881
0.646005,-1.112445,-10.677841
0.656552,-1.112361,-10.142865
0.643825,-1.118248,-9.676950
0.651843,-1.126635,-9.678004
0.649041,-1.138301,-9.680059
0.648359,-1.126654,-9.676887
0.667827,-1.134763,-9.680278
0.659494,-1.134745,-9.675729
0.661193,-1.138431,-9.675634
0.665435,-1.146936,-9.671916
0.662953,-1.157062,-9.677405
0.671737,-1.157275,-9.674627
0.670553,-1.151688,-9.674179
0.655802,-1.156254,-9.662832
0.672570,-1.172743,-9.672718
0.678309,-1.172977,-9.673928
0.672400,-1.170539,-9.675050
0.686026,-1.180369,-9.668601
0.685692,-1.183211,-9.667302
0.691772,-1.193042,-9.664961
0.696144,-1.201849,-9.664253
0.691873,-1.199037,-9.663374
0.686650,-1.193766,-9.668598
0.698375,-1.203847,-9.656109
0.696523,-1.205094,-9.665321
0.714109,-1.218579,-9.673641
0.695981,-1.219584,-9.662472
0.701335,-1.217051,-9.668044
0.705875,-1.226525,-9.673971
0.720723,-1.227306,-9.671888
0.717313,-1.225354,-9.663619
0.727163,-1.228457,-9.667711
0.728477,-1.235684,-9.665967
0.716867,-1.234538,-9.658818
0.723645,-1.246966,-9.657415
0.725096,-1.246906,-9.656211
0.723140,-1.253995,-9.655742
0.736558,-1.256511,-9.662372
0.727503,-1.257096,-9.653405
0.726518,-1.262166,-9.662285
0.730066,-1.257731,-9.645483
0.727661,-1.264232,-9.656519
0.737257,-1.271405,-9.645252
0.747771,-1.282254,-9.659898
0.731471,-1.283164,-9.654358
0.746088,-1.279840,-9.658783
0.750186,-1.288096,-9.658869
0.747598,-1.290828,-9.656122
0.747981,-1.293723,-9.648825
0.750993,-1.301260,-9.646758
0.751332,-1.301032,-9.647479
0.761540,-1.301864,-9.658969
0.759361,-1.297477,-9.649758
0.754461,-1.304564,-9.650703
0.757852,-1.308203,-9.654647
0.765805,-1.319157,-9.649436
0.763341,-1.322671,-9.648874
0.772203,-1.328127,-9.639770
0.772833,-1.323882,-9.646721
0.779439,-1.321140,-9.649225
0.770229,-1.323659,-9.646491
0.776516,-1.329541,-9.649031
0.784071,-1.341624,-9.643279
0.773377,-1.333192,-9.650313
0.781742,-1.334690,-9.644502
0.783318,-1.340885,-9.643426
0.781312,-1.346505,-9.649797
0.782733,-1.356085,-9.651667
0.781209,-1.347899,-9.640059
0.801644,-1.351624,-9.650188
0.794638,-1.362813,-9.641121
0.793993,-1.363257,-9.638214
0.799351,-1.370738,-9.634675
0.797062,-1.373225,-9.639888
0.800552,-1.378197,-9.636208
0.803896,-1.371356,-9.644907
0.800860,-1.381645,-9.640102
0.797611,-1.383333,-9.641709
0.806131,-1.386214,-9.634819
0.803865,-1.391034,-9.636478
0.802656,-1.388476,-9.642031
0.801147,-1.385908,-9.649765
0.820929,-1.393952,-9.637402
0.810158,-1.403544,-9.629511
0.816687,-1.397884,-9.630420
0.810494,-1.403209,-9.630839
0.821425,-1.414581,-9.618322
0.820720,-1.406035,-9.625114
0.823396,-1.410024,-9.638767
0.826564,-1.412365,-9.619582
0.822568,-1.415778,-9.635337
0.820042,-1.422293,-9.631744
0.818404,-1.416338,-9.628558
0.827460,-1.423520,-9.629622
0.832973,-1.424712,-9.624526
0.838185,-1.431591,-9.624932
0.836089,-1.435415,-9.639385
0.833479,-1.443658,-9.633196
