ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000036,0.000052,-0.000100
6378137.000106,0.000152,-0.000300
6378137.000204,0.000294,-0.000600
6378137.000329,0.000474,-0.001000
6378137.000478,0.000688,-0.001500
6378137.000648,0.000934,-0.002100
6378137.000837,0.001208,-0.002800
6378137.001043,0.001507,-0.003599
6378137.001264,0.001830,-0.004499
6378137.001498,0.002174,-0.005499
6378137.001745,0.002537,-0.006598
6378137.002002,0.002917,-0.007798
6378137.002268,0.003314,-0.009097
6378137.002542,0.003725,-0.010496
6378137.002824,0.004150,-0.011995
6378137.003111,0.004588,-0.013593
6378137.003404,0.005037,-0.015291
6378137.003701,0.005497,-0.017090
6378137.004002,0.005968,-0.018987
6378137.004307,0.006448,-0.020985
6378137.004613,0.006938,-0.023082
6378137.004922,0.007436,-0.025279
6378137.005232,0.007942,-0.027576
6378137.005543,0.008457,-0.029972
6378137.005855,0.008979,-0.032468
6378137.006167,0.009508,-0.035064
6378137.006478,0.010045,-0.037759
6378137.006789,0.010589,-0.040554
6378137.007099,0.011141,-0.043449
6378137.007408,0.011699,-0.046443
6378137.007716,0.012264,-0.049537
6378137.008021,0.012836,-0.052731
6378137.008325,0.013414,-0.056024
6378137.008626,0.014000,-0.059416
6378137.008925,0.014592,-0.062909
6378137.009221,0.015191,-0.066501
6378137.009515,0.015797,-0.070192
6378137.009805,0.016410,-0.073983
6378137.010093,0.017030,-0.077874
6378137.010376,0.017657,-0.081864
6378137.010657,0.018291,-0.085953
6378137.010934,0.018932,-0.090142
6378137.011206,0.019581,-0.094431
6378137.011475,0.020237,-0.098819
6378137.011740,0.020900,-0.103307
6378137.012001,0.021571,-0.107894
6378137.012257,0.022250,-0.112580
6378137.012509,0.022937,-0.117366
6378137.012756,0.023632,-0.122252
6378137.012998,0.024334,-0.127237
6378137.013236,0.025045,-0.132321
6378137.013469,0.025764,-0.137505
6378137.013696,0.026492,-0.142788
6378137.013919,0.027228,-0.148171
6378137.014136,0.027972,-0.153653
6378137.014348,0.028726,-0.159234
6378137.014554,0.029488,-0.164915
6378137.014755,0.030259,-0.170695
6378137.014951,0.031040,-0.176574
