gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.329703,0.372940,0.197061
0.594070,0.559560,0.450696
0.900677,0.863191,0.728512
1.064101,1.110065,0.802244
1.289341,1.317076,0.905610
1.741335,1.488686,1.091877
1.995123,1.641358,1.227424
2.274634,1.863505,1.349489
2.513529,2.020972,1.438049
2.843706,2.087510,1.560592
3.218613,2.218984,1.552863
3.404855,2.301936,1.682347
3.653391,2.481472,1.683474
3.794586,2.451537,1.823636
3.930894,2.547296,1.803608
4.159910,2.689352,1.855209
4.261909,2.726158,1.849128
4.419196,2.696860,1.972547
4.384201,2.719772,1.949007
4.508956,2.764680,1.911443
4.682634,2.875635,1.937333
4.691120,2.862107,1.985007
4.766428,2.882889,1.982662
4.772208,2.946258,2.041274
4.892454,2.945928,2.048218
4.926886,2.961969,2.018636
5.043187,3.005844,1.964505
4.988220,2.941223,1.996640
4.915387,2.945501,2.038238
4.995833,2.937919,2.024049
5.039874,3.019449,2.024657
5.009614,2.959826,2.017475
4.997590,2.937656,2.041557
5.103822,2.956103,1.981491
5.069466,2.966120,2.042171
5.032152,2.978093,1.993674
5.060243,2.932159,2.019950
5.051311,3.029527,1.978749
4.962306,2.929143,1.960047
4.987717,2.960150,2.078317
5.004012,2.937754,1.959655
5.015973,3.009278,1.926418
4.967974,2.963203,1.983592
5.015555,2.952846,1.961373
4.884848,2.932839,1.940248
4.928142,2.820561,1.916803
4.876818,2.933838,1.880373
4.879039,2.894777,1.942256
4.881343,2.804902,1.883714
4.821389,2.782688,1.851419
4.811807,2.894994,1.839877
4.742551,2.837237,1.845199
4.810333,2.848155,1.912436
4.800993,2.821955,1.888805
4.717560,2.808296,1.802417
4.665101,2.727808,1.875264
4.776117,2.774649,1.818080
4.699300,2.821263,1.776539
4.615483,2.730231,1.774733
4.565760,2.795778,1.846694
4.551039,2.730390,1.840793
4.557055,2.656734,1.737417
4.646505,2.720371,1.769357
4.569319,2.705945,1.712374
4.477422,2.646513,1.646247
4.447322,2.699387,1.660589
4.402067,2.614175,1.635051
4.411025,2.632621,1.729981
4.372740,2.611023,1.679005
4.428205,2.559381,1.695158
4.383501,2.567153,1.619531
4.327921,2.504251,1.686560
4.316318,2.508457,1.600505
4.332855,2.541777,1.617779
4.352846,2.622019,1.647351
4.246670,2.538229,1.602704
4.286738,2.574731,1.706393
