ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000100,-0.000100
6378137.000300,0.000300,-0.000300
6378137.000600,0.000600,-0.000600
6378137.000999,0.001000,-0.001000
6378137.001499,0.001501,-0.001500
6378137.002097,0.002102,-0.002101
6378137.002795,0.002803,-0.002802
6378137.003593,0.003605,-0.003603
6378137.004489,0.004507,-0.004504
6378137.005443,0.005510,-0.005506
6378137.006447,0.006614,-0.006609
6378137.007495,0.007819,-0.007812
6378137.008583,0.009124,-0.009115
6378137.009706,0.010531,-0.010520
6378137.010859,0.011988,-0.012025
6378137.012041,0.013484,-0.013631
6378137.013247,0.015015,-0.015337
6378137.014474,0.016578,-0.017145
6378137.015720,0.018169,-0.019053
6378137.016982,0.019786,-0.021063
6378137.018258,0.021427,-0.023173
6378137.019546,0.023089,-0.025385
6378137.020845,0.024770,-0.027697
6378137.022152,0.026469,-0.030110
6378137.023466,0.028184,-0.032625
6378137.024786,0.029914,-0.035240
6378137.026111,0.031657,-0.037957
6378137.027438,0.033412,-0.040774
6378137.028769,0.035179,-0.043693
6378137.030100,0.036955,-0.046712
6378137.031432,0.038741,-0.049833
6378137.032763,0.040535,-0.053054
6378137.034094,0.042338,-0.056377
6378137.035422,0.044147,-0.059801
6378137.036748,0.045964,-0.063325
6378137.038071,0.047787,-0.066951
6378137.039391,0.049615,-0.070677
6378137.040707,0.051449,-0.074505
6378137.042018,0.053288,-0.078433
6378137.043324,0.055131,-0.082463
6378137.044624,0.056979,-0.086593
6378137.045919,0.058832,-0.090825
6378137.047208,0.060688,-0.095157
6378137.048491,0.062548,-0.099590
6378137.049766,0.064411,-0.104124
6378137.051035,0.066278,-0.108759
6378137.052296,0.068148,-0.113495
6378137.053550,0.070022,-0.118331
6378137.054796,0.071898,-0.123269
6378137.056033,0.073777,-0.128307
6378137.057263,0.075658,-0.133446
6378137.058484,0.077543,-0.138686
6378137.059696,0.079430,-0.144026
6378137.060899,0.081319,-0.149467
6378137.062092,0.083211,-0.155009
6378137.063277,0.085106,-0.160652
6378137.064452,0.087003,-0.166396
6378137.065617,0.088902,-0.172240
6378137.066772,0.090803,-0.178185
