ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.737432,-0.087262,-10.751079
0.740146,-0.087591,-10.750839
0.742847,-0.087918,-10.750599
0.745535,-0.088244,-10.750360
0.748210,-0.088568,-10.750122
0.750873,-0.088890,-10.749884
0.753523,-0.089211,-10.749646
0.756161,-0.089530,-10.749409
0.758786,-0.089848,-10.749173
0.761399,-0.090164,-10.748937
0.763999,-0.090478,-10.748702
0.766587,-0.090791,-10.748467
0.769163,-0.091102,-10.133194
0.771887,-0.091426,-9.747999
0.774698,-0.091755,-9.747766
0.777494,-0.092083,-9.747533
0.780275,-0.092409,-9.747301
0.783042,-0.092734,-9.747070
0.785794,-0.093056,-9.746839
0.788531,-0.093377,-9.746609
0.791254,-0.093696,-9.746379
0.793963,-0.094014,-9.746150
0.796658,-0.094329,-9.745921
0.799338,-0.094643,-9.745693
0.802004,-0.094955,-9.745466
0.804656,-0.095266,-9.745239
0.807295,-0.095575,-9.745013
0.809919,-0.095882,-9.744787
0.812529,-0.096187,-9.744562
0.815126,-0.096491,-9.744338
0.817709,-0.096793,-9.744114
0.820279,-0.097093,-9.743891
0.822835,-0.097392,-9.743668
0.825377,-0.097689,-9.743446
0.827906,-0.097985,-9.743225
0.830422,-0.098278,-9.743004
0.832924,-0.098571,-9.742784
0.835414,-0.098861,-9.742565
0.837890,-0.099151,-9.742346
0.840353,-0.099438,-9.742128
0.842803,-0.099724,-9.741910
0.845241,-0.100008,-9.741694
0.847665,-0.100291,-9.741477
0.850077,-0.100572,-9.741262
0.852476,-0.100852,-9.741047
0.854862,-0.101130,-9.740832
0.857236,-0.101407,-9.740619
0.859597,-0.101682,-9.740406
0.861946,-0.101956,-9.740193
0.864283,-0.102228,-9.739981
0.866607,-0.102499,-9.739770
0.868919,-0.102768,-9.739560
0.871218,-0.103036,-9.739350
0.873506,-0.103302,-9.739141
0.875782,-0.103567,-9.738933
0.878045,-0.103831,-9.738725
0.880297,-0.104093,-9.738518
0.882537,-0.104353,-9.738311
0.884765,-0.104612,-9.738105
0.886981,-0.104870,-9.737900
0.889186,-0.105127,-9.737696
0.891379,-0.105382,-9.737492
0.893561,-0.105635,-9.737288
0.895731,-0.105887,-9.737086
0.897889,-0.106138,-9.736884
0.900037,-0.106388,-9.736683
0.902173,-0.106636,-9.736482
0.904297,-0.106882,-9.736283
0.906411,-0.107128,-9.736083
0.908513,-0.107372,-9.735885
0.910605,-0.107615,-9.735687
0.912685,-0.107856,-9.735490
0.914754,-0.108096,-9.735293
0.916813,-0.108335,-9.735098
0.918860,-0.108572,-9.734902
0.920897,-0.108809,-9.734708
0.922923,-0.109044,-9.734514
0.924939,-0.109277,-9.734321
0.926944,-0.109510,-9.734128
0.928938,-0.109741,-9.733937
0.930922,-0.109971,-9.733745
0.932895,-0.110199,-9.733555
0.934858,-0.110427,-9.733365
0.936811,-0.110653,-9.733176
0.938753,-0.110878,-9.732988
0.940685,-0.111102,-9.732800
0.942607,-0.111324,-9.732613
0.944519,-0.111545,-9.732426
0.946421,-0.111766,-9.732241
0.948312,-0.111984,-9.732055
0.950194,-0.112202,-9.731871
0.952066,-0.112419,-9.731687
0.953928,-0.112634,-9.731504
0.955780,-0.112848,-9.731322
0.957623,-0.113061,-9.731140
0.959456,-0.113273,-9.730959
0.961279,-0.113484,-9.730779
0.963093,-0.113694,-9.730599
0.964897,-0.113902,-9.730420
0.966691,-0.114109,-9.730241
0.968476,-0.114316,-9.730064
0.970252,-0.114521,-9.729886
0.972018,-0.114725,-9.729710
0.973775,-0.114928,-9.729534
0.975523,-0.115129,-9.729359
0.977262,-0.115330,-9.729185
0.978991,-0.115530,-9.729011
0.980711,-0.115728,-9.728838
0.982423,-0.115926,-9.728665
0.984125,-0.116122,-9.728494
0.985818,-0.116318,-9.728323
0.987503,-0.116512,-9.728152
0.989178,-0.116705,-9.727982
0.990845,-0.116897,-9.727813
0.992503,-0.117088,-9.727645
0.994152,-0.117279,-9.727477
0.995793,-0.117468,-9.727309
0.997425,-0.117656,-9.727143
0.999048,-0.117843,-9.726977
1.000663,-0.118029,-9.726812
1.002269,-0.118214,-9.726647
1.003867,-0.118398,-9.726483
1.005456,-0.118581,-9.726320
1.007037,-0.118763,-9.726157
1.008610,-0.118944,-9.725995
1.010175,-0.119124,-9.725834
1.011731,-0.119304,-9.725673
1.013279,-0.119482,-9.725513
1.014819,-0.119659,-9.725353
1.016351,-0.119835,-9.725194
1.017874,-0.120010,-9.725036
1.019390,-0.120185,-9.724879
1.020898,-0.120358,-9.724722
1.022398,-0.120531,-9.724565
1.023890,-0.120702,-9.724410
1.025374,-0.120873,-9.724255
1.026850,-0.121043,-9.724100
1.028318,-0.121212,-9.723947
1.029779,-0.121379,-9.723793
1.031232,-0.121546,-9.723641
1.032678,-0.121713,-9.723489
1.034116,-0.121878,-9.723338
1.035546,-0.122042,-9.723187
1.036969,-0.122206,-9.723037
1.038384,-0.122368,-9.722887
1.039792,-0.122530,-9.722739
1.041192,-0.122691,-9.722590
1.042585,-0.122851,-9.722443
1.043971,-0.123010,-9.722296
1.045349,-0.123168,-9.722149
1.046721,-0.123325,-9.722004
1.048084,-0.123482,-9.721859
1.049441,-0.123637,-9.721714
1.050791,-0.123792,-9.721570
1.052133,-0.123946,-9.721427
1.053469,-0.124100,-9.721284
1.054797,-0.124252,-9.721142
1.056119,-0.124403,-9.721000
1.057433,-0.124554,-9.720859
1.058741,-0.124704,-9.720719
1.060042,-0.124853,-9.720579
1.061336,-0.125002,-9.720440
1.062623,-0.125149,-9.720301
1.063903,-0.125296,-9.720163
1.065177,-0.125442,-9.720026
1.066443,-0.125587,-9.719889
1.067704,-0.125731,-9.719753
1.068957,-0.125875,-9.719617
1.070204,-0.126018,-9.719482
1.071445,-0.126160,-9.719348
1.072679,-0.126301,-9.719214
1.073906,-0.126442,-9.719080
1.075127,-0.126582,-9.718947
1.076341,-0.126721,-9.718815
1.077550,-0.126859,-9.718684
1.078751,-0.126996,-9.718553
1.079947,-0.127133,-9.718422
1.081136,-0.127269,-9.718292
1.082319,-0.127405,-9.718163
1.083496,-0.127539,-9.718034
1.084666,-0.127673,-9.717906
1.085831,-0.127807,-9.717778
1.086989,-0.127939,-9.717651
1.088141,-0.128071,-9.717524
1.089287,-0.128202,-9.717398
1.090427,-0.128332,-9.717273
1.091561,-0.128462,-9.717148
1.092689,-0.128591,-9.717023
1.093811,-0.128719,-9.716899
1.094928,-0.128847,-9.716776
1.096038,-0.128974,-9.716653
1.097143,-0.129100,-9.716531
1.098241,-0.129226,-9.716409
1.099334,-0.129350,-9.716288
1.100422,-0.129475,-9.716168
1.101503,-0.129598,-9.716048
1.102579,-0.129721,-9.715928
1.103649,-0.129843,-9.715809
1.104714,-0.129965,-9.715691
1.105773,-0.130086,-9.715573
1.106826,-0.130206,-9.715455
1.107874,-0.130326,-9.715338
1.108916,-0.130445,-9.715222
1.109953,-0.130563,-9.715106
1.110984,-0.130681,-9.714991
1.112010,-0.130798,-9.714876
1.113031,-0.130914,-9.714761
1.114046,-0.131030,-9.714648
1.115056,-0.131146,-9.714534
1.116060,-0.131260,-9.714421
1.117060,-0.131374,-9.714309
1.118054,-0.131488,-9.714197
1.119042,-0.131600,-9.714086
1.120026,-0.131713,-9.713975
1.121004,-0.131824,-9.713865
1.121978,-0.131935,-9.713755
1.122946,-0.132046,-9.713646
1.123909,-0.132155,-9.713537
1.124867,-0.132265,-9.713429
1.125820,-0.132373,-9.713321
1.126768,-0.132481,-9.713214
1.127711,-0.132589,-9.713107
1.128649,-0.132696,-9.713001
1.129582,-0.132802,-9.712895
1.130510,-0.132908,-9.712789
1.131433,-0.133013,-9.712684
1.132352,-0.133118,-9.712580
1.133265,-0.133222,-9.712476
1.134174,-0.133325,-9.712373
1.135078,-0.133428,-9.712270
1.135978,-0.133531,-9.712167
1.136872,-0.133633,-9.712065
1.137762,-0.133734,-9.711963
1.138647,-0.133835,-9.711862
1.139528,-0.133935,-9.711762
1.140403,-0.134035,-9.711661
1.141275,-0.134134,-9.711562
1.142141,-0.134233,-9.711462
1.143004,-0.134331,-9.711364
1.143861,-0.134428,-9.711265
1.144714,-0.134526,-9.711167
1.145563,-0.134622,-9.711070
1.146407,-0.134718,-9.710973
1.147247,-0.134814,-9.710876
1.148082,-0.134909,-9.710780
1.148913,-0.135003,-9.710685
1.149739,-0.135097,-9.710589
1.150562,-0.135191,-9.710495
1.151380,-0.135284,-9.710400
1.152193,-0.135376,-9.710306
1.153002,-0.135469,-9.710213
1.153807,-0.135560,-9.710120
1.154608,-0.135651,-9.710027
1.155405,-0.135742,-9.709935
1.156197,-0.135832,-9.709844
1.156986,-0.135921,-9.709752
1.157770,-0.136011,-9.709661
1.158550,-0.136099,-9.709571
1.159326,-0.136188,-9.709481
1.160097,-0.136275,-9.709391
1.160865,-0.136363,-9.709302
1.161629,-0.136449,-9.709213
1.162388,-0.136536,-9.709125
1.163144,-0.136622,-9.709037
1.163896,-0.136707,-9.708950
1.164644,-0.136792,-9.708862
1.165388,-0.136876,-9.708776
1.166127,-0.136960,-9.708689
1.166864,-0.137044,-9.708604
1.167596,-0.137127,-9.708518
1.168324,-0.137210,-9.708433
1.169049,-0.137292,-9.708348
1.169769,-0.137374,-9.708264
1.170486,-0.137456,-9.708180
1.171199,-0.137537,-9.708097
1.171909,-0.137617,-9.708014
1.172614,-0.137697,-9.707931
1.173316,-0.137777,-9.707849
1.174015,-0.137856,-9.707767
1.174709,-0.137935,-9.707685
1.175400,-0.138014,-9.707604
1.176087,-0.138092,-9.707523
1.176771,-0.138169,-9.707443
1.177451,-0.138246,-9.707363
1.178128,-0.138323,-9.707284
1.178801,-0.138399,-9.707204
1.179470,-0.138475,-9.707125
1.180136,-0.138551,-9.707047
1.180799,-0.138626,-9.706969
1.181457,-0.138701,-9.706891
1.182113,-0.138775,-9.706814
1.182765,-0.138849,-9.706737
1.183414,-0.138923,-9.706660
1.184059,-0.138996,-9.706584
1.184701,-0.139069,-9.706508
1.185339,-0.139141,-9.706433
1.185974,-0.139213,-9.706358
1.186606,-0.139285,-9.706283
1.187234,-0.139356,-9.706208
1.187859,-0.139427,-9.706134
1.188481,-0.139498,-9.706061
1.189100,-0.139568,-9.705987
1.189715,-0.139637,-9.705914
1.190327,-0.139707,-9.705841
1.190936,-0.139776,-9.705769
1.191542,-0.139845,-9.705697
1.192144,-0.139913,-9.705626
1.192744,-0.139981,-9.705554
1.193340,-0.140048,-9.705483
1.193933,-0.140116,-9.705413
1.194523,-0.140182,-9.705343
1.195109,-0.140249,-9.705273
1.195693,-0.140315,-9.705203
1.196274,-0.140381,-9.705134
1.196852,-0.140446,-9.705065
1.197426,-0.140511,-9.704996
1.197998,-0.140576,-9.704928
1.198566,-0.140641,-9.704860
1.199132,-0.140705,-9.704793
1.199694,-0.140768,-9.704726
1.200254,-0.140832,-9.704659
1.200811,-0.140895,-9.704592
1.201364,-0.140958,-9.704526
1.201915,-0.141020,-9.704460
1.202463,-0.141082,-9.704394
1.203008,-0.141144,-9.704329
1.203551,-0.141205,-9.704264
1.204090,-0.141266,-9.704199
1.204627,-0.141327,-9.704135
1.205160,-0.141387,-9.704071
1.205691,-0.141447,-9.704007
1.206219,-0.141507,-9.703944
1.206745,-0.141567,-9.703881
1.207267,-0.141626,-9.703818
1.207787,-0.141685,-9.703755
1.208304,-0.141743,-9.703693
1.208819,-0.141801,-9.703631
1.209330,-0.141859,-9.703570
1.209839,-0.141917,-9.703508
1.210346,-0.141974,-9.703447
1.210849,-0.142031,-9.703387
1.211350,-0.142088,-9.703326
1.211849,-0.142144,-9.703266
1.212345,-0.142201,-9.703206
1.212838,-0.142256,-9.703147
1.213328,-0.142312,-9.703088
1.213816,-0.142367,-9.703029
1.214302,-0.142422,-9.702970
1.214785,-0.142477,-9.702912
1.215265,-0.142531,-9.702854
1.215743,-0.142585,-9.702796
1.216218,-0.142639,-9.702739
1.216691,-0.142692,-9.702681
1.217161,-0.142745,-9.702624
1.217629,-0.142798,-9.702568
1.218095,-0.142851,-9.702511
1.218558,-0.142903,-9.702455
1.219018,-0.142955,-9.702400
1.219476,-0.143007,-9.702344
1.219932,-0.143059,-9.702289
1.220385,-0.143110,-9.702234
1.220836,-0.143161,-9.702179
1.221285,-0.143212,-9.702125
1.221731,-0.143262,-9.702070
1.222175,-0.143312,-9.702016
1.222616,-0.143362,-9.701963
1.223056,-0.143412,-9.701909
1.223492,-0.143461,-9.701856
1.223927,-0.143510,-9.701803
1.224359,-0.143559,-9.701751
1.224789,-0.143608,-9.701699
1.225217,-0.143656,-9.701647
1.225643,-0.143704,-9.701595
1.226066,-0.143752,-9.701543
1.226487,-0.143800,-9.701492
1.226906,-0.143847,-9.701441
1.227323,-0.143894,-9.701390
1.227737,-0.143941,-9.701339
1.228149,-0.143988,-9.701289
1.228560,-0.144034,-9.701239
1.228968,-0.144080,-9.701189
1.229373,-0.144126,-9.701140
1.229777,-0.144171,-9.701090
1.230179,-0.144217,-9.701041
1.230578,-0.144262,-9.700993
1.230976,-0.144307,-9.700944
1.231371,-0.144351,-9.700896
1.231764,-0.144396,-9.700848
1.232155,-0.144440,-9.700800
1.232544,-0.144484,-9.700752
1.232931,-0.144528,-9.700705
1.233316,-0.144571,-9.700658
1.233699,-0.144614,-9.700611
1.234080,-0.144658,-9.700564
1.234459,-0.144700,-9.700518
1.234836,-0.144743,-9.700471
1.235211,-0.144785,-9.700426
1.235584,-0.144827,-9.700380
1.235955,-0.144869,-9.700334
1.236325,-0.144911,-9.700289
1.236692,-0.144952,-9.700244
1.237057,-0.144994,-9.700199
1.237420,-0.145035,-9.700154
1.237782,-0.145075,-9.700110
1.238141,-0.145116,-9.700066
1.238499,-0.145156,-9.700022
1.238855,-0.145197,-9.699978
1.239209,-0.145237,-9.699935
1.239561,-0.145276,-9.699891
1.239911,-0.145316,-9.699848
1.240259,-0.145355,-9.699806
1.240606,-0.145394,-9.699763
1.240951,-0.145433,-9.699720
1.241293,-0.145472,-9.699678
1.241635,-0.145510,-9.699636
1.241974,-0.145549,-9.699594
1.242311,-0.145587,-9.699553
1.242647,-0.145625,-9.699511
1.242981,-0.145662,-9.699470
1.243313,-0.145700,-9.699429
1.243644,-0.145737,-9.699389
1.243973,-0.145774,-9.699348
1.244300,-0.145811,-9.699308
1.244625,-0.145848,-9.699268
1.244948,-0.145884,-9.699228
1.245270,-0.145921,-9.699188
1.245591,-0.145957,-9.699148
1.245909,-0.145993,-9.699109
1.246226,-0.146028,-9.699070
1.246541,-0.146064,-9.699031
1.246855,-0.146099,-9.698992
1.247167,-0.146134,-9.698954
1.247477,-0.146169,-9.698915
1.247785,-0.146204,-9.698877
1.248092,-0.146239,-9.698839
1.248398,-0.146273,-9.698801
1.248702,-0.146308,-9.698764
1.249004,-0.146342,-9.698726
1.249304,-0.146376,-9.698689
1.249603,-0.146409,-9.698652
1.249901,-0.146443,-9.698615
1.250197,-0.146476,-9.698579
1.250491,-0.146509,-9.698542
1.250784,-0.146542,-9.698506
1.251075,-0.146575,-9.698470
1.251365,-0.146608,-9.698434
1.251653,-0.146640,-9.698398
1.251940,-0.146673,-9.698362
1.252225,-0.146705,-9.698327
1.252508,-0.146737,-9.698292
1.252791,-0.146769,-9.698257
1.253071,-0.146800,-9.698222
1.253351,-0.146832,-9.698187
1.253628,-0.146863,-9.698153
1.253905,-0.146894,-9.698119
1.254179,-0.146925,-9.698084
1.254453,-0.146956,-9.698050
1.254725,-0.146987,-9.698017
1.254995,-0.147017,-9.697983
1.255265,-0.147048,-9.697950
1.255532,-0.147078,-9.697916
1.255799,-0.147108,-9.697883
1.256063,-0.147138,-9.697850
1.256327,-0.147167,-9.697817
1.256589,-0.147197,-9.697785
1.256850,-0.147226,-9.697752
1.257109,-0.147256,-9.697720
1.257367,-0.147285,-9.697688
1.257624,-0.147314,-9.697656
1.257879,-0.147342,-9.697624
1.258133,-0.147371,-9.697593
1.258386,-0.147399,-9.697561
1.258637,-0.147428,-9.697530
1.258887,-0.147456,-9.697499
1.259136,-0.147484,-9.697468
1.259383,-0.147512,-9.697437
1.259629,-0.147540,-9.697406
1.259874,-0.147567,-9.697376
1.260118,-0.147595,-9.697345
1.260360,-0.147622,-9.697315
1.260601,-0.147649,-9.697285
1.260841,-0.147676,-9.697255
1.261079,-0.147703,-9.697225
1.261316,-0.147730,-9.697196
1.261552,-0.147756,-9.697166
1.261787,-0.147783,-9.697137
1.262020,-0.147809,-9.697108
1.262252,-0.147835,-9.697079
1.262483,-0.147861,-9.697050
1.262713,-0.147887,-9.697021
1.262942,-0.147913,-9.696992
1.263169,-0.147938,-9.696964
1.263395,-0.147964,-9.696936
1.263620,-0.147989,-9.696908
1.263844,-0.148014,-9.696880
1.264067,-0.148039,-9.696852
1.264288,-0.148064,-9.696824
1.264509,-0.148089,-9.696796
1.264728,-0.148114,-9.696769
1.264946,-0.148138,-9.696742
1.265163,-0.148163,-9.696715
1.265378,-0.148187,-9.696688
1.265593,-0.148211,-9.696661
1.265807,-0.148235,-9.696634
1.266019,-0.148259,-9.696607
1.266230,-0.148283,-9.696581
1.266440,-0.148307,-9.696555
1.266649,-0.148330,-9.696528
1.266857,-0.148354,-9.696502
1.267064,-0.148377,-9.696476
1.267270,-0.148400,-9.696451
1.267474,-0.148423,-9.696425
1.267678,-0.148446,-9.696399
1.267881,-0.148469,-9.696374
1.268082,-0.148492,-9.696349
1.268282,-0.148514,-9.696324
1.268482,-0.148537,-9.696299
1.268680,-0.148559,-9.696274
1.268877,-0.148581,-9.696249
1.269074,-0.148603,-9.696224
1.269269,-0.148625,-9.696200
1.269463,-0.148647,-9.696176
1.269656,-0.148669,-9.696151
1.269848,-0.148690,-9.696127
1.270039,-0.148712,-9.696103
1.270229,-0.148733,-9.696079
1.270419,-0.148755,-9.696055
1.270607,-0.148776,-9.696032
1.270794,-0.148797,-9.696008
1.270980,-0.148818,-9.695985
1.271165,-0.148839,-9.695962
1.271349,-0.148859,-9.695938
1.271533,-0.148880,-9.695915
1.271715,-0.148901,-9.695893
1.271896,-0.148921,-9.695870
1.272077,-0.148941,-9.695847
1.272256,-0.148961,-9.695824
1.272434,-0.148982,-9.695802
1.272612,-0.149001,-9.695780
1.272789,-0.149021,-9.695757
1.272964,-0.149041,-9.695735
1.273139,-0.149061,-9.695713
1.273313,-0.149080,-9.695691
1.273486,-0.149100,-9.695670
1.273658,-0.149119,-9.695648
1.273829,-0.149138,-9.695626
1.273999,-0.149158,-9.695605
1.274169,-0.149177,-9.695584
1.274337,-0.149196,-9.695562
1.274505,-0.149214,-9.695541
1.274671,-0.149233,-9.695520
1.274837,-0.149252,-9.695499
1.275002,-0.149270,-9.695479
1.275166,-0.149289,-9.695458
1.275329,-0.149307,-9.695437
1.275492,-0.149326,-9.695417
1.275653,-0.149344,-9.695397
1.275814,-0.149362,-9.695376
1.275973,-0.149380,-9.695356
1.276132,-0.149398,-9.695336
1.276291,-0.149415,-9.695316
1.276448,-0.149433,-9.695296
1.276604,-0.149451,-9.695277
1.276760,-0.149468,-9.695257
1.276915,-0.149486,-9.695237
1.277069,-0.149503,-9.695218
1.277222,-0.149520,-9.695199
1.277374,-0.149537,-9.695179
1.277526,-0.149554,-9.695160
1.277677,-0.149571,-9.695141
1.277827,-0.149588,-9.695122
1.277976,-0.149605,-9.695103
1.278124,-0.149622,-9.695085
1.278272,-0.149638,-9.695066
1.278419,-0.149655,-9.695047
1.278565,-0.149671,-9.695029
1.278711,-0.149688,-9.695011
1.278855,-0.149704,-9.694992
1.278999,-0.149720,-9.694974
1.279142,-0.149736,-9.694956
1.279284,-0.149752,-9.694938
1.279426,-0.149768,-9.694920
1.279567,-0.149784,-9.694902
1.279707,-0.149800,-9.694885
1.279846,-0.149815,-9.694867
1.279985,-0.149831,-9.694850
1.280123,-0.149846,-9.694832
1.280260,-0.149862,-9.694815
1.280396,-0.149877,-9.694798
1.280532,-0.149893,-9.694780
1.280667,-0.149908,-9.694763
1.280801,-0.149923,-9.694746
1.280935,-0.149938,-9.694729
1.281068,-0.149953,-9.694713
1.281200,-0.149968,-9.694696
1.281332,-0.149982,-9.694679
1.281462,-0.149997,-9.694663
1.281593,-0.150012,-9.694646
1.281722,-0.150026,-9.694630
1.281851,-0.150041,-9.694613
1.281979,-0.150055,-9.694597
1.282106,-0.150070,-9.694581
1.282233,-0.150084,-9.694565
1.282359,-0.150098,-9.694549
1.282485,-0.150112,-9.694533
1.282609,-0.150126,-9.694517
1.282734,-0.150140,-9.694502
1.282857,-0.150154,-9.694486
1.282980,-0.150168,-9.694470
1.283102,-0.150182,-9.694455
1.283223,-0.150195,-9.694440
1.283344,-0.150209,-9.694424
1.283465,-0.150222,-9.694409
1.283584,-0.150236,-9.694394
1.283703,-0.150249,-9.694379
1.283822,-0.150262,-9.694364
1.283939,-0.150276,-9.694349
1.284057,-0.150289,-9.694334
1.284173,-0.150302,-9.694319
1.284289,-0.150315,-9.694304
1.284404,-0.150328,-9.694290
1.284519,-0.150341,-9.694275
1.284633,-0.150354,-9.694261
1.284747,-0.150366,-9.694246
1.284859,-0.150379,-9.694232
1.284972,-0.150392,-9.694218
1.285083,-0.150404,-9.694204
1.285195,-0.150417,-9.694190
1.285305,-0.150429,-9.694175
1.285415,-0.150442,-9.694162
1.285524,-0.150454,-9.694148
1.285633,-0.150466,-9.694134
