ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.083657,0.005376,-0.497367,0.060852,0.010051,-1.004315
6378137.088890,0.020714,-1.996096,-0.057182,0.020694,-1.986055
6378137.009930,0.042831,-3.981354,-0.097614,0.023236,-1.984451
6378136.899449,0.066730,-5.965110,-0.121501,0.024432,-1.983117
6378136.770348,0.091491,-7.947739,-0.135611,0.025031,-1.982195
6378136.630248,0.116695,-9.929618,-0.143945,0.025348,-1.981603
6378136.483651,0.142138,-11.911025,-0.148868,0.025522,-1.981237
6378136.333216,0.167713,-13.892143,-0.151777,0.025620,-1.981015
6378136.180514,0.193364,-15.873086,-0.153495,0.025677,-1.980882
6378136.026472,0.219059,-17.853925,-0.154510,0.025710,-1.980803
6378135.871639,0.244779,-19.834702,-0.155109,0.025729,-1.980755
6378135.716339,0.270514,-21.815443,-0.155464,0.025740,-1.980728
6378135.560762,0.296258,-23.796161,-0.155673,0.025747,-1.980711
6378135.405005,0.322032,-25.776850,-0.157041,0.027499,-1.979471
6378135.204444,0.406988,-27.713419,-0.250192,0.146996,-1.887564
6378134.903294,0.610878,-29.550309,-0.353884,0.259632,-1.784180
6378134.496584,0.920759,-31.281007,-0.461025,0.358977,-1.675299
6378133.981774,1.323772,-32.900543,-0.569825,0.445943,-1.561994
6378133.357974,1.808075,-34.405044,-0.678781,0.521646,-1.445388
6378132.625645,2.363024,-35.791784,-0.786701,0.587354,-1.326647
6378131.786281,2.979289,-37.059219,-0.892714,0.644422,-1.206974
6378130.842086,3.648916,-38.207026,-0.996274,0.694234,-1.087598
6378129.795653,4.365321,-39.236116,-1.097149,0.738142,-0.969767
6378128.649224,5.124032,-40.150013,-1.215229,0.813692,-0.922836
6378127.259760,5.966741,-41.641118,-1.696800,0.698067,-1.907327
6378125.352985,6.531273,-43.695337,-1.980786,0.504158,-2.056501
6378123.342243,7.003636,-45.730034,-2.035966,0.444965,-2.015871
6378121.289353,7.429530,-47.732758,-2.067233,0.409506,-1.991416
6378119.212391,7.827676,-49.716319,-2.085240,0.388400,-1.976817
6378117.121500,8.209336,-51.688466,-2.095714,0.375880,-1.968141
6378115.022479,8.581223,-53.653838,-2.101846,0.368466,-1.962998
6378112.918691,8.947327,-55.615197,-2.105448,0.364079,-1.959954
6378110.812100,9.310009,-57.574181,-2.107570,0.361486,-1.958153
6378108.703857,9.670670,-59.531760,-2.108820,0.359953,-1.957088
6378106.594639,10.030135,-61.488510,-2.109559,0.359048,-1.956459
6378104.484845,10.388895,-63.444769,-2.109994,0.358512,-1.956087
6378102.374712,10.747237,-65.400738,-2.110252,0.358196,-1.955868
6378100.264379,11.105332,-67.356536,-2.110404,0.358009,-1.955738
6378098.153392,11.463104,-69.311494,-2.124960,0.353032,-1.935607
6378095.910487,11.762977,-71.060756,-2.347189,0.239545,-1.561335
6378093.500872,11.941975,-72.468859,-2.455335,0.118726,-1.272170
6378091.030679,12.005341,-73.653459,-2.472387,0.008235,-1.120676
6378088.579045,11.959160,-74.762895,-2.419202,-0.103765,-1.124123
6378086.215523,11.791443,-75.949963,-2.292759,-0.238121,-1.273799
6378084.024739,11.473860,-77.346289,-2.067094,-0.403126,-1.536372
6378082.123078,10.983131,-79.039864,-1.707911,-0.578269,-1.858780
6378080.656180,10.332889,-81.058924,-1.195097,-0.710575,-2.175916
6378079.773632,9.601649,-83.364457,-0.544228,-0.726182,-2.419998
6378079.577298,8.941088,-85.852913,-0.002224,-0.591122,-2.536230
6378079.206176,8.083262,-88.502686,-0.664415,-1.191480,-2.843538
6378078.261405,6.556069,-91.551643,-1.232060,-1.870468,-3.260131
6378076.879336,4.517412,-94.925013,-1.413751,-2.057220,-3.401421
6378075.462675,2.471859,-98.332247,-1.419142,-2.035550,-3.412196
6378074.041835,0.443220,-101.747848,-1.422291,-2.022717,-3.418511
6378072.618548,-1.575408,-105.168359,-1.424139,-2.015124,-3.422223
6378071.193822,-3.588114,-108.591761,-1.425227,-2.010635,-3.424410
6378069.768250,-5.597320,-112.016866,-1.425868,-2.007981,-3.425700
6378068.342179,-7.604456,-115.442977,-1.426246,-2.006413,-3.426461
6378066.915813,-9.610370,-118.869680,-1.426469,-2.005487,-3.426911
6378065.489273,-11.615562,-122.296734,-1.426601,-2.004939,-3.427176
6378064.062630,-13.620327,-125.723995,-1.426679,-2.004616,-3.427333
6378062.716384,-15.552928,-129.201880,-1.095733,-1.715209,-3.622078
6378062.000001,-16.973192,-132.959330,-0.309260,-1.117605,-3.855135
6378062.112206,-17.791206,-136.823849,0.544584,-0.511200,-3.827676
6378063.067454,-18.000583,-140.523622,1.358426,0.098219,-3.523355
6378064.773618,-17.604026,-143.789401,2.028813,0.697706,-2.963759
6378067.042766,-16.621381,-146.390856,2.469930,1.265821,-2.204397
6378069.614754,-15.097816,-148.166603,2.625071,1.773627,-1.326161
6378072.190395,-13.109978,-149.043937,2.474065,2.187711,-0.423494
6378074.469607,-10.768325,-149.045812,2.035616,2.474700,0.408981
6378076.189213,-8.214540,-148.284471,1.364235,2.606435,1.089473
6378077.311252,-5.424921,-146.918714,1.116210,3.182382,1.473772
6378078.552668,-1.820924,-145.566921,1.381422,4.035549,1.229044
6378079.952347,2.422766,-144.380506,1.329527,4.295581,1.195846
6378081.219777,6.733212,-143.171307,1.214086,4.322728,1.220543
6378082.396899,11.063919,-141.943039,1.145411,4.337382,1.234850
6378083.520380,15.405733,-140.703684,1.104682,4.345553,1.243203
6378084.612076,19.753804,-139.457840,1.080568,4.350209,1.248102
6378085.684961,24.105467,-138.208185,1.066303,4.352901,1.250984
6378086.746722,28.459214,-136.956285,1.057870,4.354470,1.252683
6378087.801907,32.814180,-135.703063,1.052885,4.355389,1.253685
6378088.853205,37.169860,-134.449060,1.049940,4.355930,1.254276
6378089.902208,41.525962,-133.194595,1.048199,4.356248,1.254625
6378090.949853,45.882311,-131.939859,1.047171,4.356436,1.254831
6378091.996697,50.238808,-130.684962,1.046564,4.356547,1.254953
6378093.043068,54.595390,-129.429970,1.046205,4.356613,1.255025
6378093.779134,58.962184,-128.018277,0.135337,4.357934,1.679418
6378093.217704,63.204838,-126.153699,-1.278792,4.066218,1.990050
6378091.253464,66.986763,-124.167113,-2.639184,3.438769,1.919172
6378088.027782,69.996541,-122.433255,-3.772875,2.532104,1.488599
6378083.839174,71.999059,-121.282295,-4.542604,1.440467,0.764719
6378079.097776,72.865611,-120.960277,-4.865288,0.279507,-0.152538
6378074.265845,72.585613,-121.602964,-4.721021,-0.833557,-1.145207
6378069.794509,71.258367,-123.226476,-4.151439,-1.799330,-2.094941
6378066.067144,69.067262,-125.735541,-3.248316,-2.551353,-2.900141
6378063.357965,66.242223,-128.947569,-2.135016,-3.064051,-3.490063
6378061.594644,63.107314,-132.884062,-1.673836,-3.109633,-4.449253
6378059.880752,60.050491,-137.813344,-1.764443,-2.999932,-5.418856
6378058.149582,57.048318,-143.347968,-1.678841,-3.018744,-5.549284
6378056.508395,54.017640,-148.901968,-1.608906,-3.040766,-5.557971
6378054.921789,50.970062,-154.462603,-1.567496,-3.053366,-5.562894
6378053.367486,47.912754,-160.027029,-1.543000,-3.060667,-5.565730
6378051.832287,44.849788,-165.593649,-1.528517,-3.064930,-5.567379
6378050.308380,41.783510,-171.161549,-1.519958,-3.067431,-5.568345
6378048.791147,38.715286,-176.730200,-1.514900,-3.068903,-5.568913
6378047.277857,35.645916,-182.299293,-1.511911,-3.069770,-5.569247
6378045.766897,32.575870,-187.868647,-1.510145,-3.070282,-5.569444
6378044.257314,29.505426,-193.438153,-1.509102,-3.070584,-5.569560
