ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.116110,1.414397,0.548350
0.115362,1.406988,0.545419
0.114621,1.399617,0.542504
0.113884,1.392286,0.539605
0.113153,1.384992,0.536721
0.112427,1.377737,0.533853
0.111706,1.370520,0.531001
0.110991,1.363340,0.528164
0.110280,1.356198,0.525342
0.109575,1.349093,0.522536
0.108874,1.342025,0.519745
0.108179,1.334995,0.516969
0.107489,1.328001,0.514208
0.106803,1.321043,0.511462
0.106122,1.314122,0.508731
0.105447,1.307238,0.506014
0.104776,1.300389,0.503313
0.104109,1.293576,0.500626
0.103448,1.286799,0.497953
0.102791,1.280057,0.495296
0.102139,1.273350,0.492652
0.101491,1.266678,0.490023
0.100848,1.260042,0.487408
0.100209,1.253440,0.484807
0.099575,1.246872,0.482220
0.098946,1.240339,0.479647
0.098321,1.233840,0.477088
0.097700,1.227375,0.474543
0.097083,1.220944,0.472012
0.096471,1.214546,0.469494
0.095864,1.208182,0.466990
0.095260,1.201852,0.464500
0.094661,1.195554,0.462023
0.094066,1.189289,0.459559
0.093475,1.183057,0.457109
0.092888,1.176858,0.454672
0.092305,1.170691,0.452248
0.091726,1.164556,0.449837
0.091152,1.158454,0.447440
0.090581,1.152383,0.445055
0.090014,1.146344,0.442683
0.089451,1.140337,0.440324
0.088893,1.134361,0.437977
0.088338,1.128416,0.435644
0.087786,1.122503,0.433323
0.087239,1.116620,0.431014
0.086695,1.110768,0.428718
0.086156,1.104947,0.426434
0.085620,1.099156,0.424163
0.085087,1.093396,0.421903
0.084558,1.087666,0.419656
0.084033,1.081965,0.417422
0.083512,1.076295,0.415199
0.082994,1.070654,0.412988
0.082479,1.065043,0.410789
0.081969,1.059461,0.408602
0.081461,1.053908,0.406427
0.080957,1.048384,0.404263
0.080457,1.042890,0.402111
0.079960,1.037423,0.399971
0.079466,1.031986,0.397842
0.078976,1.026577,0.395725
0.078489,1.021196,0.393619
0.078006,1.015844,0.391524
0.077525,1.010519,0.389441
0.077048,1.005223,0.387369
0.076574,0.999954,0.385308
0.076104,0.994713,0.383258
0.075636,0.989499,0.381219
0.075172,0.984312,0.379192
0.074711,0.979153,0.377175
0.074253,0.974020,0.375169
0.073798,0.968914,0.373173
0.073346,0.963836,0.371189
0.072898,0.958783,0.369215
0.072452,0.953757,0.367252
0.072009,0.948758,0.365299
0.071569,0.943785,0.363357
0.071133,0.938837,0.361425
0.070699,0.933916,0.359504
0.070268,0.929020,0.357593
0.069840,0.924150,0.355692
0.069414,0.919305,0.353801
0.068992,0.914486,0.351921
0.068573,0.909692,0.350051
0.068156,0.904923,0.348191
0.067742,0.900180,0.346340
0.067331,0.895460,0.344500
0.066922,0.890766,0.342670
0.066517,0.886096,0.340849
0.066114,0.881451,0.339038
0.065713,0.876830,0.337237
0.065316,0.872233,0.335446
0.064921,0.867660,0.333664
0.064528,0.863112,0.331892
0.064138,0.858587,0.330129
0.063751,0.854085,0.328376
0.063366,0.849608,0.326632
0.062984,0.845153,0.324898
0.062605,0.840722,0.323172
0.062228,0.836315,0.321456
0.061853,0.831930,0.319750
0.061481,0.827568,0.318052
0.061111,0.823229,0.316364
0.060744,0.818913,0.314684
0.060379,0.814619,0.313014
0.060017,0.810348,0.311352
0.059657,0.806100,0.309700
0.059299,0.801873,0.308056
0.058943,0.797669,0.306421
0.058590,0.793487,0.304795
0.058240,0.789326,0.303178
0.057891,0.785188,0.301569
0.057545,0.781071,0.299969
0.057201,0.776975,0.298377
0.056860,0.772901,0.296794
0.056520,0.768849,0.295220
0.056183,0.764817,0.293654
0.055848,0.760807,0.292096
0.055515,0.756818,0.290547
0.055185,0.752849,0.289006
0.054856,0.748902,0.287473
0.054530,0.744975,0.285948
0.054205,0.741069,0.284432
0.053883,0.737183,0.282923
0.053563,0.733317,0.281423
0.053245,0.729472,0.279931
0.052929,0.725647,0.278447
0.052615,0.721842,0.276970
0.052303,0.718057,0.275502
0.051993,0.714291,0.274041
0.051686,0.710546,0.272589
0.051380,0.706820,0.271144
0.051076,0.703113,0.269706
0.050774,0.699426,0.268277
0.050474,0.695758,0.266855
0.050176,0.692110,0.265441
0.049879,0.688480,0.264034
0.049585,0.684870,0.262635
0.049293,0.681278,0.261243
0.049002,0.677706,0.259859
0.048713,0.674152,0.258482
0.048427,0.670616,0.257112
0.048142,0.667100,0.255750
0.047858,0.663601,0.254395
0.047577,0.660121,0.253047
0.047297,0.656659,0.251707
0.047020,0.653216,0.250373
0.046744,0.649790,0.249047
0.046469,0.646382,0.247728
0.046197,0.642992,0.246416
0.045926,0.639620,0.245111
0.045657,0.636266,0.243813
0.045389,0.632929,0.242522
0.045124,0.629610,0.241237
0.044860,0.626308,0.239960
0.044597,0.623023,0.238689
0.044337,0.619756,0.237425
0.044078,0.616505,0.236168
0.043820,0.613272,0.234918
0.043565,0.610055,0.233674
0.043310,0.606856,0.232437
0.043058,0.603673,0.231207
0.042807,0.600507,0.229983
0.042557,0.597358,0.228765
0.042310,0.594225,0.227554
0.042063,0.591108,0.226350
0.041819,0.588008,0.225152
0.041575,0.584924,0.223960
0.041334,0.581856,0.222775
0.041094,0.578804,0.221596
0.040855,0.575769,0.220423
0.040618,0.572749,0.219257
0.040382,0.569745,0.218097
0.040148,0.566756,0.216943
0.039915,0.563784,0.215795
0.039684,0.560827,0.214653
0.039454,0.557885,0.213518
0.039226,0.554959,0.212388
0.038999,0.552048,0.211264
0.038773,0.549153,0.210147
0.038549,0.546272,0.209035
0.038326,0.543407,0.207929
0.038105,0.540557,0.206830
0.037885,0.537722,0.205736
0.037666,0.534901,0.204648
0.037449,0.532095,0.203565
0.037233,0.529304,0.202489
0.037018,0.526528,0.201418
0.036805,0.523766,0.200353
0.036593,0.521019,0.199293
0.036382,0.518286,0.198239
0.036173,0.515567,0.197191
0.035965,0.512863,0.196148
