ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000100,-0.000100
6378137.000300,0.000300,-0.000300
6378137.000600,0.000600,-0.000600
6378137.000987,0.001001,-0.001000
6378137.001449,0.001501,-0.001500
6378137.001976,0.002102,-0.002100
6378137.002563,0.002804,-0.002800
6378137.003203,0.003606,-0.003600
6378137.003890,0.004509,-0.004501
6378137.004620,0.005513,-0.005501
6378137.005387,0.006617,-0.006601
6378137.006187,0.007823,-0.007801
6378137.007017,0.009131,-0.009102
6378137.007873,0.010539,-0.010502
6378137.008752,0.012049,-0.012002
6378137.009651,0.013609,-0.013602
6378137.010568,0.015205,-0.015302
6378137.011501,0.016835,-0.017103
6378137.012446,0.018495,-0.019003
6378137.013403,0.020183,-0.021004
6378137.014370,0.021896,-0.023105
6378137.015344,0.023632,-0.025306
6378137.016325,0.025389,-0.027607
6378137.017312,0.027166,-0.030009
6378137.018302,0.028959,-0.032511
6378137.019296,0.030769,-0.035112
6378137.020291,0.032594,-0.037814
6378137.021287,0.034433,-0.040617
6378137.022284,0.036284,-0.043519
6378137.023280,0.038147,-0.046522
6378137.024274,0.040021,-0.049624
6378137.025267,0.041905,-0.052827
6378137.026257,0.043798,-0.056130
6378137.027243,0.045701,-0.059534
6378137.028226,0.047612,-0.063037
6378137.029205,0.049531,-0.066641
6378137.030179,0.051457,-0.070344
6378137.031148,0.053391,-0.074148
6378137.032112,0.055331,-0.078052
6378137.033070,0.057278,-0.082056
6378137.034021,0.059231,-0.086160
6378137.034966,0.061190,-0.090364
6378137.035904,0.063155,-0.094669
6378137.036835,0.065126,-0.099073
6378137.037759,0.067102,-0.103577
6378137.038674,0.069084,-0.108182
6378137.039582,0.071070,-0.112886
6378137.040482,0.073062,-0.117691
6378137.041373,0.075060,-0.122596
6378137.042255,0.077062,-0.127600
6378137.043129,0.079069,-0.132705
6378137.043994,0.081080,-0.137909
6378137.044849,0.083097,-0.143214
6378137.045694,0.085119,-0.148618
6378137.046531,0.087145,-0.154123
6378137.047357,0.089176,-0.159727
6378137.048173,0.091212,-0.165431
6378137.048979,0.093252,-0.171236
6378137.049775,0.095297,-0.177140
