ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378106.369891,-62.834051,-12.974555,1.784827,1.215455,5.573562
6378108.154593,-61.618373,-7.401002,1.784594,1.215870,5.573546
6378109.877416,-60.299458,-1.817954,1.511037,1.649724,5.610362
6378111.021210,-58.227848,3.804095,0.727882,2.470487,5.616718
6378111.270061,-55.438769,9.381048,-0.270942,3.072484,5.518486
6378110.440300,-52.177341,14.806811,-1.418677,3.405821,5.313013
6378108.420584,-48.728592,19.973772,-2.638132,3.441054,4.999938
6378105.179549,-45.396087,24.775100,-3.847543,3.170974,4.581204
6378100.767246,-42.479417,29.107036,-4.966913,2.610845,4.061032
6378095.310312,-40.252342,32.871144,-5.924121,1.796880,3.445845
6378089.001338,-38.943286,35.976448,-6.660328,0.783068,2.744137
6378082.083374,-38.719695,38.341419,-7.134229,-0.363346,1.966297
6378074.808453,-39.466225,40.068895,-7.452189,-0.839870,1.842813
6378067.128899,-40.307315,42.256735,-7.915454,-0.831413,2.552506
6378059.105635,-41.177412,44.954928,-8.042324,-0.944867,2.690695
6378051.061920,-42.180013,47.620239,-8.044672,-1.052026,2.643498
6378043.016844,-43.266104,50.248614,-8.045339,-1.115257,2.615397
6378034.971412,-44.401469,52.855033,-8.045483,-1.152583,2.598720
6378026.925926,-45.565925,55.448432,-8.045480,-1.174624,2.588840
6378018.880461,-46.747561,58.034125,-8.045448,-1.187641,2.582995
6378010.835028,-47.939345,60.615258,-8.045418,-1.195330,2.579538
6378002.789621,-49.137121,63.193695,-8.045397,-1.199872,2.577495
6377994.744231,-50.338439,65.770539,-8.045383,-1.202555,2.576287
6377986.698852,-51.541848,68.346442,-8.045375,-1.204140,2.575574
6377978.653480,-52.746493,70.921788,-8.045370,-1.205077,2.575152
6377970.608112,-53.951868,73.496806,-8.045366,-1.205630,2.574903
6377962.492340,-55.192128,75.808178,-8.262258,-1.317023,1.699328
6377954.130734,-56.582559,76.769076,-8.420099,-1.452629,0.202799
6377945.736279,-58.066034,76.228296,-8.326927,-1.497178,-1.295166
6377937.553674,-59.538087,74.210447,-7.997373,-1.425182,-2.742307
6377929.807882,-60.873717,70.791033,-7.455966,-1.221389,-4.089502
6377922.695471,-61.938167,66.092111,-6.734591,-0.881733,-5.293224
6377916.378628,-62.598207,60.275556,-5.869703,-0.413380,-6.317790
6377910.981969,-62.733023,53.534273,-4.899556,0.166105,-7.137167
6377906.592033,-62.243876,46.081880,-3.861642,0.830384,-7.736243
6377903.259148,-61.061800,38.141403,-2.790551,1.546602,-8.111488
