ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.008351,0.135619,-0.493560,-0.010335,0.165050,-0.996757
6378136.967206,0.322611,-1.971049,-0.070130,0.206925,-1.831263
6378136.884404,0.536566,-3.800958,-0.093740,0.219832,-1.828701
6378136.783030,0.760294,-5.628773,-0.107939,0.227014,-1.827040
6378136.670533,0.989519,-7.455259,-0.116411,0.231101,-1.826007
6378136.551412,1.221895,-9.280929,-0.121444,0.233461,-1.825379
6378136.428361,1.456097,-11.106104,-0.124428,0.234835,-1.825001
6378136.302983,1.691367,-12.930985,-0.126194,0.235641,-1.824776
6378136.176226,1.927263,-14.755689,-0.127238,0.236114,-1.824643
6378136.048656,2.163528,-16.580289,-0.127856,0.236393,-1.824563
6378135.920604,2.400010,-18.404827,-0.128220,0.236558,-1.824516
6378135.792267,2.636620,-20.229328,-0.128436,0.236655,-1.824489
6378135.663762,2.873306,-22.053808,-0.128564,0.236712,-1.824472
6378135.535158,3.110036,-23.878275,-0.128639,0.236746,-1.824462
6378135.391710,3.399202,-25.655141,-0.176831,0.385426,-1.682762
6378135.163273,3.871800,-27.226078,-0.286888,0.550285,-1.453271
6378134.812667,4.476177,-28.558673,-0.416471,0.648692,-1.207629
6378134.334083,5.148728,-29.641881,-0.538820,0.688080,-0.956166
6378133.745186,5.837689,-30.474987,-0.634272,0.684215,-0.709162
6378133.078904,6.509685,-31.067403,-0.692257,0.657495,-0.476534
6378132.373992,7.152395,-31.438145,-0.711731,0.628993,-0.267519
6378131.665908,7.773384,-31.615020,-0.700134,0.616822,-0.090405
6378130.979353,8.395658,-31.633541,-0.671151,0.633317,0.047728
6378130.323469,9.050959,-31.535625,-0.641702,0.683364,0.141205
6378129.275924,9.851688,-31.452352,-1.629094,0.834173,-0.081308
6378127.295647,10.437387,-31.579449,-2.125118,0.463994,-0.130554
6378125.164079,10.874970,-31.693969,-2.136815,0.415096,-0.100899
6378123.023942,11.274705,-31.785596,-2.142889,0.386627,-0.083728
6378120.879255,11.652345,-31.863920,-2.146196,0.369961,-0.073710
6378118.732052,12.017028,-31.934464,-2.148055,0.360169,-0.067837
6378116.583422,12.374091,-32.000439,-2.149120,0.354404,-0.064383
6378114.433969,12.726663,-32.063726,-2.149737,0.351004,-0.062348
6378112.284036,13.076587,-32.125427,-2.150098,0.348999,-0.061148
6378110.133824,13.424948,-32.186193,-2.150310,0.347814,-0.060439
6378107.983446,13.772385,-32.246408,-2.150435,0.347115,-0.060021
6378105.832971,14.119278,-32.306296,-2.150509,0.346702,-0.059774
6378103.682439,14.465848,-32.365991,-2.150552,0.346458,-0.059628
6378101.531874,14.812228,-32.425573,-2.150578,0.346314,-0.059542
6378099.381288,15.158496,-32.485087,-2.150593,0.346229,-0.059491
6378097.227352,15.502859,-32.559758,-2.161940,0.340832,-0.116730
6378095.058752,15.843625,-32.747286,-2.172755,0.342057,-0.271228
6378092.889350,16.187200,-33.122760,-2.160854,0.344172,-0.492724
6378090.749895,16.528595,-33.750098,-2.109386,0.336325,-0.773569
6378088.689233,16.855352,-34.681455,-1.999606,0.314825,-1.097921
6378086.774272,17.155397,-35.949516,-1.814849,0.284266,-1.442861
6378085.085876,17.425213,-37.561287,-1.544569,0.257019,-1.780271
6378083.710978,17.676687,-39.494083,-1.187751,0.251107,-2.079307
6378082.731853,17.941169,-41.694185,-0.755070,0.286803,-2.309236
6378082.214046,18.269700,-44.078407,-0.269360,0.382480,-2.442369
6378081.846123,18.706794,-46.517495,-0.790794,0.372381,-2.492809
6378080.689260,18.913613,-49.282028,-1.532068,0.039274,-3.043303
6378078.805737,18.798928,-52.586482,-2.107165,-0.210587,-3.473380
6378076.702821,18.593742,-56.062757,-2.099268,-0.200566,-3.478751
6378074.606080,18.396355,-59.543212,-2.094574,-0.194666,-3.481914
6378072.513003,18.203563,-63.026131,-2.091792,-0.191188,-3.483778
6378070.422098,18.013481,-66.510502,-2.090145,-0.189135,-3.484879
6378068.332477,17.824998,-69.995730,-2.089171,-0.187924,-3.485528
6378066.243616,17.637460,-73.481465,-2.088595,-0.187208,-3.485912
6378064.155204,17.450480,-76.967499,-2.088255,-0.186785,-3.486139
6378062.067057,17.263829,-80.453710,-2.088054,-0.186536,-3.486272
6378060.001918,17.090913,-83.952686,-1.935507,-0.093149,-3.568894
6378058.319181,17.202480,-87.628157,-1.439979,0.349835,-3.754606
6378057.070472,17.835858,-91.395873,-1.085010,0.943021,-3.745912
6378056.072175,19.107962,-95.049066,-0.952389,1.612148,-3.521702
6378055.076587,21.042018,-98.370690,-1.085171,2.245830,-3.082499
6378053.819462,23.539530,-101.154719,-1.470724,2.716220,-2.449822
6378052.079685,26.377799,-103.226159,-2.035094,2.908015,-1.663835
6378049.737172,29.237435,-104.457730,-2.652514,2.748149,-0.779105
6378046.814020,31.756694,-104.781547,-3.169010,2.228437,0.141091
6378043.486915,33.602221,-104.194660,-3.435315,1.414755,1.031258
6378039.983604,34.588149,-102.711118,-3.794521,0.689960,1.965162
6378035.747465,34.960741,-100.607613,-4.678758,0.055120,2.232527
6378030.722911,34.748329,-98.266322,-5.144168,-0.397415,2.431275
6378025.614669,34.257209,-95.777881,-5.076256,-0.571069,2.537126
6378020.561799,33.631353,-93.207479,-5.032421,-0.672655,2.598803
6378015.543943,32.926557,-90.589194,-5.005236,-0.732278,2.634935
6378010.547571,32.175375,-87.942813,-4.988728,-0.767356,2.656173
6378005.564170,31.396881,-85.279899,-4.978820,-0.788028,2.668682
6378000.588529,30.602284,-82.607243,-4.972912,-0.800221,2.676059
6377995.617506,29.798186,-79.928838,-4.969403,-0.807418,2.680412
6377990.649223,28.988478,-77.247042,-4.967323,-0.811668,2.682983
6377985.682562,28.175459,-74.563241,-4.966092,-0.814178,2.684500
6377980.716862,27.360483,-71.878258,-4.965364,-0.815660,2.685397
6377975.751730,26.544351,-69.192576,-4.964934,-0.816536,2.685927
6377970.786933,25.727537,-66.506480,-4.964680,-0.817053,2.686239
6377965.832276,24.892345,-63.808332,-4.862979,-0.997069,2.804472
6377961.311513,23.423801,-60.692375,-4.122157,-1.925330,3.421844
6377957.662949,21.121461,-57.001698,-3.128849,-2.643770,3.948118
6377955.101955,18.238832,-52.835426,-1.959413,-3.072567,4.370910
6377953.759463,15.092069,-48.299603,-0.708072,-3.162996,4.685734
6377953.665163,12.030983,-43.502722,0.518424,-2.897541,4.892228
6377954.740054,9.406119,-38.551606,1.611244,-2.292782,4.994103
