ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000,0.000000,0.000000
0.002865,0.001821,0.001720
0.008594,0.005279,0.004987
0.017189,0.010210,0.009645
0.028648,0.016463,0.015553
0.042972,0.023903,0.022582
0.059955,0.032408,0.030617
0.079322,0.041867,0.039553
0.100826,0.052180,0.049296
0.124242,0.063256,0.059760
0.149367,0.075014,0.070868
0.176018,0.087378,0.082550
0.204029,0.100284,0.094742
0.233249,0.113669,0.107388
0.263544,0.127480,0.120436
0.294790,0.141667,0.133838
0.326877,0.156185,0.147554
0.359704,0.170993,0.161544
0.393182,0.186056,0.175775
0.427229,0.201341,0.190215
0.461770,0.216817,0.204835
0.496739,0.232457,0.219612
0.532075,0.248238,0.234520
0.567725,0.264138,0.249541
0.603639,0.280136,0.264655
0.639772,0.296215,0.279846
0.676085,0.312358,0.295097
0.712541,0.328552,0.310396
0.749109,0.344783,0.325730
0.785758,0.361039,0.341088
0.822462,0.377310,0.356459
0.859197,0.393585,0.371835
0.895942,0.409857,0.387208
0.932677,0.426117,0.402570
0.969386,0.442360,0.417914
1.006052,0.458577,0.433236
1.042660,0.474764,0.448528
1.079200,0.490915,0.463787
1.115659,0.507027,0.479009
1.152027,0.523095,0.494188
1.188295,0.539115,0.509323
1.224455,0.555084,0.524410
1.260500,0.570999,0.539446
1.296422,0.586859,0.554428
1.332217,0.602659,0.569356
1.367880,0.618399,0.584226
1.403405,0.634076,0.599036
1.438788,0.649689,0.613787
1.474027,0.665237,0.628475
1.509118,0.680718,0.643101
1.544058,0.696131,0.657662
1.578845,0.711475,0.672159
1.613476,0.726750,0.686590
1.647951,0.741955,0.700954
1.682267,0.757089,0.715252
1.716423,0.772152,0.729482
1.750418,0.787143,0.743645
1.784251,0.802062,0.757740
1.817922,0.816909,0.771766
1.851429,0.831684,0.785724
1.884773,0.846385,0.799614
1.917953,0.861014,0.813434
1.950969,0.875571,0.827186
1.983820,0.890054,0.840870
2.016508,0.904465,0.854484
2.049031,0.918804,0.868030
2.081390,0.933069,0.881507
2.113586,0.947263,0.894916
2.145618,0.961384,0.908257
2.177487,0.975433,0.921530
2.209193,0.989410,0.934734
2.240736,1.003315,0.947871
2.272118,1.017149,0.960941
2.303339,1.030911,0.973943
2.334398,1.044603,0.986878
2.365298,1.058224,0.999746
2.396037,1.071774,1.012547
2.426618,1.085254,1.025282
2.457040,1.098664,1.037951
2.487304,1.112004,1.050554
2.517411,1.125275,1.063092
2.547361,1.138477,1.075565
2.577155,1.151611,1.087972
2.606795,1.164676,1.100315
2.636279,1.177672,1.112593
2.665611,1.190601,1.124808
2.694789,1.203462,1.136958
2.723814,1.216257,1.149045
2.752688,1.228984,1.161069
2.781411,1.241645,1.173031
2.809984,1.254239,1.184929
2.838408,1.266768,1.196766
2.866683,1.279231,1.208540
2.894810,1.291629,1.220253
2.922789,1.303962,1.231904
2.950622,1.316230,1.243494
2.978310,1.328434,1.255024
3.005852,1.340574,1.266493
3.033250,1.352651,1.277903
3.060505,1.364664,1.289252
3.087616,1.376614,1.300542
3.114586,1.388502,1.311773
3.141414,1.400327,1.322944
3.168101,1.412091,1.334058
3.194649,1.423792,1.345113
3.221057,1.435433,1.356110
3.247327,1.447012,1.367049
3.273459,1.458530,1.377931
3.299454,1.469988,1.388756
3.325312,1.481386,1.399524
3.351035,1.492724,1.410235
3.376623,1.504003,1.420891
3.402077,1.515222,1.431490
3.427397,1.526383,1.442034
3.452584,1.537485,1.452522
3.477639,1.548529,1.462956
3.502563,1.559514,1.473335
3.527356,1.570443,1.483659
3.552019,1.581313,1.493929
3.576552,1.592127,1.504145
3.600956,1.602884,1.514308
3.625233,1.613585,1.524417
3.649382,1.624229,1.534473
3.673404,1.634817,1.544476
3.697301,1.645350,1.554427
3.721071,1.655828,1.564326
3.744717,1.666251,1.574173
3.768239,1.676619,1.583968
3.791638,1.686932,1.593711
3.814914,1.697192,1.603404
3.838067,1.707397,1.613045
3.861099,1.717549,1.622636
3.884010,1.727648,1.632177
3.906801,1.737694,1.641668
3.929472,1.747687,1.651108
3.952024,1.757627,1.660499
3.974458,1.767515,1.669841
3.996774,1.777352,1.679134
4.018973,1.787137,1.688378
4.041056,1.796870,1.697574
4.063022,1.806552,1.706721
4.084873,1.816184,1.715820
4.106610,1.825765,1.724872
4.128232,1.835295,1.733876
4.149741,1.844776,1.742833
4.171137,1.854207,1.751742
4.192421,1.863588,1.760605
4.213593,1.872920,1.769422
4.234653,1.882204,1.778192
4.255604,1.891438,1.786916
4.276444,1.900624,1.795594
4.297175,1.909762,1.804227
4.317797,1.918851,1.812814
4.338311,1.927893,1.821357
4.358717,1.936888,1.829854
4.379016,1.945835,1.838307
4.399208,1.954736,1.846716
4.419295,1.963589,1.855080
4.439276,1.972397,1.863401
4.459152,1.981158,1.871678
4.478924,1.989872,1.879911
4.498592,1.998542,1.888101
4.518156,2.007165,1.896248
4.537619,2.015744,1.904353
4.556978,2.024277,1.912414
4.576237,2.032766,1.920434
4.595394,2.041210,1.928411
4.614451,2.049610,1.936347
4.633407,2.057965,1.944241
4.652264,2.066277,1.952093
4.671022,2.074545,1.959905
4.689682,2.082770,1.967675
4.708244,2.090952,1.975404
4.726708,2.099090,1.983093
4.745075,2.107186,1.990742
4.763346,2.115240,1.998350
4.781521,2.123251,2.005919
4.799601,2.131220,2.013447
4.817585,2.139147,2.020936
