accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.999916,1.000013,-10.790947
1.001420,1.006321,-10.776729
0.995967,1.000880,-10.788031
0.995817,0.828685,-10.783661
0.997616,0.739475,-10.778028
0.885526,0.658232,-10.788162
0.675226,0.590613,-10.779513
0.613718,0.525202,-10.775542
0.550015,0.475728,-10.781456
0.499158,0.431089,-10.779054
0.442673,0.380730,-10.781487
0.410617,0.343823,-10.776161
0.368305,0.309341,-10.781513
0.337645,0.275325,-10.772871
0.307045,0.246324,-10.781616
0.281756,0.215568,-10.791380
0.251660,0.190735,-10.764513
0.220488,0.162183,-10.783306
0.211089,0.148055,-10.782753
0.197813,0.133717,-10.779336
0.178960,0.116359,-10.790907
0.165898,0.107039,-10.783460
0.160746,0.087668,-10.784147
0.144479,0.072367,-10.780279
0.144979,0.060675,-10.787147
0.128625,0.038419,-10.784945
0.120581,0.045242,-10.766083
0.121712,0.029814,-10.776997
0.110876,0.018822,-10.781824
0.108099,0.006952,-10.785075
0.109584,0.005584,-10.779361
0.102617,-0.000171,-10.774303
0.105063,0.006135,-10.774676
0.108598,-0.015566,-10.779011
0.102236,-0.019185,-10.781805
0.095163,-0.014208,-10.783032
0.090927,-0.027966,-10.787515
0.096210,-0.033895,-10.778385
0.097036,-0.031019,-10.782503
0.098151,-0.040587,-10.786094
0.088061,-0.038854,-10.780262
0.091173,-0.047410,-10.783852
0.093459,-0.043100,-10.775017
0.107026,-0.053643,-10.782361
0.109733,-0.061985,-10.776813
0.103353,-0.048384,-10.785490
0.107959,-0.071412,-10.777507
0.108257,-0.056742,-10.783566
0.107782,-0.068554,-10.778480
0.111620,-0.064644,-10.781424
0.110022,-0.077936,-10.783282
0.119251,-0.073771,-10.776087
0.125002,-0.078331,-10.776602
0.113640,-0.072854,-10.792074
0.114085,-0.089925,-10.789383
0.126827,-0.079403,-10.786801
0.130855,-0.097453,-10.782134
0.130347,-0.096648,-10.778125
0.137697,-0.092999,-10.777870
0.137235,-0.095226,-10.777504
0.142951,-0.103224,-10.774962
0.136647,-0.089946,-10.777288
0.128962,-0.107155,-10.778262
0.153804,-0.103962,-10.781522
0.143447,-0.104820,-10.776573
0.148569,-0.110949,-10.776859
0.142283,-0.116511,-10.777778
0.148680,-0.116385,-10.788151
0.158966,-0.114637,-10.779515
0.161595,-0.115974,-10.790290
0.159218,-0.119209,-10.781920
0.161234,-0.123895,-10.777807
0.164664,-0.112255,-10.775588
0.156445,-0.119566,-10.774335
0.159166,-0.133626,-10.774235
0.172889,-0.129087,-10.777508
0.173107,-0.133685,-10.773202
0.165538,-0.126770,-10.790237
0.175171,-0.131291,-10.779610
0.180200,-0.138115,-10.773056
0.187943,-0.129436,-10.780033
0.179407,-0.139745,-10.783166
0.187760,-0.146171,-10.775555
0.189468,-0.142615,-10.777408
0.189370,-0.137270,-10.784561
0.196900,-0.147338,-10.779251
0.196321,-0.152016,-10.778305
0.184680,-0.137236,-10.773533
0.201221,-0.152324,-10.780330
0.202290,-0.153635,-10.788449
0.205994,-0.157114,-10.771741
0.208235,-0.153444,-10.775267
0.203566,-0.157874,-10.781301
0.218102,-0.160963,-10.781806
0.209645,-0.155933,-10.770976
0.205845,-0.165523,-10.787896
0.223838,-0.159730,-10.775004
0.220909,-0.172685,-10.784131
0.226700,-0.172536,-10.781249
0.215438,-0.172819,-10.790443
0.231498,-0.166358,-10.791967
0.228491,-0.172283,-10.779620
0.230938,-0.169302,-10.776354
0.229059,-0.179337,-10.772821
0.233296,-0.176308,-10.775575
0.228191,-0.184229,-10.778582
0.222528,-0.180504,-10.770957
0.239868,-0.175933,-10.782782
0.236831,-0.188338,-10.768647
0.246494,-0.186091,-10.777872
0.255987,-0.189406,-10.779790
0.242471,-0.189035,-10.768652
0.247025,-0.194247,-10.773327
0.249827,-0.193040,-10.773170
0.253663,-0.195775,-10.777002
0.254343,-0.203599,-10.776320
0.257543,-0.203799,-10.774264
0.263325,-0.190620,-10.776902
0.268365,-0.194091,-10.784378
0.261848,-0.206855,-10.777759
0.269480,-0.214954,-10.787215
0.265481,-0.198948,-10.777202
0.275327,-0.215386,-10.777398
