ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000100,-0.000100
6378137.000300,0.000300,-0.000300
6378137.000600,0.000600,-0.000600
6378137.000999,0.000983,-0.001000
6378137.001499,0.001439,-0.001500
6378137.002086,0.001961,-0.002100
6378137.002740,0.002542,-0.002800
6378137.003453,0.003178,-0.003601
6378137.004219,0.003862,-0.004501
6378137.005034,0.004589,-0.005501
6378137.005891,0.005357,-0.006602
6378137.006786,0.006160,-0.007802
6378137.007716,0.006995,-0.009103
6378137.008677,0.007861,-0.010504
6378137.009665,0.008752,-0.012005
6378137.010677,0.009669,-0.013605
6378137.011711,0.010607,-0.015307
6378137.012764,0.011565,-0.017108
6378137.013835,0.012541,-0.019009
6378137.014920,0.013534,-0.021010
6378137.016019,0.014543,-0.023112
6378137.017130,0.015565,-0.025314
6378137.018251,0.016600,-0.027615
6378137.019381,0.017647,-0.030017
6378137.020519,0.018705,-0.032519
6378137.021664,0.019772,-0.035122
6378137.022814,0.020849,-0.037824
6378137.023969,0.021935,-0.040626
6378137.025129,0.023028,-0.043529
6378137.026291,0.024129,-0.046531
6378137.027457,0.025237,-0.049634
6378137.028624,0.026351,-0.052837
6378137.029793,0.027472,-0.056140
6378137.030963,0.028598,-0.059543
6378137.032134,0.029730,-0.063046
6378137.033305,0.030867,-0.066650
6378137.034475,0.032009,-0.070353
6378137.035646,0.033156,-0.074157
6378137.036815,0.034307,-0.078060
6378137.037983,0.035463,-0.082064
6378137.039150,0.036623,-0.086168
6378137.040315,0.037787,-0.090372
6378137.041479,0.038955,-0.094676
6378137.042640,0.040128,-0.099080
6378137.043799,0.041303,-0.103584
6378137.044956,0.042483,-0.108188
6378137.046110,0.043666,-0.112893
6378137.047262,0.044853,-0.117697
6378137.048410,0.046044,-0.122602
6378137.049556,0.047238,-0.127606
6378137.050698,0.048435,-0.132711
6378137.051838,0.049636,-0.137916
6378137.052973,0.050841,-0.143220
6378137.054106,0.052049,-0.148625
6378137.055235,0.053260,-0.154130
6378137.056360,0.054475,-0.159735
6378137.057482,0.055693,-0.165440
6378137.058599,0.056914,-0.171245
6378137.059713,0.058139,-0.177150
