q0 (),q1,q2,q3
1.000000,0.000000,0.000000,0.000000
1.000000,0.000012,0.000025,0.000007
1.000000,0.000035,0.000075,0.000020
1.000000,0.000067,0.000150,0.000038
1.000000,0.000109,0.000250,0.000062
1.000000,0.000158,0.000375,0.000090
1.000000,0.000214,0.000525,0.000122
1.000000,0.000277,0.000700,0.000157
1.000000,0.000345,0.000900,0.000196
0.999999,0.000418,0.001125,0.000237
0.999999,0.000495,0.001375,0.000281
0.999998,0.000577,0.001649,0.000328
0.999998,0.000662,0.001945,0.000376
0.999997,0.000750,0.002259,0.000426
0.999996,0.000841,0.002591,0.000477
0.999995,0.000935,0.002938,0.000530
0.999994,0.001030,0.003299,0.000584
0.999992,0.001128,0.003671,0.000639
0.999991,0.001227,0.004054,0.000694
0.999989,0.001327,0.004447,0.000751
0.999987,0.001429,0.004847,0.000808
0.999985,0.001532,0.005255,0.000866
0.999982,0.001635,0.005670,0.000924
0.999979,0.001740,0.006089,0.000982
0.999977,0.001845,0.006514,0.001041
0.999973,0.001950,0.006942,0.001100
0.999970,0.002056,0.007374,0.001159
0.999966,0.002162,0.007808,0.001218
0.999963,0.002268,0.008245,0.001277
0.999959,0.002374,0.008684,0.001337
0.999954,0.002481,0.009125,0.001396
0.999950,0.002587,0.009566,0.001455
0.999945,0.002693,0.010008,0.001514
0.999940,0.002799,0.010451,0.001572
0.999935,0.002905,0.010894,0.001631
0.999930,0.003011,0.011337,0.001690
0.999924,0.003117,0.011780,0.001748
0.999918,0.003222,0.012222,0.001806
0.999913,0.003327,0.012664,0.001864
0.999906,0.003431,0.013104,0.001921
0.999900,0.003535,0.013544,0.001978
0.999894,0.003639,0.013983,0.002035
0.999887,0.003743,0.014421,0.002092
0.999880,0.003846,0.014858,0.002148
0.999873,0.003948,0.015293,0.002205
0.999866,0.004050,0.015726,0.002260
0.999858,0.004152,0.016159,0.002316
0.999851,0.004253,0.016589,0.002371
0.999843,0.004354,0.017018,0.002426
0.999835,0.004454,0.017446,0.002480
0.999827,0.004553,0.017871,0.002534
0.999818,0.004653,0.018295,0.002588
0.999810,0.004751,0.018717,0.002642
0.999801,0.004850,0.019137,0.002695
0.999793,0.004947,0.019556,0.002748
0.999784,0.005044,0.019972,0.002800
0.999775,0.005141,0.020387,0.002853
0.999766,0.005237,0.020799,0.002904
0.999756,0.005333,0.021210,0.002956
0.999747,0.005428,0.021619,0.003007
0.999737,0.005523,0.022026,0.003058
0.999728,0.005617,0.022430,0.003109
0.999718,0.005710,0.022833,0.003159
0.999708,0.005803,0.023234,0.003209
0.999698,0.005896,0.023633,0.003258
0.999688,0.005988,0.024030,0.003307
0.999678,0.006079,0.024425,0.003356
0.999667,0.006170,0.024818,0.003405
0.999657,0.006261,0.025209,0.003453
0.999646,0.006351,0.025598,0.003501
0.999635,0.006440,0.025986,0.003549
0.999624,0.006529,0.026371,0.003596
0.999614,0.006618,0.026754,0.003643
0.999602,0.006706,0.027135,0.003689
0.999591,0.006793,0.027514,0.003736
0.999580,0.006880,0.027892,0.003782
0.999569,0.006967,0.028267,0.003828
0.999557,0.007053,0.028641,0.003873
0.999546,0.007139,0.029012,0.003918
0.999534,0.007224,0.029382,0.003963
0.999523,0.007308,0.029750,0.004007
0.999511,0.007392,0.030115,0.004052
0.999499,0.007476,0.030479,0.004096
0.999487,0.007559,0.030841,0.004139
0.999475,0.007642,0.031201,0.004183
0.999463,0.007724,0.031560,0.004226
0.999451,0.007806,0.031916,0.004268
0.999439,0.007887,0.032271,0.004311
0.999426,0.007968,0.032623,0.004353
0.999414,0.008048,0.032974,0.004395
0.999402,0.008128,0.033323,0.004437
0.999389,0.008207,0.033671,0.004478
0.999377,0.008286,0.034016,0.004519
0.999364,0.008365,0.034360,0.004560
0.999351,0.008443,0.034701,0.004600
0.999339,0.008521,0.035041,0.004641
0.999326,0.008598,0.035380,0.004681
0.999313,0.008675,0.035716,0.004720
0.999300,0.008751,0.036051,0.004760
0.999287,0.008827,0.036384,0.004799
0.999274,0.008902,0.036715,0.004838
0.999261,0.008977,0.037045,0.004877
0.999248,0.009052,0.037372,0.004915
0.999235,0.009126,0.037698,0.004953
0.999222,0.009200,0.038023,0.004991
0.999209,0.009273,0.038345,0.005029
0.999196,0.009346,0.038666,0.005066
0.999182,0.009419,0.038986,0.005104
0.999169,0.009491,0.039303,0.005141
0.999156,0.009563,0.039619,0.005177
0.999142,0.009634,0.039933,0.005214
0.999129,0.009705,0.040246,0.005250
0.999115,0.009775,0.040557,0.005286
0.999102,0.009845,0.040866,0.005322
0.999088,0.009915,0.041174,0.005357
0.999075,0.009984,0.041480,0.005392
0.999061,0.010053,0.041785,0.005427
0.999048,0.010122,0.042088,0.005462
0.999034,0.010190,0.042389,0.005497
0.999020,0.010258,0.042689,0.005531
0.999007,0.010325,0.042987,0.005565
0.998993,0.010392,0.043284,0.005599
0.998979,0.010459,0.043579,0.005633
0.998966,0.010525,0.043872,0.005666
0.998952,0.010591,0.044164,0.005700
0.998938,0.010656,0.044455,0.005733
0.998924,0.010721,0.044744,0.005766
0.998911,0.010786,0.045031,0.005798
0.998897,0.010851,0.045317,0.005831
0.998883,0.010915,0.045601,0.005863
0.998869,0.010978,0.045884,0.005895
0.998855,0.011042,0.046166,0.005927
0.998841,0.011105,0.046446,0.005958
0.998827,0.011167,0.046724,0.005989
0.998814,0.011229,0.047001,0.006021
0.998800,0.011291,0.047277,0.006052
0.998786,0.011353,0.047551,0.006082
0.998772,0.011414,0.047824,0.006113
0.998758,0.011475,0.048095,0.006143
0.998744,0.011535,0.048365,0.006173
0.998730,0.011596,0.048633,0.006203
0.998716,0.011656,0.048900,0.006233
0.998702,0.011715,0.049166,0.006263
0.998688,0.011774,0.049430,0.006292
0.998674,0.011833,0.049693,0.006321
0.998661,0.011892,0.049954,0.006350
0.998647,0.011950,0.050214,0.006379
0.998633,0.012008,0.050473,0.006408
0.998619,0.012065,0.050730,0.006436
0.998605,0.012122,0.050986,0.006465
0.998591,0.012179,0.051241,0.006493
0.998577,0.012236,0.051494,0.006521
0.998563,0.012292,0.051746,0.006549
0.998549,0.012348,0.051997,0.006576
0.998535,0.012404,0.052246,0.006603
0.998521,0.012459,0.052494,0.006631
0.998508,0.012514,0.052741,0.006658
0.998494,0.012569,0.052986,0.006685
0.998480,0.012623,0.053231,0.006711
0.998466,0.012677,0.053474,0.006738
0.998452,0.012731,0.053715,0.006764
0.998438,0.012784,0.053955,0.006790
0.998425,0.012838,0.054195,0.006817
0.998411,0.012890,0.054432,0.006842
0.998397,0.012943,0.054669,0.006868
0.998383,0.012995,0.054904,0.006894
0.998370,0.013047,0.055138,0.006919
0.998356,0.013099,0.055371,0.006944
0.998342,0.013151,0.055603,0.006969
0.998328,0.013202,0.055833,0.006994
0.998315,0.013253,0.056062,0.007019
0.998301,0.013303,0.056290,0.007044
0.998287,0.013353,0.056517,0.007068
0.998274,0.013403,0.056743,0.007092
0.998260,0.013453,0.056967,0.007116
0.998246,0.013503,0.057191,0.007140
0.998233,0.013552,0.057413,0.007164
0.998219,0.013601,0.057634,0.007188
0.998206,0.013649,0.057853,0.007211
0.998192,0.013698,0.058072,0.007235
0.998179,0.013746,0.058289,0.007258
0.998165,0.013794,0.058506,0.007281
0.998152,0.013841,0.058721,0.007304
0.998138,0.013889,0.058935,0.007327
0.998125,0.013936,0.059148,0.007350
0.998112,0.013982,0.059360,0.007372
0.998098,0.014029,0.059570,0.007394
0.998085,0.014075,0.059780,0.007417
0.998071,0.014121,0.059988,0.007439
0.998058,0.014167,0.060196,0.007461
0.998045,0.014212,0.060402,0.007483
0.998032,0.014258,0.060607,0.007504
0.998018,0.014303,0.060811,0.007526
0.998005,0.014347,0.061015,0.007547
0.997992,0.014392,0.061217,0.007569
0.997979,0.014436,0.061417,0.007590
0.997966,0.014480,0.061617,0.007611
0.997953,0.014524,0.061816,0.007632
0.997940,0.014568,0.062014,0.007652
0.997927,0.014611,0.062211,0.007673
0.997914,0.014654,0.062406,0.007694
0.997901,0.014697,0.062601,0.007714
0.997888,0.014739,0.062795,0.007734
0.997875,0.014782,0.062988,0.007754
0.997862,0.014824,0.063179,0.007774
0.997849,0.014866,0.063370,0.007794
0.997836,0.014907,0.063559,0.007814
0.997823,0.014949,0.063748,0.007834
0.997811,0.014990,0.063936,0.007853
0.997798,0.015031,0.064122,0.007873
0.997785,0.015071,0.064308,0.007892
0.997772,0.015112,0.064493,0.007911
0.997760,0.015152,0.064676,0.007930
0.997747,0.015192,0.064859,0.007949
0.997735,0.015232,0.065041,0.007968
0.997722,0.015272,0.065222,0.007987
0.997709,0.015311,0.065402,0.008005
0.997697,0.015350,0.065581,0.008024
0.997684,0.015389,0.065759,0.008042
0.997672,0.015428,0.065936,0.008060
0.997660,0.015467,0.066112,0.008078
0.997647,0.015505,0.066287,0.008096
0.997635,0.015543,0.066462,0.008114
0.997623,0.015581,0.066635,0.008132
0.997610,0.015619,0.066807,0.008150
0.997598,0.015656,0.066979,0.008167
0.997586,0.015693,0.067150,0.008185
0.997574,0.015730,0.067320,0.008202
0.997562,0.015767,0.067488,0.008219
0.997549,0.015804,0.067656,0.008237
0.997537,0.015840,0.067824,0.008254
0.997525,0.015877,0.067990,0.008271
0.997513,0.015913,0.068155,0.008288
0.997501,0.015949,0.068320,0.008304
0.997490,0.015984,0.068483,0.008321
0.997478,0.016020,0.068646,0.008337
0.997466,0.016055,0.068808,0.008354
0.997454,0.016090,0.068969,0.008370
0.997442,0.016125,0.069129,0.008387
0.997430,0.016160,0.069289,0.008403
0.997419,0.016194,0.069447,0.008419
0.997407,0.016229,0.069605,0.008435
0.997395,0.016263,0.069762,0.008451
0.997384,0.016297,0.069918,0.008466
0.997372,0.016330,0.070073,0.008482
0.997361,0.016364,0.070228,0.008498
0.997349,0.016397,0.070381,0.008513
0.997338,0.016431,0.070534,0.008528
0.997326,0.016464,0.070686,0.008544
0.997315,0.016497,0.070837,0.008559
0.997303,0.016529,0.070988,0.008574
0.997292,0.016562,0.071137,0.008589
0.997281,0.016594,0.071286,0.008604
0.997269,0.016626,0.071434,0.008619
0.997258,0.016658,0.071581,0.008634
0.997247,0.016690,0.071728,0.008648
0.997236,0.016722,0.071874,0.008663
0.997225,0.016753,0.072019,0.008677
0.997214,0.016784,0.072163,0.008692
0.997203,0.016815,0.072306,0.008706
0.997192,0.016846,0.072449,0.008720
0.997181,0.016877,0.072591,0.008734
0.997170,0.016908,0.072732,0.008749
0.997159,0.016938,0.072873,0.008763
0.997148,0.016968,0.073012,0.008776
0.997137,0.016998,0.073151,0.008790
0.997126,0.017028,0.073290,0.008804
0.997116,0.017058,0.073427,0.008818
0.997105,0.017088,0.073564,0.008831
0.997094,0.017117,0.073700,0.008845
0.997084,0.017146,0.073835,0.008858
0.997073,0.017176,0.073970,0.008871
0.997063,0.017204,0.074104,0.008885
0.997052,0.017233,0.074237,0.008898
0.997042,0.017262,0.074370,0.008911
0.997031,0.017290,0.074502,0.008924
0.997021,0.017319,0.074633,0.008937
0.997010,0.017347,0.074763,0.008950
0.997000,0.017375,0.074893,0.008963
0.996990,0.017403,0.075022,0.008975
0.996979,0.017431,0.075151,0.008988
0.996969,0.017458,0.075278,0.009000
0.996959,0.017486,0.075405,0.009013
0.996949,0.017513,0.075532,0.009025
0.996939,0.017540,0.075658,0.009038
0.996929,0.017567,0.075783,0.009050
