gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378131.433808,-1.162081,-0.797433,0.026014,-0.068334,0.074311
6378135.748130,3.524155,-7.444306,-0.027923,0.251103,-1.008797
6378136.433447,-9.725719,4.023709,-0.169969,0.161457,-1.846490
6378130.190028,1.775973,-2.579260,-0.321476,0.231462,-1.783545
6378135.666410,5.764464,-7.527769,-0.310838,0.138466,-1.797960
6378137.502498,-6.862357,-12.628346,-0.306616,0.261117,-1.815745
6378132.005074,2.685429,-16.078506,-0.363431,0.198449,-1.860157
6378131.245639,3.761818,-7.271029,-0.262634,0.248759,-1.738665
6378137.384817,-0.366499,-3.381681,-0.312453,0.214580,-1.848324
6378130.583464,-0.127547,-16.690855,-0.339609,0.180301,-1.838356
6378133.318323,0.113739,-18.475741,-0.374218,0.115339,-1.798178
6378134.891344,2.783105,-21.443619,-0.293908,0.220516,-1.722526
6378141.775823,5.894704,-23.252663,-0.325796,0.328615,-1.904972
6378134.391505,-0.689059,-18.864479,-0.297979,0.205362,-1.809778
6378131.099961,5.758389,-24.546083,-0.488219,0.199089,-1.886973
6378136.753949,2.774453,-33.098426,-0.297878,0.270430,-1.705512
6378138.765479,-1.232852,-35.345557,-0.538421,0.453726,-1.504669
6378132.941534,6.013543,-13.938937,-0.773404,0.582608,-1.322838
6378137.669342,14.506481,-14.105023,-0.946150,0.787150,-1.061551
6378128.415089,6.644320,-28.252985,-0.918196,0.984652,-0.960044
6378129.136818,8.958145,-39.030088,-0.815669,1.090658,-0.859225
6378124.520506,8.436776,-27.718570,-0.793543,1.289687,-0.717071
6378136.621973,12.297354,-31.120144,-0.745361,1.375522,-0.702571
6378129.145808,13.274222,-35.807826,-0.692373,1.379407,-0.646400
6378122.170529,23.350175,-20.144562,-0.686704,1.419515,-0.810932
6378132.751680,5.505426,-30.307680,-1.219264,1.496859,-1.128364
6378117.458414,6.458987,-31.855612,-2.143537,1.772672,-1.109788
6378116.357765,9.352901,-37.647576,-2.197420,1.710114,-0.952672
6378109.842122,24.845476,-40.656997,-2.299583,1.637714,-1.053743
6378111.116646,26.872878,-36.271874,-2.221852,1.573715,-1.000741
6378120.078554,28.159428,-34.390064,-2.351271,1.578913,-1.111588
6378111.054578,33.798815,-40.442765,-2.276813,1.581639,-1.077802
6378114.334529,25.796312,-26.020223,-2.304144,1.600611,-1.168745
6378108.094727,25.788256,-38.457302,-2.351377,1.616678,-1.098235
6378114.235005,27.192112,-34.313686,-2.314537,1.529697,-1.095878
6378099.178539,25.099043,-43.594971,-2.332627,1.474873,-1.073099
6378103.207644,34.140521,-45.193397,-2.325729,1.550850,-1.048129
6378101.176281,31.092655,-56.381019,-2.242236,1.542748,-1.026367
6378094.823732,29.680813,-52.338594,-2.292001,1.663741,-1.167273
6378089.033293,33.514175,-50.438898,-2.260671,1.525589,-1.095734
6378094.687772,34.539814,-44.583319,-2.361769,1.433040,-1.162737
6378086.550679,38.821975,-41.403047,-2.336492,1.089227,-1.387484
6378082.394365,37.508244,-49.568044,-2.513295,0.681154,-1.813851
6378085.340512,35.519975,-53.105524,-2.491462,-0.035590,-1.890947
6378084.094140,35.773341,-49.856597,-2.253190,-0.494610,-2.228640
6378092.719299,36.769557,-52.393466,-1.884064,-1.133454,-2.276261
6378073.722616,35.749272,-69.716725,-1.535774,-1.822081,-2.227161
6378082.453060,38.398858,-65.850228,-0.784337,-2.437381,-2.220940
6378075.926674,39.566924,-74.828099,-0.081817,-2.750228,-1.999562
6378080.102339,21.253803,-71.560550,0.760027,-3.077039,-1.775634
6378072.979224,36.154622,-64.860787,0.746672,-2.996213,-1.846495
6378078.443675,31.369996,-67.121032,0.029403,-3.546159,-2.350613
6378080.610053,24.607523,-82.944815,-0.510097,-4.022234,-2.551411
6378079.561430,12.639384,-70.759673,-0.458799,-4.058132,-2.547842
6378071.751042,11.668370,-76.424218,-0.492716,-4.056917,-2.574348
6378078.777819,13.044361,-86.280937,-0.382608,-4.054947,-2.581646
6378074.469796,7.623713,-92.602080,-0.414449,-4.111575,-2.563832
6378078.149332,-7.065997,-84.055750,-0.473211,-3.959934,-2.552436
6378072.737032,-5.439476,-74.671615,-0.454951,-4.071508,-2.567402
6378071.368286,-13.903594,-94.469254,-0.445896,-4.117418,-2.549456
6378076.880077,-7.801777,-97.300244,-0.401054,-3.976874,-2.495751
6378073.093728,-12.641025,-102.127478,-0.463753,-4.098408,-2.519094
6378074.608537,-23.000191,-98.398686,-0.506422,-4.028570,-2.550322
6378069.576375,-25.588282,-117.201871,0.100790,-4.146764,-2.378934
6378073.130817,-34.021711,-106.315554,1.112958,-4.156885,-2.234501
6378074.382136,-34.470789,-105.256443,2.003166,-3.911967,-1.916668
6378078.780067,-38.836323,-114.962617,2.898822,-3.506881,-1.684829
6378077.264130,-43.271331,-109.585516,3.657718,-2.915178,-1.397176
6378090.577617,-41.051018,-117.255106,4.346191,-2.099003,-0.927810
6378090.412631,-44.860734,-113.185756,4.708527,-1.177814,-0.659545
6378103.978344,-45.411836,-109.638551,4.892181,-0.276460,-0.232012
6378109.506131,-46.297017,-106.656139,4.875851,0.630559,0.140680
6378103.379591,-47.015792,-112.265409,4.762824,1.583533,0.554698
6378103.198767,-41.597874,-110.263927,5.207809,2.299934,0.724970
6378113.429302,-44.609890,-96.798007,5.901019,2.644372,0.128307
6378119.417919,-30.360046,-120.546757,5.972832,2.825343,-0.006436
6378125.168511,-38.985123,-103.037284,5.843147,3.006999,-0.000981
6378139.674093,-27.915728,-104.177931,5.854267,3.151025,-0.021040
6378132.938925,-24.432988,-114.545325,5.749983,3.112925,-0.043991
6378141.741855,-20.878525,-111.752354,5.677930,3.165251,-0.105946
6378142.423977,-14.166158,-110.628397,5.796249,3.229856,-0.034628
6378154.245963,-18.210975,-109.333035,5.693709,3.188760,-0.023855
6378156.128139,-12.016056,-108.247733,5.810607,3.269409,-0.079555
6378163.789198,-4.270591,-115.951799,5.710071,3.231929,-0.079521
6378182.129365,-13.517028,-118.674029,5.725856,3.261744,-0.007041
6378165.842201,-10.368777,-110.428679,5.788886,3.155459,-0.083748
6378175.000178,-3.748035,-110.481070,5.688918,3.227340,-0.126131
6378188.734488,-8.103392,-101.545984,5.596805,3.456776,0.014067
6378196.352313,8.132958,-117.201098,4.567277,4.862958,0.461554
6378200.757767,5.168408,-107.787941,2.925238,5.897045,1.068945
6378204.223169,18.548337,-117.877437,1.200170,6.473145,1.752505
6378209.650226,22.614237,-108.069843,-0.743903,6.349152,2.544149
6378193.721394,38.640005,-110.319799,-2.460898,5.626637,3.149862
6378188.777778,34.949786,-107.238644,-4.096803,4.421355,3.604838
6378191.242409,36.842479,-101.243512,-5.221657,2.751110,3.975385
6378192.991053,41.425631,-98.670013,-5.856498,0.710182,4.356097
6378178.927722,38.328798,-82.162036,-5.805597,-1.349192,4.236704
6378174.303057,37.080742,-90.156084,-5.550669,-3.372699,4.070116
6378173.262645,32.293167,-86.741835,-6.357512,-3.741755,3.745515
6378162.807551,21.648524,-78.556852,-6.995856,-4.031641,3.638966
6378160.020797,22.067877,-81.870021,-6.862721,-4.150510,3.648701
6378149.015826,13.376644,-89.863172,-6.951831,-4.292861,3.466789
6378136.778813,24.962283,-74.038069,-6.942870,-4.412123,3.395176
6378135.419282,11.198213,-59.505585,-6.784882,-4.371795,3.405887
6378124.869106,13.315181,-66.051590,-6.903216,-4.335092,3.376733
6378113.716740,0.034403,-61.158850,-6.897552,-4.405654,3.306024
6378115.727774,3.933621,-53.878304,-6.930417,-4.334425,3.241737
6378106.390511,-6.863055,-54.480577,-6.958654,-4.525864,3.392224
6378104.910490,-5.685831,-43.672311,-6.912257,-4.487902,3.316588
6378095.475802,-14.293207,-33.009600,-6.827368,-4.488249,3.327830
6378079.968580,-15.907228,-46.866831,-6.944485,-4.577078,3.360998
6378074.446690,-22.349618,-29.079916,-6.876218,-4.482376,3.380591
6378066.164282,-21.833643,-37.835546,-6.226488,-5.616756,3.210667
6378076.730458,-35.845089,-16.932585,-4.289643,-7.300348,2.945316
6378067.462522,-37.573561,-36.093568,-2.096954,-8.466118,2.717879
6378060.826628,-57.036730,-14.658085,0.600442,-8.884581,2.615136
6378063.735037,-56.600042,-22.728253,3.165987,-8.584648,2.520325
6378071.280057,-63.563957,-22.149443,5.522923,-7.395324,2.497167
6378076.199383,-70.208656,-20.459999,7.421697,-5.542650,2.617845
6378093.027065,-78.160518,-14.544906,8.779760,-3.280517,2.883018
6378100.476090,-80.450172,-15.884306,9.477552,-0.667510,3.174527
6378099.650704,-80.112594,-8.049743,9.266808,1.961759,3.757543
