ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378136.977147,0.125190,-0.493194,-0.072850,0.150343,-0.994867
6378136.823997,0.293419,-1.960041,-0.226266,0.184171,-1.794685
6378136.568042,0.483547,-3.750035,-0.281347,0.195160,-1.785712
6378136.269223,0.682102,-5.532505,-0.313768,0.201439,-1.779602
6378135.945160,0.885505,-7.310029,-0.332874,0.205076,-1.775711
6378135.606215,1.091725,-9.084455,-0.344143,0.207198,-1.773315
6378135.258489,1.299594,-10.856991,-0.350794,0.208443,-1.771865
6378134.905580,1.508432,-12.628389,-0.354721,0.209175,-1.770997
6378134.549610,1.717840,-14.399108,-0.357040,0.209607,-1.770480
6378134.191833,1.927584,-16.169422,-0.358409,0.209862,-1.770173
6378133.832988,2.137526,-17.939497,-0.359219,0.210012,-1.769991
6378133.473512,2.347586,-19.709430,-0.359697,0.210101,-1.769883
6378133.113663,2.557715,-21.479279,-0.359979,0.210153,-1.769820
6378132.753594,2.767885,-23.249079,-0.360146,0.210184,-1.769782
6378132.385070,2.987148,-25.012601,-0.417316,0.272395,-1.726053
6378131.872247,3.365274,-26.650957,-0.603961,0.481446,-1.543426
6378131.193701,3.939125,-28.094115,-0.746383,0.663995,-1.338817
6378130.397771,4.684239,-29.329928,-0.837656,0.824612,-1.132069
6378129.536232,5.581152,-30.366222,-0.877578,0.968154,-0.943255
6378128.657989,6.614667,-31.230431,-0.872076,1.098078,-0.791205
6378127.803296,7.771899,-31.967477,-0.832383,1.215378,-0.691760
6378126.999101,9.039421,-32.635999,-0.773650,1.317853,-0.656237
6378126.255996,10.399880,-33.303206,-0.713129,1.399808,-0.690233
6378125.567121,11.828561,-34.038738,-0.668123,1.452264,-0.792867
6378124.825503,13.299247,-34.943347,-1.131198,1.511193,-1.154153
6378123.160838,14.910492,-36.118244,-2.164749,1.729764,-1.072877
6378120.931420,16.619161,-37.186404,-2.251032,1.678903,-1.073026
6378118.666620,18.276998,-38.263119,-2.276482,1.639713,-1.079913
6378116.382200,19.904122,-39.345280,-2.291179,1.616313,-1.084101
6378114.086401,21.512947,-40.430733,-2.299742,1.602403,-1.086616
6378111.783954,23.110910,-41.518157,-2.304758,1.594156,-1.088117
6378109.477607,24.702437,-42.606754,-2.307707,1.589274,-1.089008
6378107.168964,26.290155,-43.696047,-2.309444,1.586386,-1.089537
6378104.858967,27.875621,-44.785752,-2.310469,1.584678,-1.089850
6378102.548173,29.459756,-45.875702,-2.311073,1.583669,-1.090035
6378100.236908,31.043104,-46.965796,-2.311430,1.583073,-1.090144
6378097.925364,32.625987,-48.055975,-2.311641,1.582721,-1.090209
6378095.613656,34.208596,-49.146204,-2.311765,1.582512,-1.090247
6378093.301851,35.791042,-50.236463,-2.311839,1.582389,-1.090270
6378090.979922,37.339711,-51.353078,-2.351438,1.445764,-1.196192
6378088.592266,38.623647,-52.665952,-2.420914,1.102270,-1.437096
6378086.151343,39.514367,-54.230484,-2.451917,0.657722,-1.695059
6378083.713392,39.911371,-56.049715,-2.407801,0.115784,-1.941497
6378081.372484,39.725827,-58.097602,-2.250637,-0.503299,-2.147137
6378079.258341,38.897796,-60.319343,-1.948359,-1.161968,-2.284098
6378077.526826,37.412586,-62.633793,-1.482028,-1.807795,-2.327939
