ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.652757,0.000000,-16.617507
27.653588,-0.001003,-16.616125
27.655249,-0.002907,-16.613359
27.657741,-0.005620,-16.609210
27.661062,-0.009061,-16.603677
27.665209,-0.013151,-16.596763
27.670096,-0.017824,-16.588610
27.675645,-0.023016,-16.579345
27.681786,-0.028671,-16.569081
27.688455,-0.034739,-16.557922
27.695595,-0.041173,-16.545962
27.703153,-0.047931,-16.533285
27.711083,-0.054976,-16.519968
27.719342,-0.062273,-16.506081
27.727891,-0.069792,-16.491685
27.736696,-0.077505,-16.476838
27.745725,-0.085386,-16.461590
27.754950,-0.093413,-16.445988
27.764345,-0.101565,-16.430074
27.773888,-0.109825,-16.413885
27.783556,-0.118175,-16.397456
27.793332,-0.126600,-16.380817
27.803199,-0.135087,-16.363997
27.813141,-0.143624,-16.347021
27.823144,-0.152199,-16.329911
27.833196,-0.160804,-16.312689
27.843287,-0.169428,-16.295374
27.853405,-0.178065,-16.277981
27.863541,-0.186706,-16.260526
27.873689,-0.195347,-16.243024
27.883840,-0.203980,-16.225485
27.893988,-0.212601,-16.207923
27.904126,-0.221205,-16.190346
27.914251,-0.229789,-16.172765
27.924356,-0.238347,-16.155187
27.934438,-0.246878,-16.137619
27.944493,-0.255378,-16.120069
27.954517,-0.263845,-16.102542
27.964508,-0.272277,-16.085044
27.974463,-0.280670,-16.067580
27.984380,-0.289025,-16.050155
27.994256,-0.297338,-16.032771
28.004089,-0.305609,-16.015433
28.013878,-0.313836,-15.998145
28.023622,-0.322019,-15.980908
28.033319,-0.330157,-15.963725
28.042968,-0.338248,-15.946599
28.052569,-0.346292,-15.929532
28.062119,-0.354289,-15.912525
28.071619,-0.362238,-15.895581
28.081068,-0.370138,-15.878700
28.090466,-0.377990,-15.861884
28.099812,-0.385793,-15.845133
28.109105,-0.393547,-15.828450
28.118346,-0.401252,-15.811835
28.127534,-0.408907,-15.795288
28.136669,-0.416513,-15.778811
28.145751,-0.424070,-15.762403
28.154780,-0.431578,-15.746066
28.163756,-0.439037,-15.729799
28.172679,-0.446447,-15.713604
28.181549,-0.453807,-15.697480
28.190366,-0.461119,-15.681427
28.199130,-0.468383,-15.665446
28.207841,-0.475598,-15.649537
28.216500,-0.482765,-15.633700
28.225106,-0.489884,-15.617935
28.233661,-0.496955,-15.602242
28.242163,-0.503979,-15.586621
28.250613,-0.510955,-15.571072
28.259012,-0.517885,-15.555595
28.267360,-0.524767,-15.540190
28.275656,-0.531604,-15.524856
28.283902,-0.538394,-15.509594
28.292098,-0.545138,-15.494404
28.300243,-0.551837,-15.479285
28.308338,-0.558491,-15.464237
28.316383,-0.565099,-15.449260
28.324379,-0.571663,-15.434354
28.332326,-0.578183,-15.419518
28.340224,-0.584658,-15.404753
28.348073,-0.591090,-15.390058
28.355874,-0.597478,-15.375433
28.363627,-0.603823,-15.360877
28.371333,-0.610125,-15.346391
28.378991,-0.616384,-15.331975
28.386602,-0.622602,-15.317627
28.394166,-0.628777,-15.303348
28.401684,-0.634910,-15.289138
28.409156,-0.641003,-15.274996
28.416582,-0.647054,-15.260922
28.423962,-0.653064,-15.246915
28.431296,-0.659034,-15.232976
28.438586,-0.664963,-15.219105
28.445831,-0.670853,-15.205300
