ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.269356,0.286479,0.045889
0.511638,0.572962,0.087139
0.729425,0.859454,0.124155
0.925053,1.145957,0.157303
1.100635,1.431415,0.186917
1.258083,1.687629,0.213319
1.399130,1.917397,0.236801
1.525342,2.123251,0.257631
1.638138,2.307480,0.276056
1.738803,2.472154,0.292302
1.828499,2.619147,0.306576
1.908278,2.750153,0.319067
1.979090,2.866705,0.329946
2.041799,2.970191,0.339371
2.097182,3.061865,0.347483
2.145945,3.142862,0.354412
2.188726,3.214208,0.360275
2.226102,3.276834,0.365179
2.258596,3.331578,0.369219
2.286680,3.379202,0.372485
2.310781,3.420393,0.375054
2.331286,3.455774,0.376997
2.348546,3.485907,0.378381
2.362875,3.511302,0.379262
2.374562,3.532419,0.379694
2.383864,3.549676,0.379724
2.391016,3.563449,0.379396
2.396229,3.574079,0.378747
2.399697,3.581875,0.377813
2.401591,3.587117,0.376626
2.402068,3.590057,0.375214
2.401271,3.590922,0.373602
2.399327,3.589921,0.371814
2.396353,3.587239,0.369869
2.392454,3.583047,0.367788
2.387724,3.577496,0.365586
2.382248,3.570725,0.363279
2.376106,3.562859,0.360881
2.369366,3.554012,0.358403
2.362093,3.544286,0.355856
2.354342,3.533773,0.353251
2.346168,3.522557,0.350597
2.337615,3.510714,0.347901
2.328727,3.498312,0.345170
2.319541,3.485414,0.342411
2.310093,3.472074,0.339629
2.300413,3.458343,0.336830
2.290530,3.444269,0.334019
2.280470,3.429890,0.331199
2.270254,3.415246,0.328374
2.259905,3.400369,0.325547
2.249441,3.385291,0.322722
2.238879,3.370038,0.319900
2.228234,3.354636,0.317085
2.217520,3.339107,0.314278
2.206749,3.323472,0.311481
2.195933,3.307748,0.308696
2.185082,3.291953,0.305924
2.174206,3.276101,0.303167
2.163311,3.260205,0.300425
2.152406,3.244278,0.297700
2.141497,3.228332,0.294992
2.130591,3.212374,0.292302
2.119693,3.196415,0.289631
2.108807,3.180463,0.286980
2.097938,3.164524,0.284348
2.087091,3.148606,0.281737
2.076267,3.132713,0.279146
2.065472,3.116852,0.276576
2.054706,3.101026,0.274028
2.043974,3.085241,0.271500
2.033276,3.069499,0.268994
2.022616,3.053805,0.266510
