ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.420440,-0.017025,-9.772754
0.422115,-0.017103,-9.772669
0.423781,-0.017182,-9.772584
0.425438,-0.017260,-9.772500
0.427087,-0.017337,-9.772415
0.428727,-0.017414,-9.772331
0.430359,-0.017491,-9.772247
0.431982,-0.017567,-9.772164
0.433596,-0.017643,-9.772080
0.435202,-0.017719,-9.771997
0.436799,-0.017793,-9.771914
0.438389,-0.017868,-9.771831
0.439969,-0.017942,-9.771749
0.441542,-0.018016,-9.771666
0.443106,-0.018089,-9.771584
0.444662,-0.018162,-9.771503
0.446210,-0.018234,-9.771421
0.447749,-0.018306,-9.771339
0.449281,-0.018378,-9.771258
0.450804,-0.018449,-9.771177
0.452320,-0.018520,-9.771097
0.453827,-0.018591,-9.771016
0.455327,-0.018661,-9.770936
0.456818,-0.018730,-9.770856
0.458302,-0.018799,-9.770776
0.459778,-0.018868,-9.770697
0.461247,-0.018937,-9.770617
0.462707,-0.019005,-9.770538
0.464160,-0.019073,-9.770459
0.465606,-0.019140,-9.770381
0.467043,-0.019207,-9.770302
0.468473,-0.019274,-9.770224
0.469896,-0.019340,-9.770146
0.471311,-0.019406,-9.770069
0.472719,-0.019471,-9.769991
0.474119,-0.019536,-9.769914
0.475512,-0.019601,-9.769837
0.476898,-0.019665,-9.769760
0.478276,-0.019729,-9.769684
0.479647,-0.019793,-9.769608
0.481011,-0.019856,-9.769532
0.482368,-0.019919,-9.769456
0.483718,-0.019982,-9.769380
0.485060,-0.020044,-9.769305
0.486396,-0.020106,-9.769230
0.487724,-0.020168,-9.769155
0.489045,-0.020229,-9.769081
0.490360,-0.020290,-9.769007
0.491668,-0.020350,-9.768933
0.492968,-0.020411,-9.768859
0.494262,-0.020470,-9.768785
0.495549,-0.020530,-9.768712
0.496830,-0.020589,-9.768639
0.498103,-0.020648,-9.768566
0.499370,-0.020707,-9.768494
0.500631,-0.020765,-9.768421
0.501884,-0.020823,-9.768349
0.503131,-0.020880,-9.768277
0.504372,-0.020938,-9.768206
0.505606,-0.020995,-9.768134
0.506833,-0.021051,-9.768063
0.508054,-0.021107,-9.767993
0.509269,-0.021163,-9.767922
0.510477,-0.021219,-9.767852
0.511679,-0.021275,-9.767782
0.512875,-0.021330,-9.767712
0.514064,-0.021384,-9.767642
0.515247,-0.021439,-9.767573
0.516424,-0.021493,-9.767504
0.517595,-0.021547,-9.767435
0.518759,-0.021600,-9.767366
0.519918,-0.021654,-9.767298
0.521070,-0.021707,-9.767230
0.522216,-0.021759,-9.767162
0.523356,-0.021812,-9.767094
0.524491,-0.021864,-9.767027
0.525619,-0.021916,-9.766960
0.526741,-0.021967,-9.766893
0.527858,-0.022018,-9.766826
0.528968,-0.022069,-9.766760
0.530073,-0.022120,-9.766694
0.531172,-0.022171,-9.766628
0.532265,-0.022221,-9.766562
0.533353,-0.022270,-9.766497
0.534434,-0.022320,-9.766431
0.535511,-0.022369,-9.766366
0.536581,-0.022418,-9.766302
0.537646,-0.022467,-9.766237
0.538705,-0.022516,-9.766173
0.539758,-0.022564,-9.766109
0.540807,-0.022612,-9.766045
0.541849,-0.022659,-9.765982
0.542886,-0.022707,-9.765919
0.543918,-0.022754,-9.765856
0.544944,-0.022801,-9.765793
0.545965,-0.022848,-9.765730
0.546980,-0.022894,-9.765668
0.547990,-0.022940,-9.765606
0.548995,-0.022986,-9.765544
0.549995,-0.023032,-9.765483
0.550989,-0.023077,-9.765421
0.551978,-0.023122,-9.765360
0.552962,-0.023167,-9.765300
0.553941,-0.023212,-9.765239
0.554914,-0.023256,-9.765179
0.555883,-0.023300,-9.765118
0.556846,-0.023344,-9.765059
0.557804,-0.023388,-9.764999
0.558758,-0.023431,-9.764939
0.559706,-0.023474,-9.764880
0.560649,-0.023517,-9.764821
0.561587,-0.023560,-9.764763
0.562521,-0.023603,-9.764704
0.563449,-0.023645,-9.764646
0.564373,-0.023687,-9.764588
0.565292,-0.023729,-9.764530
0.566206,-0.023770,-9.764473
0.567115,-0.023812,-9.764415
0.568019,-0.023853,-9.764358
0.568919,-0.023893,-9.764301
0.569814,-0.023934,-9.764245
0.570704,-0.023975,-9.764188
0.571589,-0.024015,-9.764132
0.572470,-0.024055,-9.764076
0.573346,-0.024095,-9.764021
0.574218,-0.024134,-9.763965
0.575085,-0.024173,-9.763910
0.575947,-0.024213,-9.763855
0.576805,-0.024251,-9.763800
0.577659,-0.024290,-9.763745
0.578508,-0.024329,-9.763691
0.579352,-0.024367,-9.763637
0.580192,-0.024405,-9.763583
0.581028,-0.024443,-9.763529
0.581859,-0.024480,-9.763476
0.582686,-0.024518,-9.763423
0.583509,-0.024555,-9.763370
0.584327,-0.024592,-9.763317
0.585141,-0.024629,-9.763264
0.585950,-0.024666,-9.763212
0.586756,-0.024702,-9.763160
0.587557,-0.024738,-9.763108
0.588354,-0.024774,-9.763056
0.589147,-0.024810,-9.763005
0.589935,-0.024846,-9.762954
0.590720,-0.024881,-9.762903
0.591500,-0.024917,-9.762852
0.592276,-0.024952,-9.762801
0.593049,-0.024987,-9.762751
0.593817,-0.025021,-9.762701
0.594581,-0.025056,-9.762651
0.595341,-0.025090,-9.762601
0.596097,-0.025124,-9.762551
0.596849,-0.025158,-9.762502
0.597597,-0.025192,-9.762453
0.598341,-0.025225,-9.762404
0.599082,-0.025259,-9.762355
0.599818,-0.025292,-9.762307
0.600551,-0.025325,-9.762259
0.601279,-0.025358,-9.762211
0.602004,-0.025391,-9.762163
0.602725,-0.025423,-9.762115
0.603443,-0.025455,-9.762068
0.604156,-0.025488,-9.762020
0.604866,-0.025520,-9.761973
0.605572,-0.025551,-9.761927
0.606274,-0.025583,-9.761880
0.606973,-0.025614,-9.761833
0.607668,-0.025646,-9.761787
0.608359,-0.025677,-9.761741
0.609047,-0.025708,-9.761695
0.609731,-0.025738,-9.761650
0.610411,-0.025769,-9.761604
0.611088,-0.025799,-9.761559
0.611762,-0.025830,-9.761514
0.612432,-0.025860,-9.761469
0.613098,-0.025890,-9.761425
0.613761,-0.025920,-9.761380
0.614420,-0.025949,-9.761336
0.615076,-0.025979,-9.761292
0.615728,-0.026008,-9.761248
0.616377,-0.026037,-9.761205
0.617023,-0.026066,-9.761161
0.617665,-0.026095,-9.761118
0.618304,-0.026124,-9.761075
0.618939,-0.026152,-9.761032
0.619571,-0.026181,-9.760989
0.620200,-0.026209,-9.760947
0.620826,-0.026237,-9.760905
0.621448,-0.026265,-9.760862
0.622067,-0.026292,-9.760821
0.622682,-0.026320,-9.760779
0.623295,-0.026347,-9.760737
0.623904,-0.026375,-9.760696
0.624510,-0.026402,-9.760655
0.625113,-0.026429,-9.760614
0.625713,-0.026456,-9.760573
0.626309,-0.026483,-9.760532
0.626903,-0.026509,-9.760492
0.627493,-0.026536,-9.760452
0.628080,-0.026562,-9.760412
0.628664,-0.026588,-9.760372
0.629245,-0.026614,-9.760332
0.629823,-0.026640,-9.760292
0.630398,-0.026666,-9.760253
0.630970,-0.026691,-9.760214
0.631539,-0.026717,-9.760175
0.632105,-0.026742,-9.760136
0.632668,-0.026767,-9.760097
0.633228,-0.026792,-9.760059
0.633785,-0.026817,-9.760021
0.634339,-0.026842,-9.759983
0.634890,-0.026867,-9.759945
0.635439,-0.026891,-9.759907
0.635984,-0.026915,-9.759869
0.636527,-0.026940,-9.759832
0.637067,-0.026964,-9.759795
0.637603,-0.026988,-9.759758
0.638137,-0.027012,-9.759721
0.638669,-0.027035,-9.759684
0.639197,-0.027059,-9.759647
0.639723,-0.027082,-9.759611
0.640246,-0.027106,-9.759575
0.640766,-0.027129,-9.759539
0.641284,-0.027152,-9.759503
0.641798,-0.027175,-9.759467
0.642310,-0.027198,-9.759432
0.642820,-0.027221,-9.759396
0.643326,-0.027243,-9.759361
0.643831,-0.027266,-9.759326
0.644332,-0.027288,-9.759291
0.644831,-0.027310,-9.759256
0.645327,-0.027332,-9.759222
0.645820,-0.027354,-9.759187
0.646311,-0.027376,-9.759153
0.646800,-0.027398,-9.759119
0.647285,-0.027420,-9.759085
0.647769,-0.027441,-9.759051
0.648249,-0.027463,-9.759017
0.648727,-0.027484,-9.758984
0.649203,-0.027505,-9.758951
0.649676,-0.027526,-9.758917
0.650147,-0.027547,-9.758884
0.650615,-0.027568,-9.758852
0.651081,-0.027589,-9.758819
0.651544,-0.027609,-9.758786
0.652005,-0.027630,-9.758754
0.652464,-0.027650,-9.758722
0.652920,-0.027671,-9.758690
0.653373,-0.027691,-9.758658
0.653825,-0.027711,-9.758626
0.654273,-0.027731,-9.758594
0.654720,-0.027751,-9.758563
0.655164,-0.027770,-9.758531
0.655606,-0.027790,-9.758500
0.656046,-0.027810,-9.758469
0.656483,-0.027829,-9.758438
0.656918,-0.027848,-9.758408
0.657350,-0.027868,-9.758377
0.657781,-0.027887,-9.758347
0.658209,-0.027906,-9.758316
0.658635,-0.027925,-9.758286
0.659058,-0.027943,-9.758256
0.659480,-0.027962,-9.758226
0.659899,-0.027981,-9.758196
0.660316,-0.027999,-9.758167
0.660731,-0.028018,-9.758137
0.661143,-0.028036,-9.758108
0.661554,-0.028054,-9.758079
0.661962,-0.028072,-9.758050
0.662368,-0.028090,-9.758021
0.662772,-0.028108,-9.757992
0.663174,-0.028126,-9.757963
0.663574,-0.028144,-9.757935
0.663972,-0.028162,-9.757907
0.664367,-0.028179,-9.757878
0.664761,-0.028197,-9.757850
0.665152,-0.028214,-9.757822
0.665542,-0.028231,-9.757795
0.665929,-0.028248,-9.757767
0.666314,-0.028265,-9.757739
0.666698,-0.028282,-9.757712
0.667079,-0.028299,-9.757685
0.667458,-0.028316,-9.757657
0.667836,-0.028333,-9.757630
0.668211,-0.028350,-9.757603
0.668584,-0.028366,-9.757577
0.668956,-0.028383,-9.757550
0.669325,-0.028399,-9.757524
0.669693,-0.028415,-9.757497
0.670058,-0.028431,-9.757471
0.670422,-0.028448,-9.757445
0.670784,-0.028464,-9.757419
0.671143,-0.028479,-9.757393
0.671501,-0.028495,-9.757367
0.671857,-0.028511,-9.757342
0.672212,-0.028527,-9.757316
0.672564,-0.028542,-9.757291
0.672914,-0.028558,-9.757265
