ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000060,-0.000100
6378137.000300,0.000174,-0.000300
6378137.000600,0.000337,-0.000600
6378137.001000,0.000544,-0.001000
6378137.001499,0.000791,-0.001500
6378137.002099,0.001073,-0.002101
6378137.002798,0.001387,-0.002801
6378137.003597,0.001730,-0.003602
6378137.004495,0.002100,-0.004503
6378137.005494,0.002492,-0.005505
6378137.006591,0.002906,-0.006607
6378137.007788,0.003340,-0.007809
6378137.009084,0.003790,-0.009112
6378137.010480,0.004257,-0.010516
6378137.011917,0.004737,-0.012020
6378137.013392,0.005230,-0.013625
6378137.014899,0.005735,-0.015330
6378137.016435,0.006250,-0.017136
6378137.017997,0.006775,-0.019043
6378137.019583,0.007308,-0.021050
6378137.021189,0.007849,-0.023157
6378137.022815,0.008397,-0.025366
6378137.024456,0.008951,-0.027675
6378137.026112,0.009512,-0.030084
6378137.027781,0.010077,-0.032594
6378137.029462,0.010647,-0.035205
6378137.031153,0.011222,-0.037917
6378137.032852,0.011800,-0.040729
6378137.034559,0.012382,-0.043641
6378137.036273,0.012968,-0.046655
6378137.037992,0.013556,-0.049769
6378137.039716,0.014147,-0.052983
6378137.041445,0.014741,-0.056299
6378137.043177,0.015337,-0.059715
6378137.044911,0.015935,-0.063231
6378137.046648,0.016535,-0.066848
6378137.048387,0.017137,-0.070566
6378137.050127,0.017741,-0.074384
6378137.051868,0.018346,-0.078303
6378137.053609,0.018953,-0.082323
6378137.055350,0.019561,-0.086443
6378137.057091,0.020170,-0.090663
6378137.058831,0.020781,-0.094985
6378137.060571,0.021393,-0.099407
6378137.062309,0.022005,-0.103929
6378137.064047,0.022619,-0.108552
6378137.065782,0.023233,-0.113276
6378137.067516,0.023849,-0.118100
6378137.069248,0.024465,-0.123024
6378137.070978,0.025082,-0.128050
6378137.072705,0.025700,-0.133176
6378137.074430,0.026319,-0.138402
6378137.076153,0.026938,-0.143729
6378137.077873,0.027558,-0.149156
6378137.079590,0.028179,-0.154684
6378137.081304,0.028800,-0.160313
6378137.083015,0.029422,-0.166042
6378137.084723,0.030045,-0.171871
6378137.086427,0.030668,-0.177801
