mag_x (uT),mag_y (uT),mag_z (uT)
27.645159,0.024560,-16.628682
27.649035,-0.023904,-16.609173
27.650707,0.001979,-16.594725
27.657767,0.003795,-16.596129
27.676076,0.000349,-16.612114
27.659436,-0.001830,-16.601799
27.650928,-0.005246,-16.596468
27.671308,-0.008847,-16.604343
27.665526,-0.010995,-16.589817
27.667187,-0.025330,-16.589241
27.682170,-0.024533,-16.565229
27.672223,-0.037962,-16.582662
27.676517,-0.017277,-16.558562
27.681385,-0.044812,-16.545659
27.682063,-0.052849,-16.544326
27.697260,-0.057150,-16.525317
27.705375,-0.046491,-16.540144
27.726007,-0.051013,-16.512617
27.721556,-0.073553,-16.514382
27.723951,-0.080257,-16.487944
27.714690,-0.082884,-16.478336
27.743127,-0.082811,-16.488117
27.726825,-0.092389,-16.455485
27.753850,-0.093262,-16.451293
27.750356,-0.098185,-16.459816
27.747099,-0.100461,-16.453987
27.753599,-0.133435,-16.436138
27.779272,-0.126883,-16.432665
27.768768,-0.107794,-16.404651
27.784375,-0.139053,-16.413113
27.763461,-0.136002,-16.397178
27.793206,-0.153986,-16.389067
27.790143,-0.135763,-16.373328
27.792355,-0.146910,-16.384294
27.823773,-0.171717,-16.356057
27.822472,-0.189116,-16.352194
27.818827,-0.180614,-16.339042
27.833518,-0.180161,-16.324653
27.833308,-0.199014,-16.318086
27.825882,-0.202240,-16.332169
27.840077,-0.205461,-16.327873
27.845958,-0.226764,-16.297665
27.843965,-0.222264,-16.275874
27.859067,-0.229967,-16.272162
27.868603,-0.239892,-16.267554
27.861774,-0.228277,-16.252519
27.876660,-0.235818,-16.249878
27.863930,-0.239555,-16.238796
27.881438,-0.233713,-16.226232
27.867426,-0.256667,-16.202713
27.905799,-0.260457,-16.208378
27.887327,-0.265394,-16.225456
27.893266,-0.275957,-16.180876
27.900763,-0.288836,-16.188996
27.912468,-0.284530,-16.162826
27.916130,-0.295073,-16.156266
27.907148,-0.280045,-16.156788
27.923852,-0.287454,-16.143475
27.930595,-0.301897,-16.143008
27.937793,-0.321681,-16.138421
27.948406,-0.327615,-16.124386
27.941994,-0.327506,-16.129463
27.947313,-0.342795,-16.118402
27.947205,-0.334422,-16.103702
27.952967,-0.342477,-16.096739
27.958299,-0.319758,-16.085558
27.961623,-0.338195,-16.079479
27.965893,-0.356499,-16.072379
27.974656,-0.373305,-16.067875
27.974326,-0.361256,-16.073087
27.979143,-0.367335,-16.045757
27.988702,-0.393112,-16.033317
27.992063,-0.387230,-16.034940
27.996991,-0.385206,-16.024443
28.009566,-0.388166,-16.019776
