ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.151194,0.055973,-0.497369,0.151914,0.064096,-1.004714
6378137.271680,0.121552,-1.991087,0.089787,0.066697,-1.882683
6378137.349662,0.188680,-3.874269,0.067868,0.067450,-1.883573
6378137.410551,0.256300,-5.758071,0.054911,0.067750,-1.883985
6378137.461338,0.324121,-7.642168,0.047255,0.067876,-1.884188
6378137.506157,0.392029,-9.526414,0.042732,0.067933,-1.884294
6378137.547449,0.459977,-11.410739,0.040059,0.067960,-1.884352
6378137.586658,0.527945,-13.295108,0.038480,0.067974,-1.884384
6378137.624636,0.595923,-15.179502,0.037548,0.067982,-1.884402
6378137.661886,0.663907,-17.063910,0.036996,0.067986,-1.884413
6378137.698708,0.731895,-18.948327,0.036671,0.067988,-1.884420
6378137.735275,0.799884,-20.832748,0.036479,0.067990,-1.884423
6378137.771692,0.867874,-22.717173,0.036365,0.067991,-1.884425
6378137.744907,1.110698,-24.581983,-0.105931,0.455935,-1.828128
6378137.565535,1.766275,-26.347724,-0.247687,0.851000,-1.691301
6378137.269630,2.791366,-27.951312,-0.333099,1.193327,-1.510258
6378136.926499,4.130701,-29.370392,-0.339063,1.478441,-1.330353
6378136.619063,5.725737,-30.630067,-0.261943,1.703600,-1.199735
6378136.424162,7.514402,-31.801365,-0.117378,1.863870,-1.160602
6378136.394920,9.427365,-32.991191,0.063616,1.949288,-1.241162
6378136.548549,11.382387,-34.325125,0.241452,1.943987,-1.449569
6378136.861846,13.278963,-35.925551,0.376323,1.827717,-1.770808
6378137.275152,14.995661,-37.888380,0.436498,1.579670,-2.167083
6378137.537292,16.953734,-40.517391,0.102629,2.414949,-2.848062
6378137.544560,19.648230,-43.403633,-0.039408,2.750479,-2.904765
6378137.482809,22.388737,-46.317387,-0.080739,2.731815,-2.921475
6378137.389139,25.114394,-49.244212,-0.104691,2.720330,-2.931414
6378137.276906,27.830995,-52.178800,-0.118674,2.713390,-2.937308
6378137.153810,30.542150,-55.117987,-0.126876,2.709236,-2.940797
6378137.024334,33.250056,-58.059896,-0.131701,2.706764,-2.942861
6378136.891101,35.956030,-61.003414,-0.134544,2.705297,-2.944081
6378136.755653,38.660859,-63.947884,-0.136221,2.704428,-2.944802
6378136.618899,41.365010,-66.892915,-0.137211,2.703914,-2.945228
6378136.481373,44.068760,-69.838279,-0.137796,2.703610,-2.945480
