ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.000000,0.000000,0.000000
0.009999,0.006015,-0.010000
0.019997,0.011429,-0.020002
0.029991,0.016304,-0.030006
0.039982,0.020694,-0.040013
0.049967,0.024647,-0.050024
0.059948,0.028209,-0.060040
0.069922,0.031419,-0.070060
0.079890,0.034314,-0.080085
0.089851,0.036924,-0.090116
0.099806,0.039279,-0.100153
0.109753,0.041405,-0.110196
0.119693,0.043326,-0.120246
0.129626,0.045063,-0.130302
0.139552,0.046634,-0.140365
0.143771,0.048047,-0.150418
0.147423,0.049323,-0.160473
0.150694,0.050477,-0.170529
0.153620,0.051521,-0.180587
0.156235,0.052465,-0.190647
0.158571,0.053320,-0.200707
0.160653,0.054095,-0.210768
0.162508,0.054797,-0.220830
0.164156,0.055434,-0.230893
0.165618,0.056013,-0.240956
0.166912,0.056538,-0.251019
0.168053,0.057016,-0.261082
0.169058,0.057451,-0.271146
0.169938,0.057847,-0.281209
0.170705,0.058209,-0.291273
0.171370,0.058539,-0.301336
0.171943,0.058841,-0.311399
0.172432,0.059118,-0.321462
0.172845,0.059372,-0.331524
0.173189,0.059605,-0.341587
0.173470,0.059819,-0.351648
0.173695,0.060017,-0.361710
0.173867,0.060200,-0.371771
0.173992,0.060369,-0.381832
0.174074,0.060526,-0.391892
0.174117,0.060671,-0.401952
0.174123,0.060807,-0.412011
0.174097,0.060934,-0.422070
0.174040,0.061053,-0.432129
0.173956,0.061164,-0.442187
0.173846,0.061269,-0.452245
0.173712,0.061368,-0.462302
0.173557,0.061461,-0.472358
0.173382,0.061550,-0.482415
0.173188,0.061634,-0.492470
0.172977,0.061714,-0.502526
0.172750,0.061791,-0.512580
0.172507,0.061864,-0.522635
0.172251,0.061935,-0.532688
0.171982,0.062002,-0.542742
0.171701,0.062068,-0.552795
0.171408,0.062131,-0.562847
0.171104,0.062192,-0.572899
0.170790,0.062252,-0.582950
0.170467,0.062309,-0.593001
0.170134,0.062366,-0.603052
0.169792,0.062420,-0.613102
0.169442,0.062474,-0.623152
0.169084,0.062527,-0.633201
0.168718,0.062578,-0.643250
0.168345,0.062629,-0.653298
0.167965,0.062678,-0.663346
0.167578,0.062727,-0.673393
0.167185,0.062775,-0.683440
0.166785,0.062823,-0.693486
0.166379,0.062869,-0.703532
0.165967,0.062915,-0.713578
0.165549,0.062961,-0.723623
0.165126,0.063006,-0.733668
0.164697,0.063051,-0.743712
0.164262,0.063095,-0.753756
0.163823,0.063139,-0.763799
0.163378,0.063182,-0.773842
0.162928,0.063225,-0.783885
0.162474,0.063267,-0.793927
0.162014,0.063310,-0.803969
0.161550,0.063351,-0.814010
0.161081,0.063393,-0.824051
0.160608,0.063434,-0.834091
0.160130,0.063475,-0.844131
0.159647,0.063516,-0.854171
0.159160,0.063556,-0.864210
0.158669,0.063596,-0.874248
0.158174,0.063636,-0.884287
0.157674,0.063676,-0.894325
0.157170,0.063715,-0.904362
0.156662,0.063754,-0.914399
0.156150,0.063793,-0.924436
0.155634,0.063832,-0.934472
0.155114,0.063870,-0.944508
