accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.230845,0.354769,-10.782728
0.203986,0.321943,-10.778095
0.185893,0.288716,-10.783020
0.161933,0.260505,-10.770059
0.158393,0.234929,-10.778473
0.129266,0.197274,-10.777069
0.127099,0.191385,-10.778729
0.117868,0.168769,-10.786239
0.104022,0.157694,-10.785191
0.082284,0.131165,-10.785793
0.085126,0.114417,-10.784164
0.073968,0.099668,-10.779481
0.069542,0.084367,-10.785582
0.064129,0.076375,-10.774593
0.060221,0.070540,-10.781446
0.057865,0.054049,-10.782452
0.045379,0.045598,-10.774371
0.042631,0.032661,-10.780047
0.049705,0.024420,-10.775878
0.043163,0.010068,-10.776769
0.040400,0.012818,-10.773766
0.039526,-0.003473,-10.775239
0.034763,-0.000359,-10.780477
0.040260,-0.004223,-10.774694
0.039873,-0.016706,-10.770311
0.042239,-0.016822,-10.771347
0.035391,-0.026825,-10.772409
0.033728,-0.035229,-10.778077
0.035957,-0.022484,-10.775598
0.038230,-0.032136,-10.785604
0.029494,-0.028699,-10.775757
0.035788,-0.043120,-10.778724
0.027623,-0.045487,-10.782834
0.029948,-0.050341,-10.778578
0.028106,-0.062585,-10.788236
0.032457,-0.055589,-10.782108
0.034901,-0.071235,-10.780717
0.027486,-0.057894,-10.783395
0.034825,-0.072543,-10.777970
0.025543,-0.068447,-10.780913
0.052760,-0.077911,-10.775286
0.031684,-0.071613,-10.781932
0.042416,-0.083610,-10.786257
0.046341,-0.079265,-10.780495
0.054092,-0.087176,-10.771774
0.039822,-0.087484,-10.774845
0.046966,-0.084834,-10.777836
0.041785,-0.086723,-10.784525
0.053838,-0.092879,-10.786934
0.043968,-0.093972,-10.779716
0.049686,-0.105241,-10.774381
0.051095,-0.097922,-10.786623
0.052467,-0.111081,-10.780101
0.049883,-0.110812,-10.779749
0.044948,-0.108741,-10.780689
0.043606,-0.110050,-10.781740
0.042408,-0.118899,-10.779225
0.052528,-0.111613,-10.775527
0.047979,-0.115879,-10.778204
0.048772,-0.115850,-10.784118
0.048682,-0.126623,-10.774602
0.057161,-0.131551,-10.779575
0.060173,-0.130575,-10.778999
0.055372,-0.121165,-10.787412
0.063867,-0.129017,-10.779207
0.059686,-0.132657,-10.789357
0.064286,-0.135767,-10.781518
0.064324,-0.136217,-10.777166
0.067022,-0.143519,-10.767096
0.064529,-0.149932,-10.777166
0.066985,-0.138224,-10.785482
0.059514,-0.150793,-10.775422
0.062873,-0.147812,-10.773258
0.066844,-0.149532,-10.777891
0.074099,-0.150324,-10.775784
0.065331,-0.157665,-10.775828
0.083221,-0.149808,-10.771097
0.064431,-0.153937,-10.777906
0.079240,-0.160414,-10.775439
0.074434,-0.161715,-10.778328
0.079356,-0.163809,-10.785660
0.079122,-0.155190,-10.773739
0.078721,-0.168401,-10.778221
0.075730,-0.178495,-10.773740
0.079928,-0.166868,-10.775537
0.079363,-0.167418,-10.783233
0.080325,-0.177365,-10.772324
0.085780,-0.177036,-10.776808
0.073718,-0.184779,-10.775294
0.085694,-0.182100,-10.780838
0.089871,-0.188664,-10.774397
0.079206,-0.193128,-10.775084
0.088898,-0.182413,-10.782729
0.099503,-0.196691,-10.772492
0.085692,-0.202182,-10.774387
0.089274,-0.198258,-10.774664
0.089045,-0.198093,-10.776866
0.088774,-0.199259,-10.777283
0.091192,-0.202377,-10.772206
0.090515,-0.206440,-10.773739
0.087170,-0.208367,-10.774843
0.094688,-0.207165,-10.775462
0.093738,-0.211815,-10.775241
0.098802,-0.215452,-10.772519
0.092015,-0.208180,-10.777686
0.103109,-0.214571,-10.771035
0.090662,-0.221377,-10.784842
0.096860,-0.224913,-10.774767
0.100502,-0.216956,-10.775134
0.095189,-0.218636,-10.773768
0.098328,-0.221810,-10.782551
0.096494,-0.228068,-10.772713
0.108136,-0.221292,-10.783623
0.104832,-0.224477,-10.772306
0.107725,-0.227994,-10.779142
0.105394,-0.234276,-10.772932
0.109389,-0.229530,-10.778707
0.114082,-0.231512,-10.770508
0.105131,-0.244108,-10.785311
0.103384,-0.236457,-10.778654
0.111903,-0.237211,-10.779334
0.104558,-0.236991,-10.778182
0.112468,-0.239238,-10.771639
0.110084,-0.244349,-10.786079
0.106894,-0.249266,-10.771602
0.105041,-0.255881,-10.774791
0.106069,-0.251465,-10.777308
0.116152,-0.252472,-10.774968
0.119272,-0.260226,-10.773987
0.121055,-0.259767,-10.780793
0.119341,-0.261589,-10.780016
0.107013,-0.254008,-10.767384
0.112055,-0.257741,-10.772982
0.122255,-0.257694,-10.782302
0.125244,-0.265044,-10.778677
0.120172,-0.266030,-10.777513
0.122436,-0.260323,-10.774205
0.125156,-0.267468,-10.778789
0.125080,-0.261106,-10.778647
0.131021,-0.270336,-10.769537
0.128503,-0.279680,-10.774614
0.123356,-0.278103,-10.772335
0.116834,-0.269051,-10.773128
0.130981,-0.277669,-10.769761
0.130329,-0.281240,-10.777548
0.123027,-0.279843,-10.776597
0.121530,-0.282746,-10.768967
0.128180,-0.289275,-10.767656
0.130852,-0.292789,-10.775553
0.123943,-0.285937,-10.767050
0.135352,-0.292106,-10.774324
0.132134,-0.287464,-10.777424
0.134162,-0.283603,-10.769242
0.127840,-0.284593,-10.781932
0.136074,-0.295069,-10.776367
0.136773,-0.298052,-10.777342
0.133650,-0.303040,-10.767984
0.130776,-0.292396,-10.776021
0.130933,-0.302495,-10.772221
0.135246,-0.312847,-10.761385
0.135107,-0.297712,-10.773780
0.133084,-0.306311,-10.764697
0.136892,-0.308397,-10.766663
0.141397,-0.300403,-10.771040
0.135943,-0.311463,-10.769976
0.139727,-0.308184,-10.774655
0.144187,-0.311980,-10.764805
0.149079,-0.317218,-10.772797
