ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000023,0.000035,-0.000100
6378137.000067,0.000102,-0.000300
6378137.000129,0.000198,-0.000600
6378137.000207,0.000320,-0.001000
6378137.000301,0.000465,-0.001500
6378137.000409,0.000631,-0.002100
6378137.000528,0.000816,-0.002800
6378137.000658,0.001018,-0.003600
6378137.000798,0.001235,-0.004499
6378137.000947,0.001467,-0.005499
6378137.001103,0.001711,-0.006599
6378137.001267,0.001967,-0.007799
6378137.001436,0.002233,-0.009098
6378137.001611,0.002509,-0.010498
6378137.001791,0.002793,-0.011997
6378137.001976,0.003085,-0.013597
6378137.002164,0.003385,-0.015296
6378137.002356,0.003691,-0.017096
6378137.002551,0.004004,-0.018995
6378137.002748,0.004322,-0.020994
6378137.002948,0.004645,-0.023093
6378137.003150,0.004974,-0.025292
6378137.003353,0.005306,-0.027591
6378137.003558,0.005643,-0.029990
6378137.003764,0.005985,-0.032489
6378137.003971,0.006329,-0.035088
6378137.004179,0.006678,-0.037786
6378137.004388,0.007030,-0.040585
6378137.004597,0.007385,-0.043483
6378137.004806,0.007743,-0.046482
6378137.005016,0.008104,-0.049580
6378137.005226,0.008468,-0.052778
6378137.005436,0.008835,-0.056077
6378137.005645,0.009205,-0.059475
6378137.005855,0.009578,-0.062973
6378137.006064,0.009953,-0.066571
6378137.006273,0.010330,-0.070269
6378137.006481,0.010711,-0.074066
6378137.006689,0.011094,-0.077964
6378137.006896,0.011479,-0.081962
6378137.007103,0.011867,-0.086059
6378137.007308,0.012258,-0.090256
6378137.007513,0.012651,-0.094554
6378137.007718,0.013047,-0.098951
6378137.007921,0.013445,-0.103448
6378137.008124,0.013846,-0.108045
6378137.008325,0.014249,-0.112742
6378137.008526,0.014655,-0.117539
6378137.008725,0.015064,-0.122436
6378137.008923,0.015475,-0.127433
6378137.009121,0.015889,-0.132529
6378137.009317,0.016306,-0.137726
6378137.009512,0.016726,-0.143022
6378137.009706,0.017148,-0.148419
6378137.009898,0.017573,-0.153915
6378137.010090,0.018001,-0.159511
6378137.010280,0.018432,-0.165207
6378137.010468,0.018865,-0.171003
6378137.010656,0.019302,-0.176899
