gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.238701,0.286366,0.329434
0.505735,0.555433,0.619137
0.830943,0.909381,0.804302
1.038153,1.167858,1.053731
1.181931,1.470154,1.285497
1.468402,1.750376,1.443010
1.625593,2.022448,1.563296
1.768897,2.324418,1.754033
1.886562,2.535602,1.871442
2.080117,2.712723,1.972998
2.118874,2.909478,1.998405
2.252341,3.046654,2.155916
2.273679,3.183924,2.217274
2.360090,3.331199,2.272727
2.388270,3.406833,2.350877
2.575666,3.495259,2.459319
2.589063,3.603972,2.402422
2.635233,3.775714,2.559165
2.605871,3.761466,2.556488
2.606677,3.835189,2.573895
2.685213,3.879552,2.561102
2.704728,3.998147,2.643361
2.689127,3.944035,2.638039
2.681080,4.030130,2.647341
2.698155,4.063137,2.732347
2.746357,4.079373,2.706348
2.731048,4.146854,2.692348
2.731050,4.032302,2.748297
2.844275,4.107216,2.666429
2.726263,4.150699,2.649902
2.633804,4.176944,2.672017
2.751856,4.065001,2.688929
2.791271,4.129548,2.656414
2.743256,4.122155,2.752306
2.766996,4.123941,2.718110
2.718124,4.204822,2.632707
2.747091,4.098934,2.687716
2.700846,4.070195,2.721005
2.672772,4.047766,2.699383
2.675510,4.090063,2.657885
2.728638,4.113577,2.575611
2.637699,4.071317,2.562705
2.632266,3.995162,2.569632
2.712413,4.047995,2.541482
2.618062,3.962814,2.599663
2.655001,4.088834,2.501349
2.603069,3.943877,2.552833
2.647371,4.013525,2.544334
2.553923,3.952028,2.553386
2.600602,3.958978,2.465474
2.570795,3.949579,2.508688
2.559364,3.905791,2.551495
2.473191,3.932487,2.451901
2.589383,3.939675,2.472713
2.536953,3.852468,2.510120
2.447785,3.876388,2.411675
2.494422,3.894060,2.378266
2.479829,3.806700,2.441601
2.518035,3.786138,2.364321
2.449683,3.737913,2.341221
2.411272,3.810704,2.375944
2.425410,3.744822,2.460254
2.417347,3.724523,2.373341
2.423538,3.730313,2.278619
2.360972,3.793491,2.297410
2.343539,3.635378,2.248935
2.346940,3.611809,2.258704
2.353306,3.687375,2.314289
2.379365,3.600226,2.306739
2.298093,3.561895,2.253564
2.316481,3.569503,2.218378
2.268298,3.564924,2.208823
2.216764,3.548855,2.262824
2.313872,3.571397,2.211488
2.325968,3.560013,2.267794
2.204228,3.528788,2.184140
2.216826,3.483996,2.240661
2.209230,3.466712,2.183754
2.203940,3.454610,2.195378
2.220746,3.445662,2.112540
2.157830,3.424883,2.167765
2.199287,3.421655,2.089517
2.067778,3.441187,2.034356
2.050794,3.345571,2.037956
2.143857,3.433960,2.151231
2.161836,3.383962,2.107646
2.109429,3.362799,2.014884
2.141859,3.304853,1.981201
2.068606,3.341327,2.022431
2.104451,3.305218,2.028397
2.012758,3.268233,1.987926
2.053946,3.189878,2.035775
2.037103,3.261734,2.015724
1.988527,3.172354,1.861272
2.013227,3.155701,1.883872
2.018149,3.214843,1.931787
2.003470,3.173923,1.890654
1.995417,3.203669,1.892892
2.003690,3.138372,1.904525
1.981792,3.078207,1.959148
1.975426,3.135078,1.817788
1.930395,3.049147,1.790715
1.951548,3.039599,1.793429
1.859465,3.036865,1.849965
1.885830,2.984227,1.803464
1.885384,3.006942,1.831623
1.849606,3.008398,1.802912
1.864006,2.986888,1.736281
1.855679,2.962543,1.815922
1.909946,2.924289,1.718306
1.758771,2.941040,1.783689
1.909208,2.966737,1.715698
1.809288,2.989747,1.759073
1.758253,3.003593,1.690051
1.809819,2.824485,1.746993
1.780914,2.892020,1.762689
1.763319,2.929529,1.783265
1.801402,2.839064,1.665649
1.779391,2.825392,1.713553
1.699783,2.776992,1.610169
1.717154,2.736985,1.688365
1.719942,2.793896,1.648331
1.718257,2.831284,1.614753
1.642161,2.750052,1.574548
1.671803,2.704299,1.581449
1.639916,2.777202,1.622621
1.683483,2.787408,1.553953
1.695567,2.757996,1.600653
1.668013,2.689684,1.579512
1.602756,2.691067,1.641118
1.578488,2.566026,1.591841
1.682008,2.679395,1.531505
1.616764,2.633161,1.658176
1.623501,2.663903,1.564238
1.611549,2.603766,1.506044
1.637972,2.523696,1.458658
1.599252,2.565268,1.471906
1.568386,2.515377,1.460980
1.557497,2.540201,1.537417
1.563364,2.499215,1.527574
1.475465,2.511940,1.515673
1.577710,2.520640,1.519185
1.600762,2.458742,1.464849
1.490708,2.393550,1.473626
1.449311,2.456317,1.493585
1.477109,2.458395,1.499608
1.494879,2.407122,1.374101
1.525720,2.436509,1.415934
1.425485,2.449282,1.432759
1.441663,2.380011,1.365017
1.402002,2.461886,1.442362
1.400161,2.413194,1.357406
1.441014,2.402802,1.379770
1.399309,2.346250,1.317087
1.422783,2.374284,1.341354
1.488112,2.324325,1.425002
1.420696,2.283625,1.373204
1.463575,2.353092,1.390043
1.422337,2.311904,1.339228
1.361602,2.266766,1.419060
1.389283,2.287771,1.276541
1.400128,2.307754,1.316148
1.445521,2.302146,1.293946
1.365950,2.221103,1.334872
1.280006,2.195671,1.356264
1.339846,2.188630,1.246431
1.331559,2.111008,1.310988
1.300615,2.220883,1.264729
1.290867,2.211820,1.315889
1.342085,2.201004,1.086685
1.292625,2.208677,1.281999
1.333422,2.183775,1.173904
1.220429,2.145821,1.216001
1.327254,2.120976,1.347339
1.185817,2.125987,1.206478
1.303689,2.133849,1.193329
1.285268,2.090951,1.180452
1.185424,2.117499,1.171385
1.251840,2.073452,1.183183
1.218816,2.063285,1.192387
1.164153,2.114179,1.205753
1.193513,2.031983,1.148278
