ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.115885,0.087566,-0.497138,0.088929,0.124503,-1.003273
6378137.134760,0.254346,-1.989387,-0.053618,0.209021,-1.913847
6378137.053293,0.477829,-3.900541,-0.105408,0.235617,-1.908599
6378136.931278,0.721538,-5.807108,-0.136267,0.250552,-1.904739
6378136.785152,0.976714,-7.710493,-0.154578,0.259104,-1.902195
6378136.624736,1.238494,-9.611835,-0.165421,0.264061,-1.900601
6378136.455860,1.504117,-11.511913,-0.171835,0.266957,-1.899627
6378136.281982,1.771990,-13.411225,-0.175628,0.268656,-1.899041
6378136.105147,2.041185,-15.310077,-0.177869,0.269656,-1.898690
6378135.926564,2.311158,-17.208655,-0.179194,0.270245,-1.898482
6378135.746948,2.581590,-19.107070,-0.179977,0.270592,-1.898358
6378135.566723,2.852293,-21.005389,-0.180439,0.270798,-1.898285
6378135.386136,3.123156,-22.903651,-0.180712,0.270919,-1.898242
6378135.205337,3.394113,-24.801880,-0.180874,0.270990,-1.898216
6378135.022083,3.668120,-26.696775,-0.206286,0.303809,-1.861619
6378134.750825,4.066242,-28.440455,-0.326518,0.489125,-1.619512
6378134.393945,4.632080,-29.936850,-0.375636,0.637647,-1.372013
6378134.023265,5.327439,-31.192853,-0.354250,0.747754,-1.142407
6378133.705780,6.113789,-32.236351,-0.270472,0.819179,-0.950414
6378133.497523,6.952209,-33.113289,-0.137994,0.851384,-0.812119
6378133.438571,7.803079,-33.883279,0.025161,0.843512,-0.738506
6378133.549485,8.625788,-34.613936,0.198249,0.794453,-0.734403
6378133.829487,9.378559,-35.374402,0.359643,0.703020,-0.797910
6378134.256523,10.018500,-36.228549,0.488746,0.568231,-0.920371
6378134.774062,10.533095,-37.252904,0.419005,0.652459,-1.297066
6378134.795868,11.564175,-38.877586,-0.395915,1.393307,-1.707466
6378134.278494,12.995302,-40.584074,-0.574653,1.413242,-1.706893
6378133.667017,14.392482,-42.291259,-0.642796,1.382926,-1.707422
6378133.002868,15.765039,-43.998828,-0.682354,1.363505,-1.707691
6378132.308050,17.122115,-45.706598,-0.705463,1.351512,-1.707835
6378131.595278,18.469724,-47.414475,-0.719022,1.344246,-1.707914
6378130.871958,19.811628,-49.122414,-0.726998,1.339891,-1.707960
6378130.142427,21.150123,-50.830388,-0.731699,1.337297,-1.707986
6378129.409234,22.486590,-52.538382,-0.734472,1.335756,-1.708001
6378128.673880,23.821855,-54.246387,-0.736109,1.334844,-1.708010
6378127.937251,25.156408,-55.954400,-0.737075,1.334304,-1.708015
6378127.199869,26.490540,-57.662416,-0.737646,1.333984,-1.708018
6378126.462041,27.824423,-59.370435,-0.737983,1.333796,-1.708020
6378125.723951,29.158158,-61.078455,-0.738182,1.333684,-1.708021
6378124.985706,30.491807,-62.786477,-0.738300,1.333618,-1.708021
6378124.250357,31.809848,-64.530767,-0.730301,1.293879,-1.807520
6378123.524192,33.086960,-66.407379,-0.723244,1.264740,-1.947863
6378122.800073,34.348272,-68.426508,-0.727502,1.261906,-2.092525
6378122.063348,35.617993,-70.592254,-0.749640,1.280940,-2.241057
6378121.293332,36.915336,-72.908243,-0.795132,1.316309,-2.392958
