ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.169655,0.276002,-1.158142
6378137.170825,0.278249,-1.173381
6378137.171994,0.280502,-1.188719
6378137.173164,0.282761,-1.204156
6378137.174333,0.285025,-1.219694
6378137.175501,0.287294,-1.235330
6378137.176670,0.289569,-1.251067
6378137.177838,0.291849,-1.266903
6378137.179006,0.294134,-1.282839
6378137.180174,0.296426,-1.298874
6378137.181341,0.298722,-1.315009
6378137.182509,0.301025,-1.331244
6378137.183676,0.303333,-1.347578
6378137.184842,0.305646,-1.364012
6378137.186009,0.307965,-1.380546
6378137.187175,0.310290,-1.397179
6378137.188341,0.312620,-1.413912
6378137.189507,0.314956,-1.430744
6378137.190672,0.317297,-1.447676
6378137.191838,0.319644,-1.464708
6378137.193003,0.321997,-1.481839
6378137.194167,0.324355,-1.499070
6378137.195332,0.326720,-1.516401
6378137.196496,0.329090,-1.533831
6378137.197660,0.331465,-1.551361
6378137.198824,0.333846,-1.568991
6378137.199987,0.336234,-1.586720
6378137.201150,0.338626,-1.604549
6378137.202313,0.341025,-1.622477
6378137.203476,0.343430,-1.640505
6378137.204639,0.345840,-1.658633
6378137.205801,0.348256,-1.676861
6378137.206963,0.350677,-1.695161
6378137.208125,0.353100,-1.713461
6378137.209286,0.355526,-1.731761
6378137.210448,0.357953,-1.750060
6378137.211609,0.360384,-1.768359
6378137.212770,0.362816,-1.786658
6378137.213931,0.365251,-1.804956
6378137.215091,0.367688,-1.823255
6378137.216252,0.370127,-1.841553
6378137.217412,0.372568,-1.859850
6378137.218572,0.375012,-1.878148
6378137.219732,0.377457,-1.896445
6378137.220892,0.379905,-1.914742
6378137.222052,0.382355,-1.933038
6378137.223211,0.384808,-1.951335
6378137.224370,0.387262,-1.969631
6378137.225530,0.389719,-1.987926
6378137.226688,0.392177,-2.006222
6378137.227847,0.394638,-2.024517
6378137.229006,0.397101,-2.042812
6378137.230164,0.399566,-2.061106
6378137.231322,0.402033,-2.079401
6378137.232480,0.404502,-2.097695
6378137.233638,0.406973,-2.115989
6378137.234796,0.409447,-2.134282
6378137.235953,0.411922,-2.152576
6378137.237111,0.414399,-2.170869
6378137.238268,0.416879,-2.189161
6378137.239425,0.419360,-2.207454
6378137.240582,0.421843,-2.225746
6378137.241739,0.424329,-2.244038
6378137.242895,0.426816,-2.262330
6378137.244051,0.429305,-2.280621
6378137.245208,0.431797,-2.298913
6378137.246364,0.434290,-2.317204
6378137.247520,0.436785,-2.335494
6378137.248675,0.439282,-2.353785
6378137.249831,0.441781,-2.372075
6378137.250986,0.444282,-2.390365
6378137.252141,0.446784,-2.408655
6378137.253296,0.449289,-2.426944
6378137.254451,0.451796,-2.445233
6378137.255606,0.454304,-2.463522
6378137.256761,0.456814,-2.481811
6378137.257915,0.459326,-2.500099
6378137.259069,0.461840,-2.518388
6378137.260224,0.464356,-2.536676
6378137.261377,0.466873,-2.554963
6378137.262531,0.469393,-2.573251
6378137.263685,0.471914,-2.591538
6378137.264838,0.474437,-2.609825
6378137.265992,0.476962,-2.628112
6378137.267145,0.479488,-2.646399
6378137.268298,0.482016,-2.664685
6378137.269451,0.484546,-2.682971
6378137.270604,0.487078,-2.701257
6378137.271756,0.489611,-2.719543
6378137.272909,0.492147,-2.737828
6378137.274061,0.494683,-2.756113
6378137.275213,0.497222,-2.774398
6378137.276365,0.499762,-2.792683
6378137.277517,0.502304,-2.810967
6378137.278669,0.504848,-2.829252
6378137.279820,0.507393,-2.847536
6378137.280972,0.509940,-2.865820
6378137.282123,0.512489,-2.884103
6378137.283274,0.515039,-2.902387
6378137.284425,0.517591,-2.920670
6378137.285576,0.520145,-2.938953
6378137.286727,0.522700,-2.957236
6378137.287877,0.525257,-2.975518
6378137.289028,0.527815,-2.993800
6378137.290178,0.530375,-3.012083
6378137.291328,0.532936,-3.030364
6378137.292478,0.535499,-3.048646
6378137.293628,0.538064,-3.066928
6378137.294778,0.540630,-3.085209
6378137.295928,0.543198,-3.103490
6378137.297077,0.545767,-3.121771
6378137.298226,0.548338,-3.140051
6378137.299376,0.550911,-3.158332
6378137.300525,0.553485,-3.176612
6378137.301674,0.556060,-3.194892
6378137.302822,0.558637,-3.213172
6378137.303971,0.561215,-3.231451
6378137.305120,0.563795,-3.249731
6378137.306268,0.566377,-3.268010
6378137.307416,0.568959,-3.286289
6378137.308564,0.571544,-3.304568
6378137.309713,0.574129,-3.322846
6378137.310860,0.576717,-3.341125
6378137.312008,0.579305,-3.359403
6378137.313156,0.581895,-3.377681
6378137.314303,0.584487,-3.395959
6378137.315451,0.587080,-3.414237
6378137.316598,0.589674,-3.432514
6378137.317745,0.592270,-3.450791
6378137.318892,0.594867,-3.469068
6378137.320039,0.597465,-3.487345
6378137.321186,0.600065,-3.505622
6378137.322332,0.602666,-3.523898
6378137.323479,0.605269,-3.542175
6378137.324625,0.607873,-3.560451
6378137.325772,0.610478,-3.578727
6378137.326918,0.613085,-3.597003
6378137.328064,0.615693,-3.615278
6378137.329210,0.618302,-3.633554
6378137.330355,0.620913,-3.651829
6378137.331501,0.623525,-3.670104
6378137.332647,0.626138,-3.688379
6378137.333792,0.628753,-3.706653
6378137.334937,0.631369,-3.724928
6378137.336083,0.633986,-3.743202
6378137.337228,0.636604,-3.761476
6378137.338373,0.639224,-3.779750
6378137.339518,0.641845,-3.798024
6378137.340662,0.644467,-3.816298
6378137.341807,0.647091,-3.834571
6378137.342952,0.649716,-3.852844
6378137.344096,0.652342,-3.871117
6378137.345240,0.654969,-3.889390
6378137.346384,0.657597,-3.907663
6378137.347528,0.660227,-3.925936
6378137.348672,0.662858,-3.944208
6378137.349816,0.665490,-3.962480
6378137.350960,0.668123,-3.980752
6378137.352104,0.670758,-3.999024
6378137.353247,0.673393,-4.017296
6378137.354391,0.676030,-4.035568
6378137.355534,0.678668,-4.053839
6378137.356677,0.681308,-4.072110
6378137.357820,0.683948,-4.090382
6378137.358963,0.686589,-4.108653
6378137.360106,0.689232,-4.126923
6378137.361249,0.691876,-4.145194
6378137.362391,0.694521,-4.163464
6378137.363534,0.697167,-4.181735
6378137.364677,0.699814,-4.200005
6378137.365819,0.702463,-4.218275
6378137.366961,0.705112,-4.236545
6378137.368103,0.707763,-4.254814
6378137.369245,0.710415,-4.273084
6378137.370387,0.713067,-4.291353
6378137.371529,0.715721,-4.309623
6378137.372671,0.718376,-4.327892
6378137.373813,0.721032,-4.346161
6378137.374954,0.723690,-4.364429
6378137.376096,0.726348,-4.382698
6378137.377237,0.729007,-4.400966
6378137.378378,0.731667,-4.419235
6378137.379519,0.734329,-4.437503
6378137.380660,0.736991,-4.455771
6378137.381801,0.739655,-4.474039
6378137.382942,0.742319,-4.492307
6378137.384083,0.744985,-4.510574
6378137.385224,0.747651,-4.528842
6378137.386364,0.750319,-4.547109
6378137.387505,0.752988,-4.565376
6378137.388645,0.755657,-4.583643
6378137.389785,0.758328,-4.601910
6378137.390926,0.761000,-4.620177
6378137.392066,0.763672,-4.638443
6378137.393206,0.766346,-4.656710
6378137.394346,0.769020,-4.674976
6378137.395485,0.771696,-4.693242
6378137.396625,0.774373,-4.711508
6378137.397765,0.777050,-4.729774
6378137.398904,0.779729,-4.748040
6378137.400044,0.782408,-4.766306
6378137.401183,0.785088,-4.784571
6378137.402323,0.787770,-4.802837
6378137.403462,0.790452,-4.821102
6378137.404601,0.793135,-4.839367
6378137.405740,0.795820,-4.857632
6378137.406879,0.798505,-4.875897
6378137.408018,0.801191,-4.894162
6378137.409156,0.803878,-4.912426
6378137.410295,0.806566,-4.930691
6378137.411434,0.809254,-4.948955
6378137.412572,0.811944,-4.967219
6378137.413711,0.814635,-4.985483
6378137.414849,0.817326,-5.003747
6378137.415987,0.820018,-5.022011
6378137.417125,0.822712,-5.040275
6378137.418264,0.825406,-5.058538
6378137.419402,0.828101,-5.076802
6378137.420539,0.830797,-5.095065
6378137.421677,0.833493,-5.113328
6378137.422815,0.836191,-5.131591
6378137.423953,0.838889,-5.149854
6378137.425090,0.841589,-5.168117
6378137.426228,0.844289,-5.186380
6378137.427365,0.846990,-5.204642
6378137.428503,0.849692,-5.222905
6378137.429640,0.852394,-5.241167
6378137.430777,0.855098,-5.259430
6378137.431914,0.857802,-5.277692
6378137.433051,0.860507,-5.295954
6378137.434188,0.863213,-5.314216
6378137.435325,0.865920,-5.332477
6378137.436462,0.868628,-5.350739
6378137.437599,0.871336,-5.369001
6378137.438735,0.874046,-5.387262
6378137.439872,0.876756,-5.405523
6378137.441009,0.879466,-5.423785
6378137.442145,0.882178,-5.442046
6378137.443281,0.884890,-5.460307
6378137.444418,0.887603,-5.478567
6378137.445554,0.890317,-5.496828
6378137.446690,0.893032,-5.515089
6378137.447826,0.895748,-5.533349
