ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.054491,0.005011,2.189704
1.057430,0.005025,2.195806
1.060353,0.005039,2.201876
1.063260,0.005052,2.207914
1.066153,0.005066,2.213920
1.069030,0.005080,2.219895
1.071892,0.005093,2.225838
1.074739,0.005107,2.231750
1.077571,0.005120,2.237631
1.080389,0.005134,2.243482
1.083191,0.005147,2.249301
1.085979,0.005160,2.255090
1.088752,0.005174,2.260849
1.091511,0.005187,2.266577
1.094255,0.005200,2.272275
1.096985,0.005213,2.277944
1.099700,0.005226,2.283582
1.102401,0.005238,2.289191
1.105088,0.005251,2.294771
1.107761,0.005264,2.300321
1.110420,0.005277,2.305843
1.113065,0.005289,2.311335
1.115696,0.005302,2.316798
1.118313,0.005314,2.322233
1.120916,0.005326,2.327639
1.123506,0.005339,2.333017
1.126082,0.005351,2.338366
1.128645,0.005363,2.343688
1.131194,0.005375,2.348981
1.133730,0.005387,2.354247
1.136252,0.005399,2.359485
1.138762,0.005411,2.364696
1.141258,0.005423,2.369879
1.143741,0.005435,2.375035
1.146211,0.005447,2.380164
1.148668,0.005458,2.385266
1.151112,0.005470,2.390341
1.153543,0.005481,2.395390
1.155961,0.005493,2.400412
1.158367,0.005504,2.405408
1.160760,0.005516,2.410377
1.163141,0.005527,2.415321
1.165509,0.005538,2.420238
1.167865,0.005550,2.425130
1.170208,0.005561,2.429996
1.172539,0.005572,2.434836
1.174858,0.005583,2.439652
1.177165,0.005594,2.444441
1.179459,0.005605,2.449206
1.181742,0.005615,2.453946
1.184012,0.005626,2.458660
1.186271,0.005637,2.463350
1.188517,0.005648,2.468016
1.190752,0.005658,2.472657
1.192975,0.005669,2.477273
1.195187,0.005679,2.481865
1.197387,0.005690,2.486434
1.199575,0.005700,2.490978
1.201752,0.005711,2.495498
1.203917,0.005721,2.499995
1.206071,0.005731,2.504468
1.208214,0.005741,2.508917
1.210346,0.005751,2.513344
1.212466,0.005761,2.517747
1.214575,0.005771,2.522126
1.216673,0.005781,2.526483
1.218760,0.005791,2.530817
1.220837,0.005801,2.535128
1.222902,0.005811,2.539417
1.224956,0.005821,2.543683
1.227000,0.005831,2.547927
1.229033,0.005840,2.552148
1.231055,0.005850,2.556348
1.233067,0.005859,2.560525
1.235068,0.005869,2.564680
1.237058,0.005878,2.568813
1.239038,0.005888,2.572925
1.241008,0.005897,2.577015
1.242967,0.005906,2.581084
1.244916,0.005916,2.585132
1.246855,0.005925,2.589158
1.248784,0.005934,2.593163
1.250703,0.005943,2.597147
1.252611,0.005952,2.601110
1.254509,0.005961,2.605052
1.256398,0.005970,2.608973
1.258277,0.005979,2.612874
1.260145,0.005988,2.616755
1.262004,0.005997,2.620615
1.263853,0.006006,2.624455
1.265693,0.006014,2.628275
1.267523,0.006023,2.632074
