q0 (),q1,q2,q3
1.000000,0.000000,0.000000,0.000000
1.000000,0.000015,0.000000,0.000007
1.000000,0.000042,0.000000,0.000020
1.000000,0.000082,0.000000,0.000039
1.000000,0.000132,0.000000,0.000064
1.000000,0.000192,0.000000,0.000092
1.000000,0.000260,0.000001,0.000125
1.000000,0.000336,0.000001,0.000162
1.000000,0.000419,0.000001,0.000202
1.000000,0.000508,0.000001,0.000245
1.000000,0.000603,0.000002,0.000290
1.000000,0.000702,0.000002,0.000338
1.000000,0.000806,0.000002,0.000388
0.999999,0.000913,0.000002,0.000440
0.999999,0.001024,0.000003,0.000493
0.999999,0.001138,0.000003,0.000548
0.999999,0.001255,0.000004,0.000604
0.999999,0.001374,0.000004,0.000662
0.999999,0.001495,0.000004,0.000720
0.999998,0.001617,0.000005,0.000779
0.999998,0.001742,0.000005,0.000839
0.999998,0.001867,0.000006,0.000899
0.999998,0.001994,0.000006,0.000960
0.999997,0.002122,0.000007,0.001022
0.999997,0.002250,0.000008,0.001084
0.999997,0.002380,0.000008,0.001146
0.999996,0.002509,0.000009,0.001208
0.999996,0.002639,0.000009,0.001271
0.999995,0.002770,0.000010,0.001334
0.999995,0.002900,0.000011,0.001397
0.999994,0.003031,0.000011,0.001460
0.999994,0.003162,0.000012,0.001523
0.999993,0.003293,0.000013,0.001586
0.999993,0.003423,0.000013,0.001648
0.999992,0.003554,0.000014,0.001711
0.999992,0.003684,0.000015,0.001774
0.999991,0.003814,0.000016,0.001837
0.999990,0.003944,0.000017,0.001899
0.999990,0.004073,0.000017,0.001961
0.999989,0.004202,0.000018,0.002024
0.999988,0.004331,0.000019,0.002086
0.999988,0.004459,0.000020,0.002147
0.999987,0.004587,0.000021,0.002209
0.999986,0.004714,0.000021,0.002270
0.999986,0.004841,0.000022,0.002331
0.999985,0.004968,0.000023,0.002392
0.999984,0.005094,0.000024,0.002453
0.999983,0.005219,0.000025,0.002513
0.999982,0.005344,0.000026,0.002573
0.999982,0.005468,0.000027,0.002633
0.999981,0.005592,0.000028,0.002693
0.999980,0.005715,0.000029,0.002752
0.999979,0.005838,0.000030,0.002811
0.999978,0.005960,0.000031,0.002870
0.999977,0.006082,0.000032,0.002929
0.999976,0.006203,0.000033,0.002987
0.999975,0.006323,0.000034,0.003045
0.999974,0.006443,0.000035,0.003103
0.999973,0.006562,0.000036,0.003160
0.999973,0.006681,0.000037,0.003217
0.999972,0.006799,0.000038,0.003274
0.999971,0.006917,0.000039,0.003331
0.999970,0.007034,0.000040,0.003387
0.999969,0.007150,0.000041,0.003443
0.999967,0.007266,0.000042,0.003499
0.999966,0.007381,0.000043,0.003554
0.999965,0.007496,0.000044,0.003609
0.999964,0.007610,0.000045,0.003664
0.999963,0.007723,0.000046,0.003719
0.999962,0.007836,0.000048,0.003773
0.999961,0.007948,0.000049,0.003827
0.999960,0.008060,0.000050,0.003881
0.999959,0.008171,0.000051,0.003935
0.999958,0.008282,0.000052,0.003988
0.999957,0.008391,0.000053,0.004041
0.999955,0.008501,0.000054,0.004094
0.999954,0.008610,0.000055,0.004146
0.999953,0.008718,0.000057,0.004198
0.999952,0.008826,0.000058,0.004250
0.999951,0.008933,0.000059,0.004302
0.999950,0.009040,0.000060,0.004353
0.999948,0.009146,0.000061,0.004404
0.999947,0.009251,0.000062,0.004455
0.999946,0.009356,0.000064,0.004505
0.999945,0.009460,0.000065,0.004556
0.999944,0.009564,0.000066,0.004606
0.999942,0.009668,0.000067,0.004655
0.999941,0.009770,0.000068,0.004705
0.999940,0.009873,0.000070,0.004754
0.999939,0.009974,0.000071,0.004803
0.999937,0.010075,0.000072,0.004852
0.999936,0.010176,0.000073,0.004900
0.999935,0.010276,0.000074,0.004948
0.999934,0.010376,0.000076,0.004996
0.999932,0.010475,0.000077,0.005044
0.999931,0.010573,0.000078,0.005091
0.999930,0.010671,0.000079,0.005139
0.999929,0.010769,0.000080,0.005186
0.999927,0.010866,0.000082,0.005232
0.999926,0.010962,0.000083,0.005279
0.999925,0.011058,0.000084,0.005325
0.999923,0.011154,0.000085,0.005371
0.999922,0.011249,0.000087,0.005417
0.999921,0.011343,0.000088,0.005462
0.999919,0.011437,0.000089,0.005507
0.999918,0.011531,0.000090,0.005552
0.999917,0.011624,0.000092,0.005597
0.999915,0.011716,0.000093,0.005642
0.999914,0.011808,0.000094,0.005686
0.999913,0.011900,0.000095,0.005730
0.999911,0.011991,0.000097,0.005774
0.999910,0.012082,0.000098,0.005818
0.999909,0.012172,0.000099,0.005861
0.999907,0.012261,0.000100,0.005904
0.999906,0.012351,0.000102,0.005947
0.999905,0.012439,0.000103,0.005990
0.999903,0.012528,0.000104,0.006032
0.999902,0.012615,0.000106,0.006075
0.999901,0.012703,0.000107,0.006117
0.999899,0.012789,0.000108,0.006158
0.999898,0.012876,0.000109,0.006200
0.999897,0.012962,0.000111,0.006241
0.999895,0.013047,0.000112,0.006283
0.999894,0.013132,0.000113,0.006324
0.999892,0.013217,0.000114,0.006364
0.999891,0.013301,0.000116,0.006405
0.999890,0.013385,0.000117,0.006445
0.999888,0.013468,0.000118,0.006485
0.999887,0.013551,0.000119,0.006525
0.999886,0.013633,0.000121,0.006565
