ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-0.180849,2.197541,1.498949
-0.180471,2.186005,1.491012
-0.180090,2.174530,1.483116
-0.179704,2.163116,1.475263
-0.179315,2.151761,1.467451
-0.178922,2.140466,1.459681
-0.178525,2.129230,1.451952
-0.178125,2.118053,1.444264
-0.177721,2.106934,1.436617
-0.177313,2.095874,1.429010
-0.176903,2.084873,1.421444
-0.176489,2.073928,1.413918
-0.176071,2.063042,1.406433
-0.175651,2.052212,1.398987
-0.175227,2.041440,1.391580
-0.174801,2.030724,1.384213
-0.174371,2.020064,1.376885
-0.173939,2.009460,1.369596
-0.173503,1.998911,1.362346
-0.173065,1.988419,1.355134
-0.172625,1.977981,1.347961
-0.172181,1.967598,1.340825
-0.171736,1.957269,1.333728
-0.171287,1.946995,1.326668
-0.170837,1.936775,1.319646
-0.170384,1.926608,1.312662
-0.169928,1.916495,1.305714
-0.169471,1.906434,1.298803
-0.169011,1.896427,1.291929
-0.168549,1.886472,1.285092
-0.168085,1.876569,1.278290
-0.167619,1.866719,1.271525
-0.167152,1.856920,1.264796
-0.166682,1.847172,1.258103
-0.166210,1.837476,1.251445
-0.165737,1.827830,1.244823
-0.165262,1.818236,1.238236
-0.164786,1.808691,1.231684
-0.164307,1.799197,1.225166
-0.163827,1.789752,1.218683
-0.163346,1.780357,1.212235
-0.162863,1.771012,1.205821
-0.162379,1.761715,1.199441
-0.161894,1.752467,1.193095
-0.161407,1.743268,1.186783
-0.160919,1.734117,1.180504
-0.160430,1.725014,1.174259
-0.159939,1.715959,1.168047
-0.159447,1.706952,1.161868
-0.158955,1.697991,1.155721
-0.158461,1.689078,1.149608
-0.157966,1.680212,1.143526
-0.157471,1.671392,1.137477
-0.156974,1.662618,1.131461
-0.156477,1.653890,1.125476
-0.155979,1.645209,1.119523
-0.155480,1.636573,1.113602
-0.154980,1.627982,1.107712
-0.154479,1.619436,1.101853
-0.153978,1.610935,1.096026
-0.153477,1.602479,1.090229
-0.152974,1.594067,1.084463
-0.152471,1.585699,1.078728
-0.151968,1.577375,1.073024
-0.151464,1.569095,1.067349
-0.150960,1.560859,1.061705
-0.150455,1.552665,1.056091
-0.149950,1.544515,1.050506
-0.149444,1.536407,1.044952
-0.148939,1.528342,1.039427
-0.148433,1.520319,1.033931
-0.147926,1.512339,1.028464
-0.147420,1.504400,1.023026
-0.146913,1.496503,1.017618
-0.146407,1.488647,1.012238
-0.145900,1.480833,1.006886
-0.145393,1.473060,1.001563
-0.144886,1.465327,0.996268
-0.144378,1.457635,0.991002
-0.143871,1.449984,0.985763
-0.143364,1.442372,0.980552
-0.142857,1.434801,0.975369
-0.142350,1.427269,0.970213
-0.141843,1.419777,0.965085
-0.141337,1.412324,0.959984
-0.140830,1.404910,0.954910
-0.140324,1.397536,0.949863
-0.139818,1.390200,0.944843
-0.139312,1.382902,0.939849
-0.138806,1.375643,0.934882
-0.138301,1.368422,0.929941
-0.137796,1.361238,0.925027
-0.137291,1.354093,0.920139
-0.136787,1.346985,0.915276
-0.136283,1.339914,0.910440
-0.135779,1.332880,0.905629
-0.135276,1.325884,0.900843
-0.134773,1.318924,0.896083
-0.134271,1.312000,0.891349
