ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.972117,0.708298,-10.780325
0.875224,0.637565,-10.780423
0.788380,0.573998,-10.780602
0.710624,0.516876,-10.780852
0.641095,0.465538,-10.781160
0.579023,0.419391,-10.781517
0.523709,0.377903,-10.781915
0.474522,0.340599,-10.782346
0.430895,0.307053,-10.782804
0.392313,0.276884,-10.783282
0.358364,0.249749,-10.783746
0.328598,0.225339,-10.784186
0.302601,0.203380,-10.784598
0.280001,0.183624,-10.784979
0.260460,0.165847,-10.785327
0.243675,0.149850,-10.785641
0.229372,0.135454,-10.785921
0.217303,0.122497,-10.786168
0.207245,0.110834,-10.786382
0.198998,0.100335,-10.786564
0.192379,0.090883,-10.786715
0.187225,0.082372,-10.786837
0.183388,0.074708,-10.786930
0.180735,0.067806,-10.786997
0.179146,0.061589,-10.787038
0.178514,0.055988,-10.787055
0.178739,0.050942,-10.787049
0.179735,0.046395,-10.787022
0.181422,0.042297,-10.786975
0.183728,0.038602,-10.786908
0.186589,0.035271,-10.786822
0.189947,0.032267,-10.786720
0.193749,0.029556,-10.786602
0.197948,0.027111,-10.786468
0.202501,0.024903,-10.786319
0.207371,0.022909,-10.786157
0.212522,0.021108,-10.785982
0.217924,0.019481,-10.785794
0.223547,0.018009,-10.785595
0.229367,0.016678,-10.785384
0.235362,0.015473,-10.785163
0.241509,0.014382,-10.784932
0.247792,0.013392,-10.784691
0.254193,0.012495,-10.784441
0.260696,0.011681,-10.784182
0.267290,0.010941,-10.783914
0.273961,0.010268,-10.783639
0.280698,0.009656,-10.783356
0.287491,0.009097,-10.783065
0.294332,0.008588,-10.782767
0.301213,0.008122,-10.782462
0.308126,0.007696,-10.782151
0.315064,0.007305,-10.781833
0.322023,0.006947,-10.781509
0.328997,0.006617,-10.781179
0.335980,0.006313,-10.780844
0.342969,0.006032,-10.780502
0.349960,0.005773,-10.780156
0.356950,0.005532,-10.779804
0.363934,0.005308,-10.779447
0.370912,0.005100,-10.779085
0.377880,0.004905,-10.778718
0.384836,0.004722,-10.778347
0.391777,0.004551,-10.777971
0.398703,0.004390,-10.777591
0.405612,0.004238,-10.777206
0.412501,0.004094,-10.776818
0.419371,0.003958,-10.776425
0.426220,0.003828,-10.776029
0.433046,0.003704,-10.775629
0.439849,0.003585,-10.775225
0.446628,0.003471,-10.774817
0.453383,0.003362,-10.774406
0.460113,0.003257,-10.773992
0.466817,0.003155,-10.773574
0.473494,0.003056,-10.773153
0.480145,0.002961,-10.772729
0.486770,0.002868,-10.772302
0.493366,0.002777,-10.771871
0.499936,0.002689,-10.771438
0.506477,0.002602,-10.771002
0.512991,0.002517,-10.770564
0.519476,0.002434,-10.770122
0.525933,0.002353,-10.769678
0.532362,0.002273,-10.769232
0.538762,0.002194,-10.768783
0.545134,0.002116,-10.768332
0.551477,0.002039,-10.767878
0.557792,0.001964,-10.767422
0.564078,0.001889,-10.766964
0.570336,0.001815,-10.766504
0.576565,0.001742,-10.766041
0.582765,0.001669,-10.765577
0.588937,0.001598,-10.765111
0.595081,0.001526,-10.764642
0.601196,0.001456,-10.764172
0.607283,0.001386,-10.763700
0.613342,0.001317,-10.763227
0.619372,0.001248,-10.762752
0.625374,0.001179,-10.762275
0.631349,0.001111,-10.761796
0.637295,0.001044,-10.761316
0.643214,0.000977,-10.760835
0.649105,0.000910,-10.760352
0.654968,0.000844,-10.759868
0.660804,0.000778,-10.759383
0.666612,0.000712,-10.758896
0.672393,0.000647,-10.758408
0.678147,0.000583,-10.757919
0.683874,0.000518,-10.757428
0.689573,0.000454,-10.756937
0.695246,0.000391,-10.756445
0.700892,0.000328,-10.755951
0.706511,0.000265,-10.755457
0.712104,0.000202,-10.754962
0.717671,0.000140,-10.754466
0.723211,0.000078,-10.753969
0.728725,0.000017,-10.753471
0.734212,-0.000044,-10.752972
0.739674,-0.000105,-10.752473
0.745110,-0.000165,-10.751973
0.750521,-0.000225,-10.751473
0.755905,-0.000285,-10.750972
0.761264,-0.000345,-10.750470
0.766598,-0.000404,-10.749968
0.771906,-0.000462,-10.749466
0.777190,-0.000520,-10.748962
0.782448,-0.000578,-10.748459
0.787681,-0.000636,-10.747955
0.792890,-0.000693,-10.747451
0.798074,-0.000750,-10.746947
0.803233,-0.000807,-10.746442
0.808368,-0.000863,-10.745937
0.813478,-0.000919,-10.745432
0.818564,-0.000974,-10.744926
0.823626,-0.001029,-10.744421
0.828664,-0.001084,-10.743915
0.833678,-0.001138,-10.743409
0.838668,-0.001192,-10.742903
0.843635,-0.001246,-10.742397
0.848578,-0.001299,-10.741892
