ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000097,0.000071,-0.000100
6378137.000282,0.000205,-0.000300
6378137.000545,0.000397,-0.000600
6378137.000879,0.000641,-0.001000
6378137.001277,0.000932,-0.001501
6378137.001731,0.001264,-0.002101
6378137.002237,0.001634,-0.002802
6378137.002788,0.002038,-0.003603
6378137.003381,0.002474,-0.004504
6378137.004010,0.002937,-0.005506
6378137.004672,0.003425,-0.006608
6378137.005363,0.003935,-0.007811
6378137.006080,0.004466,-0.009114
6378137.006820,0.005016,-0.010518
6378137.007581,0.005582,-0.012022
6378137.008359,0.006163,-0.013627
6378137.009153,0.006758,-0.015333
6378137.009961,0.007366,-0.017140
6378137.010781,0.007984,-0.019047
6378137.011611,0.008613,-0.021055
6378137.012449,0.009250,-0.023164
6378137.013295,0.009896,-0.025374
6378137.014148,0.010550,-0.027684
6378137.015005,0.011210,-0.030096
6378137.015866,0.011877,-0.032608
6378137.016730,0.012549,-0.035221
6378137.017596,0.013226,-0.037934
6378137.018463,0.013908,-0.040749
6378137.019331,0.014595,-0.043664
6378137.020199,0.015285,-0.046680
6378137.021066,0.015978,-0.049797
6378137.021932,0.016675,-0.053015
6378137.022795,0.017375,-0.056334
6378137.023656,0.018077,-0.059753
6378137.024515,0.018782,-0.063273
6378137.025369,0.019489,-0.066894
6378137.026221,0.020199,-0.070616
6378137.027068,0.020910,-0.074439
6378137.027910,0.021622,-0.078362
6378137.028748,0.022337,-0.082386
6378137.029580,0.023052,-0.086511
6378137.030407,0.023769,-0.090736
6378137.031228,0.024488,-0.095062
6378137.032043,0.025207,-0.099489
6378137.032852,0.025928,-0.104016
6378137.033655,0.026649,-0.108645
6378137.034450,0.027371,-0.113373
6378137.035239,0.028094,-0.118203
6378137.036020,0.028818,-0.123133
6378137.036794,0.029543,-0.128164
6378137.037561,0.030268,-0.133295
6378137.038319,0.030993,-0.138527
6378137.039069,0.031720,-0.143859
6378137.039812,0.032446,-0.149292
6378137.040546,0.033173,-0.154826
6378137.041271,0.033901,-0.160460
6378137.041988,0.034629,-0.166195
6378137.042696,0.035357,-0.172030
6378137.043394,0.036085,-0.177966
