gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378131.514512,2.881389,11.134219,-0.071665,0.027841,0.034788
6378142.667839,5.583241,-2.208529,0.045810,0.062617,-1.017229
6378140.808847,-2.701846,-1.147373,-0.119930,0.077245,-1.940637
6378139.125252,6.645809,-1.695277,-0.192483,0.070805,-1.971950
6378135.718645,-4.657703,-9.863548,-0.301976,0.017585,-1.963234
6378132.212895,-2.385410,-7.080579,-0.192796,-0.007614,-1.900473
6378144.575214,-0.736633,-11.558816,-0.246725,-0.023649,-1.840088
6378139.818477,-4.652854,-9.264418,-0.273957,0.046955,-1.911252
6378137.812771,8.577482,-14.575926,-0.225438,0.113279,-2.055525
6378135.975085,-4.345035,-25.976128,-0.325110,0.027740,-1.995721
6378129.046533,1.957505,-25.687100,-0.257514,-0.022574,-1.956088
6378146.654493,1.053328,-25.635336,-0.259908,-0.025463,-1.959079
6378127.028562,-0.971074,-16.200431,-0.331517,0.023974,-2.012185
6378133.644413,-4.890321,-25.830056,-0.337748,0.027241,-1.994065
6378136.056268,-7.920240,-19.503854,-0.259173,0.066704,-1.993848
6378132.900338,-2.768068,-28.577554,-0.248905,0.010660,-1.885644
6378126.336408,3.565363,-28.283618,-0.497491,0.151825,-1.787640
6378128.297115,4.080454,-28.819743,-0.665918,0.184662,-1.592011
6378130.762012,3.448153,-31.744208,-1.011683,0.168722,-1.431284
6378134.412131,7.590618,-29.667148,-1.006277,0.007203,-1.260321
6378121.618058,3.584305,-36.988314,-1.149674,-0.021858,-1.065453
6378124.864859,-5.654872,-38.886650,-1.089823,-0.190725,-1.001527
6378123.493344,0.842179,-39.589160,-1.121223,-0.288173,-0.891051
6378121.969509,0.397495,-28.639688,-1.078396,-0.421045,-0.969676
6378128.632212,-0.644444,-45.368213,-1.004254,-0.531002,-0.829694
6378126.230320,-10.487150,-35.802084,-0.933707,-0.783444,-0.949068
6378128.715579,-0.716144,-46.137340,-1.627648,-1.522575,-1.454197
6378123.050302,-1.849233,-51.355018,-1.698315,-1.904025,-1.439863
6378117.336784,-6.137171,-38.816272,-1.860186,-1.923626,-1.441344
6378126.746263,-6.759051,-52.325071,-1.754658,-1.944593,-1.427889
6378114.433056,-7.280560,-52.198021,-1.827412,-1.928110,-1.379418
6378108.756560,-12.724793,-50.619110,-1.590166,-1.849012,-1.380285
6378114.935533,-16.718484,-50.104905,-1.759762,-1.969154,-1.340311
6378125.947875,-9.198552,-43.274140,-1.676869,-1.991933,-1.484690
6378103.031282,-11.081555,-48.128489,-1.730312,-1.907550,-1.370428
6378108.006032,-18.909066,-54.561563,-1.705323,-1.983827,-1.395929
6378102.212717,-16.310647,-57.097604,-1.748358,-1.936167,-1.390358
6378109.516914,-26.498088,-62.160404,-1.724416,-1.948087,-1.324405
6378112.760633,-28.820279,-50.728719,-1.771231,-1.877718,-1.401462
6378105.105337,-25.232766,-73.389168,-1.712453,-1.955451,-1.365266
6378108.211110,-34.683505,-65.309225,-1.696609,-1.960218,-1.380087
6378097.213910,-27.098040,-55.561677,-1.536446,-2.038944,-1.546874
6378102.782967,-34.417032,-72.556452,-1.245438,-2.395155,-1.554854
6378087.267208,-44.161724,-52.765989,-0.647962,-2.612559,-1.754926
6378094.734055,-37.295460,-67.668128,0.049017,-2.661144,-1.956137
6378094.887604,-38.962194,-68.376747,0.795303,-2.838772,-2.029889
6378087.706903,-49.615690,-70.335934,1.577818,-2.467380,-2.025405
6378094.045048,-46.691623,-79.289973,2.508892,-2.178099,-1.888945
6378096.112039,-56.134270,-69.642795,3.355167,-1.546594,-1.660266
6378107.394150,-52.592049,-69.531769,3.879634,-0.639695,-1.178981
6378101.738514,-48.276414,-74.670719,4.224027,0.329985,-0.596540
6378107.120236,-42.434913,-82.952037,4.374234,-0.025817,-0.991197
6378114.845298,-50.330634,-86.800000,4.919758,-0.734776,-1.594141
6378123.617851,-47.771927,-81.358804,5.285516,-1.143826,-1.853076
6378135.211250,-50.147723,-94.169078,5.322509,-1.209983,-1.960494
6378134.398102,-51.335628,-94.174051,5.247473,-1.244830,-1.898073
6378140.468635,-48.294907,-104.176228,5.294235,-1.252238,-2.027961
6378147.978803,-53.791041,-87.968819,5.306959,-1.228722,-1.978700
6378144.877811,-54.188648,-100.062716,5.316603,-1.228623,-1.946393
6378154.550960,-54.894468,-88.864601,5.320534,-1.185627,-2.017864
6378172.348122,-64.945970,-93.343807,5.441428,-1.257138,-2.069869
6378166.577097,-51.880210,-114.686401,5.280075,-1.303221,-1.952875
6378175.056052,-60.398462,-101.293317,5.316978,-1.198453,-1.985800
6378173.117651,-62.851275,-100.936736,5.275282,-1.167905,-1.981662
6378179.046936,-56.343136,-110.472288,5.434428,-0.226845,-1.726153
6378184.517112,-59.928549,-95.140254,5.377940,0.713037,-1.129962
6378194.787410,-64.927221,-105.350544,5.196039,1.773585,-0.240003
6378198.837986,-56.793125,-104.454079,4.642811,2.665277,0.438857
6378202.993521,-67.593407,-97.588178,4.069180,3.245420,1.294331
6378205.856435,-55.504174,-95.907993,3.200938,3.487437,2.130168
6378207.619678,-45.227076,-99.768391,2.084515,3.758504,2.939203
6378194.707255,-46.035104,-85.330819,0.806645,3.500082,3.403405
6378204.983466,-39.617043,-85.582687,-0.341244,3.162337,3.820283
6378208.243490,-37.756441,-96.495856,-1.438507,2.660437,3.893424
6378212.977395,-41.968893,-84.206551,-2.050317,3.184800,4.253560
6378202.289118,-26.047251,-82.225045,-2.183062,3.983097,4.465783
6378200.630650,-25.174459,-92.378866,-2.382173,3.719116,4.473371
6378195.942673,-24.134204,-68.448623,-2.428843,3.658295,4.531994
6378205.404848,-14.633819,-64.593683,-2.628684,3.657356,4.532448
6378189.149283,-13.449681,-49.275923,-2.609310,3.556624,4.477419
6378191.427177,-7.735434,-61.085596,-2.671099,3.488058,4.489849
6378182.734527,-12.733764,-55.059374,-2.766710,3.454741,4.487589
6378191.764202,-14.285519,-54.395117,-2.732716,3.476039,4.500851
6378177.216908,-1.222664,-43.732609,-2.740796,3.500196,4.511697
6378178.100372,-2.779899,-42.160403,-2.757810,3.588863,4.554424
6378181.804172,16.271651,-33.510367,-2.782785,3.542761,4.464491
6378168.711359,4.569449,-29.231413,-2.736417,3.459790,4.480080
6378173.101898,13.950017,-32.682240,-2.666562,3.647455,4.418656
6378170.082097,19.020664,-28.335691,-2.792374,3.447753,4.551251
6378163.917477,14.066400,-25.200598,-3.794261,2.190755,4.438872
6378166.716970,9.285227,-17.596436,-4.653702,0.823402,4.119901
6378154.493497,21.462959,-10.320558,-5.174469,-0.657168,3.367146
6378148.115063,13.985535,1.988201,-5.327024,-2.095851,2.412415
6378143.818536,17.068460,-4.365070,-5.130737,-3.211544,1.298224
6378137.223309,11.412503,-10.271350,-4.602815,-4.028495,0.149743
6378139.191014,6.718742,3.211100,-4.043149,-4.617012,-0.994847
6378130.582194,3.895973,-9.492988,-3.490267,-4.548810,-2.217869
6378128.311039,2.510072,-18.990042,-2.955082,-4.363749,-3.257394
6378130.481175,-1.212854,-5.683299,-2.712025,-3.736101,-4.092565
6378124.133872,-2.236172,-13.987560,-3.447339,-4.282377,-3.996780
6378121.193137,-28.336047,-32.580736,-3.732562,-4.817225,-3.910134
6378110.557775,-25.656534,-29.322189,-3.779299,-4.830243,-3.819073
6378115.194039,-26.053154,-31.156520,-3.701065,-4.802442,-4.005500
6378109.857146,-39.282328,-40.578133,-3.704820,-4.832341,-3.926969
6378106.518927,-37.015030,-44.046871,-3.764636,-4.809039,-3.880580
6378102.331100,-36.999010,-38.584872,-3.642946,-4.916708,-4.094606
6378100.883701,-52.828747,-32.956238,-3.683549,-4.864910,-4.031468
6378084.042984,-42.277175,-46.366092,-3.702275,-4.818852,-3.989282
6378096.302982,-52.933585,-54.191177,-3.709945,-4.735606,-4.039724
6378091.454872,-55.291791,-40.644814,-3.682866,-4.890206,-4.066715
6378071.261442,-66.113034,-54.167203,-3.653043,-4.763464,-4.028311
6378083.343698,-68.242190,-56.726806,-3.647344,-4.839588,-4.015276
6378082.817478,-68.425615,-64.661793,-3.704909,-4.887589,-3.984801
6378074.797412,-79.864867,-77.029371,-3.532835,-4.542404,-4.581376
6378071.944236,-81.025874,-59.866547,-3.508978,-3.795941,-5.112622
6378064.935715,-85.870578,-98.390825,-3.799569,-3.212547,-5.419353
6378061.037510,-85.056814,-92.053700,-4.209385,-2.688077,-5.401295
6378057.728713,-90.835806,-87.183582,-4.989081,-2.350957,-5.032988
6378046.939913,-82.995027,-95.277835,-5.619167,-2.390433,-4.345470
6378041.924047,-102.540295,-101.975043,-6.197607,-2.520658,-3.432769
6378041.616652,-96.564663,-93.226188,-6.636707,-2.837286,-2.370331
6378035.419464,-95.137342,-108.833591,-6.792522,-3.073501,-1.365676
6378028.192252,-100.807032,-103.003044,-6.781296,-3.503988,-0.225001
