gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.145432,0.181177,0.265433
0.218742,0.220280,0.540961
0.342273,0.449086,0.785386
0.392981,0.512807,0.998625
0.500294,0.706284,1.178773
0.593537,0.773055,1.462310
0.618931,0.852022,1.590725
0.751753,0.886792,1.715398
0.682298,0.928641,1.836386
0.743616,0.961644,1.892327
0.870732,1.093580,2.080452
0.905828,1.162552,2.225462
0.955992,1.143022,2.200594
0.986671,1.264644,2.357078
0.994486,1.201466,2.377685
1.038458,1.278047,2.383246
1.011265,1.317686,2.466136
1.019575,1.374449,2.531880
1.065763,1.382777,2.525417
1.043448,1.328048,2.574130
1.055599,1.379024,2.580632
1.082926,1.354699,2.600206
1.082941,1.448289,2.660507
1.125545,1.371359,2.642140
1.071479,1.390220,2.625871
1.125840,1.417515,2.610270
1.090612,1.455993,2.668196
1.003443,1.466382,2.631239
1.128188,1.438693,2.664379
1.120943,1.470830,2.735859
1.092034,1.450201,2.761741
1.127397,1.474259,2.708654
1.103048,1.471604,2.727126
1.159559,1.461193,2.678866
1.083560,1.371162,2.685815
1.071161,1.404666,2.690665
1.140396,1.407010,2.701463
1.077504,1.426931,2.599513
1.082439,1.393185,2.680021
1.035861,1.439538,2.644755
1.083589,1.427987,2.607863
1.075442,1.435686,2.622046
1.039471,1.386561,2.609406
1.080453,1.427559,2.574374
1.005931,1.406355,2.634482
1.097506,1.397161,2.622514
1.041585,1.443900,2.613159
1.068460,1.369833,2.648896
1.127599,1.390400,2.582678
1.109389,1.404566,2.532096
1.020896,1.404751,2.546978
1.097225,1.380162,2.529700
1.000625,1.282563,2.495437
0.996737,1.325322,2.581161
1.110419,1.404767,2.490610
1.012751,1.356033,2.505245
1.052267,1.235498,2.493395
0.987118,1.250351,2.512425
1.034740,1.338323,2.460226
1.040407,1.348859,2.405031
0.981649,1.287684,2.423018
0.986157,1.330389,2.427053
0.988567,1.246576,2.334175
0.965687,1.310855,2.406946
0.973149,1.244668,2.391035
1.027154,1.258672,2.401386
0.929954,1.329253,2.380409
0.897675,1.328118,2.307940
0.972196,1.326085,2.360170
0.843689,1.267210,2.303378
0.962948,1.224111,2.299147
0.927722,1.290001,2.357973
0.955899,1.259031,2.234937
0.888807,1.205562,2.296025
0.873359,1.220132,2.253731
0.870093,1.191178,2.202334
0.862698,1.105744,2.175732
0.855699,1.200759,2.233218
0.879691,1.196800,2.213292
0.884639,1.207212,2.179020
0.880570,1.223406,2.139600
0.900648,1.194535,2.175553
0.924125,1.154147,2.133491
0.869785,1.093996,2.178324
0.855220,1.122533,2.131355
0.860148,1.169421,2.117689
0.825390,1.119277,2.059023
0.856816,1.150297,2.090399
0.800692,1.131441,2.112344
0.859166,1.097785,2.047427
0.845813,1.200140,2.049379
0.794108,1.130110,2.012789
0.861486,1.117448,2.012587
0.818995,1.078125,2.101648
0.776387,1.011773,2.021546
0.817124,1.167813,2.005009
0.803554,1.053185,2.028656
0.827133,1.042444,2.012198
0.778195,1.131219,1.942151
0.807499,1.075082,1.984609
0.853456,1.082654,1.867571
0.744325,1.098799,1.979891
0.786911,1.113534,1.956940
0.802359,1.050791,1.851479
0.764939,1.042475,1.899674
0.786000,1.124087,1.965457
0.750426,1.063922,1.866761
0.748993,0.954718,1.875535
0.721806,1.028876,1.836529
0.804567,1.049092,1.886848
0.702319,1.038261,1.873130
0.728935,0.947909,1.826450
0.761248,1.029762,1.849808
0.725296,1.010275,1.847926
0.681348,1.064162,1.815152
0.780636,1.058852,1.748941
0.666641,0.916936,1.834199
0.667949,0.936998,1.674741
0.668702,1.030746,1.784503
0.662928,0.954550,1.731760
0.748188,0.923054,1.777215
0.699930,0.994512,1.738453
0.680794,0.927506,1.799319
0.712704,0.971181,1.731522
0.722627,0.967095,1.675954
0.728766,0.918093,1.734124
0.677664,0.943267,1.624313
0.633233,0.964969,1.701206
0.633914,0.924411,1.677442
0.768095,0.911113,1.666255
0.623102,0.955094,1.675833
0.671788,0.933160,1.546736
0.661401,0.935481,1.673489
0.614815,0.923221,1.634343
0.610829,0.945625,1.635823
0.622118,0.931049,1.647663
0.646982,0.912530,1.669785
0.663485,0.877631,1.557092
0.580062,0.914974,1.594304
0.641808,0.940343,1.589505
0.630453,0.878738,1.649597
0.627680,0.898298,1.584530
0.566017,0.883521,1.549066
0.683458,0.883777,1.610376
0.576404,0.816678,1.515580
0.579795,0.855009,1.532929
0.535167,0.892922,1.563535
0.618735,0.759845,1.558536
0.646070,0.791787,1.453166
0.636176,0.784777,1.545376
0.573098,0.829174,1.513010
0.526896,0.798509,1.454029
0.567282,0.811402,1.496791
0.523146,0.847602,1.520625
0.576135,0.778919,1.439167
0.599073,0.804819,1.495714
0.594944,0.763373,1.532740
0.516784,0.826892,1.491097
0.419429,0.766055,1.517016
0.628593,0.742115,1.341094
0.522700,0.765808,1.380721
0.579467,0.799305,1.483504
0.509438,0.728783,1.454457
0.568303,0.782137,1.357065
0.594344,0.745454,1.308907
0.556064,0.821727,1.372228
0.592551,0.696858,1.332562
0.509832,0.748415,1.320857
0.515465,0.837791,1.370648
0.497873,0.734184,1.392529
0.592242,0.720239,1.402046
0.488562,0.698946,1.366583
0.537533,0.805229,1.358002
0.495515,0.718743,1.397251
0.482691,0.726215,1.328173
0.549042,0.665466,1.306049
0.515926,0.685726,1.276087
0.463296,0.752037,1.288531
0.544416,0.750307,1.303490
0.504033,0.660162,1.230553
0.482199,0.702770,1.261323
0.551542,0.731749,1.241952
0.487288,0.725371,1.307645
0.513517,0.698792,1.209160
0.532155,0.753494,1.196641
0.484627,0.674624,1.177576
0.506615,0.700143,1.242202
0.423101,0.675344,1.179016
0.412616,0.683103,1.262139
0.414604,0.661653,1.170957
0.461765,0.659044,1.244331
0.500210,0.648256,1.172728
0.486812,0.680849,1.295572
0.514218,0.645275,1.112230
0.489108,0.653529,1.115553
0.448392,0.647474,1.176893
0.406040,0.682820,1.123858
0.425506,0.668061,1.199397
0.532671,0.680574,1.210082
0.491951,0.628072,1.116068
0.511429,0.722093,1.215997
0.443865,0.695000,1.081592
0.434950,0.617077,1.203805
0.468549,0.553161,1.173922
0.426470,0.625430,1.098602
0.419492,0.583375,1.142849
0.401679,0.619088,1.129306
0.447082,0.612884,1.012553
0.448038,0.594743,1.108121
0.475263,0.625181,1.107037
0.332083,0.682252,1.114077
0.382967,0.602340,1.165423
0.410085,0.649745,1.027989
0.353078,0.633883,1.096522
0.395256,0.646225,1.039647
0.495113,0.668617,1.041870
0.495946,0.561802,1.030102
0.398768,0.608117,1.011457
0.429606,0.640255,0.945714
0.403922,0.626751,1.077165
0.446410,0.533838,1.021932
0.447019,0.565086,1.041310
0.452528,0.544395,0.985844
0.388048,0.604253,1.051687
0.395007,0.613835,1.058091
0.394176,0.584224,0.918424
0.422861,0.525173,0.917742
0.384839,0.586171,0.974579
0.422492,0.672791,0.982551
0.330232,0.568635,0.993930
0.410696,0.542554,0.918180
0.369147,0.599226,1.038556
0.399116,0.511981,1.045680
0.322878,0.554272,0.951997
0.340611,0.515911,1.050085
0.331991,0.521959,0.965952
0.246711,0.519598,0.917515
0.368045,0.583792,1.016365
0.328464,0.520717,1.007646
0.390361,0.493218,0.903233
0.353588,0.506205,0.914206
0.305900,0.540867,1.019477
0.362426,0.455205,0.917721
0.334913,0.476023,0.901443
0.292062,0.534406,0.770233
0.468881,0.454379,0.906321
0.391838,0.445885,0.907044
0.351417,0.504027,0.935424
0.311480,0.551679,0.852829
0.389007,0.515045,0.838289
0.401191,0.511577,0.848628
0.365453,0.448914,0.914768
0.296200,0.522004,0.877365
0.377826,0.508461,0.786203
0.329265,0.456778,0.814592
0.397537,0.474359,0.861269
0.315126,0.489381,0.869982
0.322108,0.484377,0.827567
0.296625,0.469895,0.818464
0.299404,0.473231,0.881832
0.389761,0.541836,0.898507
0.373271,0.511568,0.844304
0.284189,0.483344,0.797978
0.364569,0.480244,0.823085
0.381363,0.511207,0.825605
0.373406,0.504097,0.779177
0.259249,0.508769,0.872183
0.289448,0.466235,0.793570
0.322217,0.406329,0.739255
0.272298,0.466552,0.826335
0.325146,0.468573,0.788036
0.298476,0.420681,0.795773
0.315601,0.439094,0.758503
0.321932,0.490724,0.837858
0.354741,0.451241,0.796879
0.239343,0.446748,0.755110
0.316140,0.459470,0.770752
0.234374,0.407611,0.772719
0.349600,0.395509,0.712742
0.289480,0.372543,0.748555
0.269541,0.436443,0.811505
0.271754,0.444492,0.709882
0.224082,0.443840,0.716848
0.295626,0.415080,0.754976
0.304895,0.374658,0.736920
0.215430,0.419431,0.713096
0.233802,0.444641,0.809387
0.271904,0.326266,0.644666
0.260860,0.455565,0.722524
0.260745,0.375546,0.728208
0.315062,0.381509,0.796227
0.287700,0.397856,0.663089
0.383335,0.370933,0.658135
0.276475,0.362485,0.672926
0.230834,0.369625,0.668968
0.278399,0.417342,0.716598
0.308161,0.371326,0.650610
0.329922,0.461784,0.698879
0.383576,0.456040,0.709781
0.250178,0.400962,0.672394
0.212127,0.391614,0.676639
0.315413,0.420981,0.722462
0.176222,0.443806,0.623128
0.295123,0.395174,0.587487
0.251037,0.449472,0.638174
0.220849,0.374415,0.700387
0.173778,0.363920,0.627458
0.154527,0.319556,0.702904
0.240655,0.312422,0.646756
