ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.719258,0.946506,-10.780325
0.647460,0.851751,-10.780324
0.582986,0.766355,-10.780321
0.525121,0.689369,-10.780317
0.473219,0.619940,-10.780313
0.426694,0.557304,-10.780309
0.385017,0.500775,-10.780304
0.347713,0.449736,-10.780299
0.314349,0.403634,-10.780293
0.284536,0.361971,-10.780288
0.257923,0.324300,-10.780282
0.234194,0.290219,-10.780275
0.213063,0.259368,-10.780269
0.194271,0.231421,-10.780261
0.177586,0.206087,-10.780254
0.162800,0.183104,-10.780245
0.149722,0.162237,-10.780237
0.138182,0.143272,-10.780227
0.128028,0.126020,-10.780217
0.119120,0.110310,-10.780206
0.111333,0.095987,-10.780194
0.104556,0.082912,-10.780181
0.098687,0.070961,-10.780168
0.093635,0.060022,-10.780154
0.089318,0.049994,-10.780138
0.085662,0.040786,-10.780122
0.082600,0.032318,-10.780105
0.080071,0.024514,-10.780087
0.078023,0.017310,-10.780068
0.076405,0.010646,-10.780048
0.075175,0.004469,-10.780027
0.074292,-0.001270,-10.780005
0.073722,-0.006614,-10.779983
0.073432,-0.011601,-10.779959
0.073392,-0.016266,-10.779934
0.073578,-0.020641,-10.779909
0.073966,-0.024755,-10.779882
0.074534,-0.028632,-10.779855
0.075264,-0.032296,-10.779827
0.076138,-0.035767,-10.779798
0.077142,-0.039064,-10.779768
0.078261,-0.042204,-10.779737
0.079483,-0.045201,-10.779705
0.080796,-0.048069,-10.779672
0.082191,-0.050820,-10.779639
0.083658,-0.053465,-10.779605
0.085190,-0.056014,-10.779570
0.086778,-0.058476,-10.779534
0.088417,-0.060859,-10.779498
0.090099,-0.063170,-10.779461
0.091821,-0.065415,-10.779423
0.093577,-0.067600,-10.779384
0.095362,-0.069731,-10.779344
0.097174,-0.071812,-10.779304
0.099007,-0.073848,-10.779264
0.100860,-0.075842,-10.779222
0.102728,-0.077797,-10.779180
0.104611,-0.079718,-10.779137
0.106505,-0.081606,-10.779094
0.108408,-0.083463,-10.779050
0.110319,-0.085294,-10.779005
0.112235,-0.087098,-10.778960
0.114156,-0.088879,-10.778914
0.116080,-0.090638,-10.778868
0.118005,-0.092376,-10.778821
0.119931,-0.094095,-10.778773
0.121857,-0.095796,-10.778725
0.123782,-0.097480,-10.778677
0.125705,-0.099148,-10.778628
0.127625,-0.100800,-10.778578
0.129541,-0.102439,-10.778528
0.131454,-0.104064,-10.778478
0.133363,-0.105676,-10.778427
0.135267,-0.107275,-10.778375
0.137166,-0.108863,-10.778324
0.139059,-0.110440,-10.778271
0.140946,-0.112006,-10.778219
0.142827,-0.113561,-10.778165
0.144702,-0.115106,-10.778112
0.146570,-0.116642,-10.778058
0.148432,-0.118168,-10.778003
0.150287,-0.119685,-10.777949
0.152134,-0.121192,-10.777894
0.153974,-0.122692,-10.777838
0.155807,-0.124182,-10.777782
0.157633,-0.125665,-10.777726
0.159451,-0.127139,-10.777670
0.161261,-0.128605,-10.777613
0.163064,-0.130064,-10.777556
0.164859,-0.131514,-10.777498
0.166646,-0.132958,-10.777440
0.168426,-0.134393,-10.777382
0.170198,-0.135821,-10.777324
0.171962,-0.137242,-10.777265
0.173718,-0.138656,-10.777206
0.175466,-0.140063,-10.777147
0.177206,-0.141463,-10.777088
0.178939,-0.142856,-10.777028
0.180664,-0.144241,-10.776968
0.182381,-0.145620,-10.776908
0.184090,-0.146993,-10.776848
0.185791,-0.148358,-10.776787
0.187484,-0.149717,-10.776726
0.189170,-0.151070,-10.776665
0.190848,-0.152416,-10.776604
0.192518,-0.153755,-10.776542
0.194181,-0.155088,-10.776481
0.195835,-0.156415,-10.776419
0.197482,-0.157735,-10.776357
0.199122,-0.159049,-10.776295
0.200754,-0.160356,-10.776233
0.202378,-0.161658,-10.776170
0.203994,-0.162953,-10.776108
0.205604,-0.164242,-10.776045
0.207205,-0.165524,-10.775982
0.208799,-0.166801,-10.775919
0.210386,-0.168072,-10.775856
0.211965,-0.169336,-10.775792
0.213537,-0.170595,-10.775729
0.215102,-0.171848,-10.775666
0.216659,-0.173094,-10.775602
0.218209,-0.174335,-10.775538
0.219751,-0.175570,-10.775474
0.221287,-0.176799,-10.775410
0.222815,-0.178022,-10.775346
0.224336,-0.179240,-10.775282
0.225850,-0.180451,-10.775218
0.227357,-0.181657,-10.775154
0.228856,-0.182857,-10.775090
0.230349,-0.184052,-10.775025
0.231835,-0.185240,-10.774961
0.233313,-0.186424,-10.774896
0.234785,-0.187601,-10.774832
0.236250,-0.188773,-10.774767
0.237708,-0.189940,-10.774703
0.239159,-0.191100,-10.774638
0.240603,-0.192256,-10.774573
