ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.073642,0.156508,-1.162276
6378137.073838,0.157825,-1.177564
6378137.074027,0.159146,-1.192952
6378137.074211,0.160470,-1.208440
6378137.074389,0.161798,-1.224028
6378137.074562,0.163130,-1.239716
6378137.074729,0.164465,-1.255503
6378137.074890,0.165805,-1.271390
6378137.075045,0.167148,-1.287377
6378137.075195,0.168495,-1.303464
6378137.075339,0.169846,-1.319651
6378137.075477,0.171201,-1.335937
6378137.075609,0.172560,-1.352323
6378137.075736,0.173922,-1.368809
6378137.075857,0.175289,-1.385395
6378137.075972,0.176659,-1.402081
6378137.076081,0.178033,-1.418866
6378137.076184,0.179411,-1.435752
6378137.076281,0.180793,-1.452737
6378137.076373,0.182179,-1.469822
6378137.076458,0.183569,-1.487007
6378137.076538,0.184963,-1.504291
6378137.076612,0.186360,-1.521675
6378137.076679,0.187762,-1.539159
6378137.076741,0.189167,-1.556743
6378137.076797,0.190577,-1.574427
6378137.076847,0.191990,-1.592211
6378137.076890,0.193408,-1.610094
6378137.076928,0.194829,-1.628077
6378137.076960,0.196255,-1.646160
6378137.076985,0.197684,-1.664342
6378137.077005,0.199117,-1.682625
6378137.077019,0.200555,-1.701007
6378137.077026,0.201996,-1.719489
6378137.077027,0.203442,-1.738071
6378137.077023,0.204891,-1.756753
6378137.077012,0.206344,-1.775534
6378137.076995,0.207802,-1.794415
6378137.076972,0.209263,-1.813396
6378137.076942,0.210729,-1.832477
6378137.076910,0.212196,-1.851579
6378137.076874,0.213666,-1.870681
6378137.076837,0.215136,-1.889783
6378137.076796,0.216609,-1.908884
6378137.076754,0.218082,-1.927986
6378137.076708,0.219558,-1.947087
6378137.076661,0.221034,-1.966188
6378137.076610,0.222512,-1.985290
6378137.076558,0.223992,-2.004391
6378137.076502,0.225473,-2.023491
6378137.076445,0.226956,-2.042592
6378137.076385,0.228440,-2.061693
6378137.076322,0.229926,-2.080793
6378137.076257,0.231413,-2.099894
6378137.076190,0.232901,-2.118994
6378137.076120,0.234391,-2.138094
6378137.076048,0.235882,-2.157194
6378137.075974,0.237375,-2.176294
6378137.075897,0.238869,-2.195394
6378137.075818,0.240365,-2.214494
6378137.075737,0.241861,-2.233593
6378137.075653,0.243360,-2.252693
6378137.075567,0.244859,-2.271792
6378137.075479,0.246360,-2.290892
6378137.075388,0.247862,-2.309991
6378137.075296,0.249366,-2.329090
6378137.075200,0.250871,-2.348189
6378137.075103,0.252377,-2.367287
6378137.075004,0.253885,-2.386386
6378137.074902,0.255394,-2.405485
6378137.074798,0.256904,-2.424583
6378137.074692,0.258415,-2.443681
6378137.074583,0.259928,-2.462779
6378137.074473,0.261442,-2.481878
6378137.074360,0.262958,-2.500976
6378137.074245,0.264474,-2.520073
6378137.074128,0.265992,-2.539171
6378137.074009,0.267511,-2.558269
6378137.073888,0.269032,-2.577366
6378137.073765,0.270553,-2.596464
6378137.073639,0.272076,-2.615561
6378137.073512,0.273600,-2.634658
6378137.073382,0.275125,-2.653755
6378137.073250,0.276652,-2.672852
6378137.073117,0.278180,-2.691949
6378137.072981,0.279709,-2.711046
6378137.072843,0.281239,-2.730142
6378137.072703,0.282770,-2.749239
6378137.072562,0.284302,-2.768335
6378137.072418,0.285836,-2.787432
6378137.072272,0.287371,-2.806528
6378137.072124,0.288906,-2.825624
6378137.071974,0.290443,-2.844720
6378137.071822,0.291982,-2.863816
6378137.071669,0.293521,-2.882912
6378137.071513,0.295061,-2.902007
6378137.071356,0.296603,-2.921103
6378137.071196,0.298146,-2.940198
6378137.071035,0.299689,-2.959294
6378137.070871,0.301234,-2.978389
6378137.070706,0.302780,-2.997484
6378137.070539,0.304327,-3.016579
6378137.070370,0.305875,-3.035674
6378137.070199,0.307425,-3.054769
6378137.070026,0.308975,-3.073863
6378137.069852,0.310526,-3.092958
6378137.069675,0.312079,-3.112053
6378137.069497,0.313632,-3.131147
6378137.069317,0.315187,-3.150241
6378137.069135,0.316742,-3.169336
6378137.068951,0.318299,-3.188430
6378137.068766,0.319856,-3.207524
6378137.068579,0.321415,-3.226618
6378137.068390,0.322975,-3.245711
6378137.068199,0.324535,-3.264805
6378137.068006,0.326097,-3.283899
6378137.067812,0.327660,-3.302992
6378137.067616,0.329223,-3.322086
6378137.067418,0.330788,-3.341179
6378137.067219,0.332353,-3.360272
6378137.067018,0.333920,-3.379365
6378137.066815,0.335488,-3.398458
6378137.066610,0.337056,-3.417551
6378137.066404,0.338626,-3.436644
6378137.066196,0.340196,-3.455737
6378137.065986,0.341767,-3.474829
6378137.065775,0.343340,-3.493922
6378137.065562,0.344913,-3.513014
6378137.065348,0.346487,-3.532107
6378137.065131,0.348062,-3.551199
6378137.064914,0.349638,-3.570291
6378137.064694,0.351215,-3.589383
6378137.064473,0.352793,-3.608475
6378137.064250,0.354372,-3.627567
