mag_x (uT),mag_y (uT),mag_z (uT)
27.661463,-0.000766,-16.609100
27.664650,-0.003414,-16.625254
27.640676,-0.009782,-16.606613
27.657098,-0.005514,-16.602931
27.662456,-0.020077,-16.625102
27.651771,-0.001624,-16.599256
27.655010,-0.008806,-16.619151
27.660420,-0.057547,-16.588708
27.666587,-0.079916,-16.567318
27.669274,-0.055740,-16.590618
27.659436,-0.063331,-16.584859
27.665916,-0.102532,-16.577821
27.670970,-0.109733,-16.580482
27.685888,-0.110769,-16.570832
27.698877,-0.108871,-16.552253
27.677823,-0.153934,-16.559085
27.696280,-0.157208,-16.566646
27.711519,-0.185464,-16.533640
27.684394,-0.190024,-16.523180
27.698982,-0.191488,-16.528408
27.699570,-0.207396,-16.519324
27.721935,-0.244658,-16.524345
27.724671,-0.237125,-16.510023
27.733631,-0.263898,-16.500544
27.717979,-0.270757,-16.498110
27.735106,-0.300688,-16.504020
27.758212,-0.289702,-16.482889
27.730738,-0.336766,-16.477668
27.751900,-0.350287,-16.475941
27.741168,-0.335825,-16.461436
27.736244,-0.372164,-16.460995
27.749504,-0.379317,-16.450958
27.749989,-0.432868,-16.438307
27.753902,-0.419101,-16.423948
27.748144,-0.433542,-16.443386
27.750341,-0.432832,-16.413760
27.759298,-0.459552,-16.422592
27.756440,-0.490701,-16.398269
27.773753,-0.496237,-16.398829
27.802434,-0.525283,-16.395552
27.792998,-0.546278,-16.381907
27.800512,-0.550331,-16.363006
27.790525,-0.579362,-16.375494
27.801202,-0.598513,-16.377119
27.786456,-0.615054,-16.364121
27.807111,-0.617094,-16.347348
27.821695,-0.637242,-16.330036
27.791398,-0.652088,-16.336844
27.817269,-0.679263,-16.311001
27.823852,-0.674776,-16.312197
27.840357,-0.689859,-16.333020
27.817799,-0.706049,-16.298832
27.827184,-0.719477,-16.305361
27.837282,-0.746912,-16.300329
27.849297,-0.756839,-16.309493
27.824287,-0.770190,-16.252713
27.838281,-0.764957,-16.288987
27.840592,-0.792745,-16.254222
27.851001,-0.805928,-16.257288
27.857611,-0.827792,-16.263568
27.853425,-0.844539,-16.262411
27.857466,-0.870592,-16.252766
27.856101,-0.872993,-16.249619
27.876599,-0.888061,-16.236808
27.870433,-0.906316,-16.237115
27.872707,-0.924083,-16.216106
27.881232,-0.928695,-16.229338
27.893688,-0.956885,-16.192356
27.892080,-0.966196,-16.210720
27.903782,-0.963110,-16.196328
27.891724,-0.994105,-16.189637
27.890289,-0.990922,-16.172339
27.885694,-0.999116,-16.183381
27.895720,-1.043179,-16.156864
27.908238,-1.046626,-16.155232
27.908561,-1.054815,-16.165121
27.914914,-1.077155,-16.154086
27.920355,-1.092723,-16.137298
27.922116,-1.103022,-16.165029
27.913567,-1.103486,-16.129528
27.924871,-1.134188,-16.135156
27.909988,-1.118768,-16.112477
27.927033,-1.155356,-16.115020
27.926066,-1.147933,-16.109074
27.924683,-1.162206,-16.107202
27.948206,-1.183976,-16.093869
27.948854,-1.210870,-16.109331
27.940754,-1.225429,-16.091613
27.948216,-1.201873,-16.052689
27.950883,-1.227174,-16.079507
27.975310,-1.243477,-16.054444
27.937550,-1.276862,-16.058502
27.937448,-1.286321,-16.069135
27.962890,-1.276035,-16.064392
27.952907,-1.292558,-16.040415
27.974865,-1.316084,-16.029579
27.965194,-1.320179,-16.031234
27.958493,-1.324496,-16.026265
27.971132,-1.335540,-16.029720
27.959535,-1.371694,-16.000446
27.991911,-1.369117,-16.009236
28.004286,-1.393093,-16.003680
27.985995,-1.381748,-16.007329
27.988673,-1.411073,-15.996825
27.988973,-1.420946,-15.988460
27.997137,-1.426681,-15.982047
27.983404,-1.426754,-15.988684
27.992303,-1.430390,-15.975221
27.996906,-1.455631,-15.969005
27.996756,-1.465425,-15.961253
28.004199,-1.481586,-15.975764
27.996715,-1.511527,-15.945986
27.989772,-1.499064,-15.945243
27.992294,-1.506145,-15.951260
27.990705,-1.535249,-15.927179
28.027402,-1.528798,-15.925660
28.022876,-1.561350,-15.916208
28.007979,-1.552959,-15.931510
28.014596,-1.569141,-15.931499
28.022439,-1.574076,-15.922590
28.033955,-1.580359,-15.923684
28.035127,-1.600646,-15.890271
28.025420,-1.612123,-15.890453
28.011524,-1.607447,-15.876351
28.041843,-1.637616,-15.897828
28.035603,-1.635266,-15.874500
28.052355,-1.637044,-15.879390
28.055337,-1.655349,-15.859983
28.050333,-1.665571,-15.859838
28.042154,-1.664330,-15.860410
28.042410,-1.694315,-15.865389
28.056455,-1.695471,-15.851065
28.040389,-1.721500,-15.853829
28.048070,-1.730785,-15.846307
28.056221,-1.750951,-15.852379
28.059648,-1.753356,-15.819872
28.059269,-1.742495,-15.831339
28.060729,-1.768255,-15.843028
28.058634,-1.769182,-15.814797
28.056291,-1.787656,-15.822107
28.047053,-1.782615,-15.809728
28.080102,-1.806372,-15.802889
28.072822,-1.788447,-15.794980
28.064900,-1.806070,-15.784957
28.074004,-1.826251,-15.798140
28.089783,-1.823029,-15.770438
28.069298,-1.854466,-15.777286
28.070514,-1.884732,-15.779295
28.092698,-1.869774,-15.781506
28.068978,-1.881450,-15.766976
28.086777,-1.866968,-15.762421
28.106845,-1.895017,-15.754195
28.085984,-1.903831,-15.775846
28.095895,-1.916192,-15.750404
28.085118,-1.909952,-15.747142
28.101438,-1.912572,-15.747733
28.070264,-1.951763,-15.755126
28.099812,-1.953031,-15.739808
28.090123,-1.961616,-15.752065
28.090676,-1.964625,-15.717797
28.103458,-1.963118,-15.716247
28.117908,-1.979607,-15.724236
28.103460,-1.996893,-15.727773
28.099233,-1.997848,-15.710112
28.118662,-2.011992,-15.714659
28.110673,-2.005765,-15.699347
28.092400,-2.028659,-15.695257
28.107910,-2.009040,-15.696849
28.116821,-2.049821,-15.699224
28.102288,-2.038614,-15.693381
28.123015,-2.057786,-15.696214
28.120948,-2.075968,-15.677091
28.117185,-2.061736,-15.664836
28.127054,-2.083214,-15.684319
28.109248,-2.095224,-15.675213
28.119897,-2.092627,-15.674775
28.128662,-2.130880,-15.670740
28.132869,-2.109811,-15.653304
28.134468,-2.111181,-15.649493
28.118811,-2.107910,-15.651868
28.126993,-2.128120,-15.642641
28.140065,-2.128580,-15.644756
28.131765,-2.141946,-15.633432
28.154969,-2.180051,-15.640241
28.131669,-2.157036,-15.626817
28.159488,-2.172250,-15.658621
28.160841,-2.172525,-15.632390
28.141452,-2.199190,-15.626186
28.131032,-2.186064,-15.634894
28.140131,-2.210357,-15.608399
28.140131,-2.203757,-15.603424
28.146125,-2.198366,-15.610133
28.149176,-2.226622,-15.602168
28.148274,-2.219406,-15.606182
28.157394,-2.233494,-15.585624
28.152043,-2.222016,-15.587400
28.142790,-2.253888,-15.587321
28.149107,-2.260784,-15.586843
28.158912,-2.260118,-15.591133
28.162227,-2.254861,-15.581629
28.142560,-2.263962,-15.600025
28.158342,-2.289798,-15.559101
28.168484,-2.308614,-15.560711
28.167464,-2.279978,-15.562396
28.153501,-2.315090,-15.565559
28.165124,-2.301073,-15.558918
28.180847,-2.314000,-15.561649
28.155302,-2.331939,-15.550773
28.174609,-2.326638,-15.558497
28.173051,-2.337093,-15.549713
28.175926,-2.337377,-15.546255
28.151075,-2.354531,-15.522735
28.183299,-2.344179,-15.549985
28.178084,-2.347460,-15.527069
28.175517,-2.380345,-15.533205
28.189133,-2.379958,-15.520623
28.187252,-2.398632,-15.520684
28.172255,-2.383002,-15.531867
28.181474,-2.397801,-15.507874
28.198015,-2.404828,-15.504982
28.177409,-2.405036,-15.519788
28.202113,-2.423984,-15.499113
28.178418,-2.421776,-15.495009
28.184075,-2.422729,-15.519082
