ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000,0.000000,0.000000
0.002865,0.001597,0.001264
0.008462,0.004630,0.003666
0.016516,0.008954,0.007091
0.026777,0.014438,0.011433
0.039018,0.020963,0.016601
0.053037,0.028422,0.022508
0.068647,0.036717,0.029077
0.085683,0.045761,0.036239
0.103993,0.055475,0.043932
0.123440,0.065787,0.052097
0.143901,0.076631,0.060685
0.165265,0.087949,0.069648
0.187430,0.099688,0.078944
0.210305,0.111800,0.088536
0.233808,0.124241,0.098388
0.257865,0.136973,0.108471
0.282407,0.149961,0.118756
0.307374,0.163171,0.129217
0.332711,0.176575,0.139832
0.358369,0.190147,0.150580
0.384302,0.203864,0.161443
0.410471,0.217704,0.172403
0.436837,0.231648,0.183445
0.463369,0.245678,0.194556
0.490037,0.259779,0.205723
0.516813,0.273937,0.216935
0.543674,0.288139,0.228181
0.570597,0.302373,0.239454
0.597563,0.316630,0.250743
0.624554,0.330899,0.262043
0.651554,0.345173,0.273347
0.678549,0.359443,0.284648
0.705526,0.373703,0.295941
0.732473,0.387947,0.307221
0.759379,0.402170,0.318484
0.786235,0.416366,0.329726
0.813033,0.430531,0.340943
0.839765,0.444661,0.352133
0.866425,0.458752,0.363292
0.893006,0.472802,0.374418
0.919503,0.486806,0.385509
0.945910,0.500764,0.396562
0.972225,0.514673,0.407576
0.998442,0.528529,0.418550
1.024559,0.542333,0.429481
1.050573,0.556082,0.440369
1.076480,0.569775,0.451212
1.102279,0.583410,0.462010
1.127967,0.596987,0.472762
1.153543,0.610504,0.483467
1.179005,0.623961,0.494123
1.204351,0.637357,0.504732
1.229582,0.650692,0.515292
1.254695,0.663964,0.525802
1.279689,0.677174,0.536264
1.304565,0.690321,0.546675
1.329322,0.703405,0.557036
1.353959,0.716426,0.567348
1.378475,0.729383,0.577609
1.402871,0.742276,0.587819
1.427147,0.755106,0.597979
1.451301,0.767872,0.608089
1.475336,0.780574,0.618147
1.499249,0.793212,0.628156
1.523042,0.805787,0.638114
1.546715,0.818298,0.648022
1.570267,0.830746,0.657879
1.593700,0.843130,0.667686
1.617013,0.855451,0.677443
1.640206,0.867708,0.687150
1.663281,0.879903,0.696808
1.686237,0.892035,0.706415
1.709075,0.904105,0.715973
1.731795,0.916113,0.725482
1.754397,0.928058,0.734942
1.776883,0.939941,0.744353
1.799252,0.951763,0.753714
1.821504,0.963524,0.763028
1.843642,0.975223,0.772293
1.865664,0.986862,0.781510
1.887572,0.998440,0.790679
1.909365,1.009958,0.799800
1.931045,1.021416,0.808873
1.952612,1.032814,0.817899
1.974066,1.044152,0.826879
1.995409,1.055432,0.835811
2.016640,1.066652,0.844697
2.037760,1.077814,0.853536
2.058769,1.088917,0.862329
2.079669,1.099963,0.871076
2.100459,1.110950,0.879777
2.121141,1.121880,0.888433
2.141714,1.132753,0.897043
2.162180,1.143569,0.905608
2.182538,1.154328,0.914129
2.202790,1.165031,0.922605
2.222935,1.175678,0.931036
2.242975,1.186269,0.939423
2.262910,1.196805,0.947766
2.282741,1.207285,0.956066
2.302467,1.217711,0.964322
2.322091,1.228081,0.972535
2.341611,1.238398,0.980704
2.361029,1.248660,0.988831
2.380345,1.258868,0.996915
2.399559,1.269023,1.004957
2.418673,1.279125,1.012957
2.437687,1.289174,1.020914
2.456601,1.299170,1.028830
2.475416,1.309113,1.036705
2.494132,1.319004,1.044538
2.512750,1.328844,1.052330
2.531270,1.338631,1.060081
2.549693,1.348368,1.067791
2.568019,1.358053,1.075461
2.586249,1.367688,1.083091
2.604383,1.377272,1.090681
2.622422,1.386805,1.098230
2.640367,1.396289,1.105741
2.658217,1.405723,1.113211
2.675974,1.415107,1.120643
2.693638,1.424442,1.128035
2.711208,1.433728,1.135389
2.728687,1.442966,1.142704
2.746074,1.452154,1.149981
2.763369,1.461295,1.157220
2.780574,1.470388,1.164420
2.797689,1.479433,1.171583
2.814713,1.488430,1.178708
2.831649,1.497380,1.185796
2.848495,1.506284,1.192847
2.865253,1.515140,1.199860
2.881923,1.523950,1.206837
2.898506,1.532714,1.213777
2.915001,1.541432,1.220681
2.931410,1.550104,1.227549
2.947733,1.558730,1.234380
2.963970,1.567311,1.241176
2.980122,1.575848,1.247936
