ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.000000,0.000000,0.000000
0.007192,0.009466,-0.010000
0.013662,0.017987,-0.020000
0.019480,0.025660,-0.030000
0.024710,0.032570,-0.040000
0.029410,0.038795,-0.050000
0.033631,0.044404,-0.059999
0.037420,0.049460,-0.069999
0.040820,0.054018,-0.079999
0.043868,0.058130,-0.089998
0.046599,0.061839,-0.099998
0.049044,0.065188,-0.109997
0.051231,0.068212,-0.119996
0.053185,0.070945,-0.129996
0.054929,0.073416,-0.139995
0.056484,0.075651,-0.149994
0.057867,0.077676,-0.159993
0.059095,0.079510,-0.169992
0.060183,0.081174,-0.179991
0.061145,0.082685,-0.189990
0.061993,0.084058,-0.199989
0.062738,0.085308,-0.209988
0.063390,0.086448,-0.219987
0.063957,0.087488,-0.229986
0.064447,0.088439,-0.239984
0.064868,0.089311,-0.249983
0.065226,0.090111,-0.259982
0.065527,0.090847,-0.269980
0.065777,0.091526,-0.279979
0.065979,0.092154,-0.289977
0.066139,0.092736,-0.299975
0.066259,0.093277,-0.309973
0.066344,0.093781,-0.319971
0.066397,0.094254,-0.329969
0.066420,0.094697,-0.339967
0.066416,0.095114,-0.349965
0.066387,0.095508,-0.359963
0.066336,0.095882,-0.369961
0.066263,0.096239,-0.379958
0.066172,0.096579,-0.389956
0.066062,0.096905,-0.399953
0.065937,0.097219,-0.409951
0.065796,0.097522,-0.419948
0.065641,0.097815,-0.429945
0.065473,0.098100,-0.439942
0.065294,0.098378,-0.449939
0.065102,0.098650,-0.459936
0.064901,0.098917,-0.469932
0.064689,0.099179,-0.479929
0.064468,0.099437,-0.489925
0.064238,0.099692,-0.499922
0.064000,0.099944,-0.509918
0.063754,0.100195,-0.519914
0.063501,0.100443,-0.529910
0.063241,0.100691,-0.539906
0.062974,0.100938,-0.549902
0.062700,0.101184,-0.559898
0.062421,0.101430,-0.569893
0.062135,0.101676,-0.579888
0.061844,0.101922,-0.589884
0.061548,0.102168,-0.599879
0.061246,0.102416,-0.609874
0.060939,0.102664,-0.619869
0.060627,0.102913,-0.629864
0.060311,0.103163,-0.639858
0.059989,0.103414,-0.649853
0.059663,0.103667,-0.659847
0.059333,0.103921,-0.669842
0.058999,0.104176,-0.679836
0.058660,0.104433,-0.689830
0.058317,0.104691,-0.699824
0.057970,0.104952,-0.709817
0.057619,0.105213,-0.719811
0.057265,0.105477,-0.729804
0.056906,0.105742,-0.739798
0.056544,0.106009,-0.749791
0.056178,0.106277,-0.759784
0.055808,0.106548,-0.769777
0.055435,0.106820,-0.779770
0.055058,0.107094,-0.789762
0.054678,0.107370,-0.799755
0.054294,0.107647,-0.809747
0.053907,0.107927,-0.819740
0.053517,0.108208,-0.829732
0.053123,0.108491,-0.839724
0.052726,0.108776,-0.849715
0.052326,0.109063,-0.859707
0.051922,0.109351,-0.869699
0.051516,0.109641,-0.879690
0.051106,0.109933,-0.889681
0.050693,0.110227,-0.899672
0.050277,0.110522,-0.909663
0.049858,0.110820,-0.919654
0.049436,0.111119,-0.929645
0.049011,0.111419,-0.939635
0.048583,0.111722,-0.949626
0.048152,0.112026,-0.959616
0.047719,0.112332,-0.969606
0.047282,0.112639,-0.979596
0.046843,0.112948,-0.989586
0.046400,0.113259,-0.999575
0.045955,0.113571,-1.009565
0.045507,0.113885,-1.019554
0.045057,0.114200,-1.029543
0.044604,0.114517,-1.039533
0.044148,0.114836,-1.049521
0.043689,0.115156,-1.059510
0.043228,0.115478,-1.069499
0.042764,0.115801,-1.079487
0.042297,0.116126,-1.089476
0.041828,0.116452,-1.099464
0.041356,0.116779,-1.109452
0.040882,0.117108,-1.119440
0.040406,0.117439,-1.129428
0.039926,0.117771,-1.139416
0.039445,0.118104,-1.149403
0.038961,0.118439,-1.159390
0.038474,0.118775,-1.169378
0.037985,0.119112,-1.179365
0.037494,0.119451,-1.189352
0.037000,0.119791,-1.199339
0.036504,0.120132,-1.209325
0.036006,0.120475,-1.219312
0.035505,0.120819,-1.229298
0.035003,0.121164,-1.239284
0.034497,0.121511,-1.249271
0.033990,0.121858,-1.259257
0.033481,0.122207,-1.269242
0.032969,0.122557,-1.279228
0.032455,0.122909,-1.289214
0.031939,0.123261,-1.299199
0.031420,0.123615,-1.309185
0.030900,0.123970,-1.319170
0.030378,0.124326,-1.329155
0.029853,0.124683,-1.339140
0.029327,0.125042,-1.349124
0.028798,0.125401,-1.359109
0.028267,0.125762,-1.369094
0.027735,0.126123,-1.379078
0.027200,0.126486,-1.389062
0.026663,0.126850,-1.399046
0.026125,0.127214,-1.409030
0.025584,0.127580,-1.419014
0.025042,0.127947,-1.428998
0.024497,0.128315,-1.438981
0.023951,0.128684,-1.448965
0.023403,0.129054,-1.458948
0.022853,0.129424,-1.468931
0.022301,0.129796,-1.478914
0.021748,0.130169,-1.488897
0.021192,0.130543,-1.498880
0.020635,0.130917,-1.508863
0.020076,0.131293,-1.518845
0.019516,0.131669,-1.528828
0.018953,0.132047,-1.538810
0.018389,0.132425,-1.548792
0.017823,0.132804,-1.558774
