mag_x (uT),mag_y (uT),mag_z (uT)
27.678505,-0.019419,-16.630288
27.669827,0.003067,-16.619311
27.646343,-0.008085,-16.602053
27.674156,0.004636,-16.604848
27.672617,-0.018802,-16.605437
27.652841,-0.007612,-16.605843
27.667323,-0.001463,-16.585076
27.648978,-0.026061,-16.596521
27.669793,-0.018146,-16.581148
27.678291,-0.039459,-16.568525
27.685610,-0.010822,-16.564185
27.684852,-0.037380,-16.575046
27.720756,-0.019862,-16.564677
27.707438,-0.035629,-16.554763
27.695267,-0.037207,-16.534819
27.713610,-0.048218,-16.508052
27.717275,-0.063419,-16.513948
27.697085,-0.061021,-16.524618
27.721411,-0.085121,-16.486988
27.727482,-0.069937,-16.495105
27.726983,-0.097226,-16.482159
27.741322,-0.088414,-16.471613
27.747505,-0.111955,-16.464161
27.755653,-0.122796,-16.438826
27.755566,-0.123656,-16.456337
27.758071,-0.106566,-16.421754
27.752736,-0.118584,-16.415065
27.782555,-0.137289,-16.413375
27.790041,-0.150106,-16.392958
27.796378,-0.151655,-16.382533
27.795334,-0.162208,-16.379865
27.803579,-0.170234,-16.379027
27.795793,-0.176125,-16.356242
27.811312,-0.181392,-16.337434
27.812908,-0.183043,-16.339449
27.825588,-0.185512,-16.344161
27.836946,-0.198236,-16.316387
27.846639,-0.206915,-16.297136
27.842313,-0.219819,-16.286297
27.860132,-0.223539,-16.295206
27.850503,-0.248718,-16.280085
27.857030,-0.235058,-16.251007
27.860722,-0.241446,-16.252059
27.866422,-0.260568,-16.245595
27.884295,-0.253704,-16.213692
27.904692,-0.270363,-16.231190
27.896257,-0.272322,-16.214562
27.898924,-0.277576,-16.210926
27.910493,-0.274554,-16.208843
27.910419,-0.279262,-16.185428
27.918045,-0.281160,-16.168307
27.925103,-0.304944,-16.186052
27.919405,-0.313298,-16.169367
27.933850,-0.303283,-16.151906
27.942056,-0.329888,-16.143174
27.943578,-0.316730,-16.118055
27.943052,-0.343676,-16.104085
27.951848,-0.363074,-16.118111
27.960119,-0.341229,-16.089445
27.959112,-0.365998,-16.070135
27.985520,-0.355928,-16.070388
27.979489,-0.377877,-16.076599
27.977968,-0.381187,-16.032516
27.985243,-0.385003,-16.046229
27.993523,-0.399249,-16.048723
27.986237,-0.385339,-16.033651
28.003711,-0.408573,-16.009768
28.022187,-0.399378,-16.013219
28.017645,-0.429969,-15.992473
28.012246,-0.415254,-15.992084
28.031331,-0.427002,-15.961425
28.024798,-0.420963,-15.966191
28.022777,-0.428812,-15.941848
28.029424,-0.450188,-15.963269
28.057700,-0.443033,-15.928911
28.044229,-0.453549,-15.941466
28.063510,-0.442128,-15.934225
28.065892,-0.449188,-15.946826
28.045887,-0.454365,-15.922002
28.074592,-0.492120,-15.886142
28.082237,-0.481809,-15.895941
28.067572,-0.466997,-15.891841
28.073892,-0.479392,-15.876992
28.088366,-0.484474,-15.859518
28.085247,-0.511577,-15.848218
28.091882,-0.523125,-15.854340
28.112224,-0.514005,-15.827659
28.107448,-0.511657,-15.820939
28.098628,-0.500605,-15.832679
28.113893,-0.520994,-15.807068
28.123203,-0.529973,-15.815027
28.142929,-0.541582,-15.796975
28.121158,-0.548548,-15.783474
28.144277,-0.558433,-15.790890
28.123504,-0.544163,-15.781167
28.141085,-0.559991,-15.789860
28.136869,-0.569872,-15.761200
28.140705,-0.573064,-15.765726
28.163069,-0.561277,-15.741969
28.150534,-0.585172,-15.737133
28.165233,-0.591855,-15.739898
28.157361,-0.578172,-15.717962
28.165007,-0.580024,-15.716347
28.169921,-0.588818,-15.715217
28.178221,-0.612148,-15.688656
28.210959,-0.618131,-15.676726
28.199209,-0.579925,-15.678730
28.195110,-0.604344,-15.662152
28.211617,-0.621711,-15.668373
28.185247,-0.634491,-15.670909
28.190697,-0.637987,-15.652731
28.198160,-0.642953,-15.630630
28.214361,-0.642043,-15.647615
28.222807,-0.640683,-15.615663
28.222283,-0.637001,-15.637366
28.223258,-0.661090,-15.598908
28.231040,-0.654310,-15.592177
28.228400,-0.652168,-15.603766
28.238764,-0.659496,-15.605453
28.242991,-0.674108,-15.578922
28.255471,-0.676147,-15.579176
28.241874,-0.682837,-15.569801
28.250275,-0.702261,-15.574336
28.256620,-0.674658,-15.556820
28.260532,-0.690345,-15.546623
28.260308,-0.718629,-15.537923
28.272186,-0.715922,-15.527213
28.269762,-0.720069,-15.533125
28.266168,-0.704291,-15.522319
28.268054,-0.726998,-15.505847
28.288047,-0.731311,-15.509635
28.277898,-0.741449,-15.495805
28.280796,-0.726560,-15.483793
28.308280,-0.739234,-15.507177
28.298401,-0.728710,-15.460641
28.297458,-0.735627,-15.467763
28.305119,-0.746773,-15.470647
28.296982,-0.750897,-15.479971
28.278156,-0.756610,-15.464992
