gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378132.861954,-8.755913,-0.325043,0.038325,0.013971,0.034677
6378136.297557,-3.061838,0.113805,0.154052,0.209316,-1.095214
6378139.342825,-5.893513,-11.311564,0.085666,0.165588,-1.976935
6378137.378613,-8.012281,-10.086271,0.025255,0.204598,-1.976124
6378143.777290,-0.972337,-4.246880,-0.033685,0.053073,-1.957447
6378146.122818,-0.786532,-16.276999,0.037206,0.161032,-1.989264
6378135.555113,1.718495,-8.308238,0.025844,0.145046,-2.018918
6378131.437526,10.769976,-15.886829,0.010680,0.156675,-1.904328
6378123.638427,4.990368,-12.140224,-0.035209,0.167544,-2.028198
6378142.172599,-2.396095,-10.853226,-0.008456,0.123936,-2.018299
6378134.498156,6.365282,-17.612259,0.033425,0.147159,-1.848157
6378144.554315,-6.607343,-26.207549,-0.068904,0.143212,-1.907077
6378145.359819,1.287253,-29.828061,-0.117216,0.244546,-1.964744
6378140.679933,4.916375,-16.853711,-0.031703,0.148903,-2.044044
6378144.300746,0.319390,-26.211455,-0.122776,0.483606,-1.748150
6378139.859543,8.643492,-20.008726,-0.297008,0.845809,-1.380542
6378139.910725,-4.299625,-22.774694,-0.401423,1.084762,-1.054186
6378134.168959,-0.592620,-20.200921,-0.393628,1.377732,-0.742573
6378131.708946,7.524899,-28.452678,-0.421707,1.531485,-0.671972
6378131.843853,3.157970,-42.740010,-0.368458,1.723932,-0.491844
6378129.804037,6.646244,-24.935832,-0.177751,1.803319,-0.526473
6378139.022098,18.900643,-26.388021,-0.139408,1.847747,-0.713578
6378130.597577,10.192886,-32.040547,0.047901,1.985821,-0.944280
6378136.405792,15.639594,-38.130241,0.294189,2.043120,-1.396131
6378134.091015,12.762471,-37.316697,-0.412256,2.336121,-1.971077
6378128.328035,12.030214,-43.768657,-0.913969,2.309141,-2.128732
6378123.725231,19.267469,-43.443237,-0.905988,2.297722,-2.164157
6378126.070055,34.000902,-36.863902,-0.908388,2.253185,-2.273744
6378133.388850,24.898156,-39.955868,-0.950012,2.126309,-2.280686
6378136.278522,21.013392,-38.105370,-0.917162,2.239484,-2.153337
6378128.782108,34.419620,-53.702419,-0.911368,2.144656,-2.187419
