ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000063,-0.000100
6378137.000300,0.000184,-0.000300
6378137.000600,0.000355,-0.000600
6378137.001000,0.000573,-0.001000
6378137.001499,0.000833,-0.001500
6378137.002099,0.001130,-0.002100
6378137.002798,0.001462,-0.002800
6378137.003596,0.001825,-0.003600
6378137.004495,0.002216,-0.004501
6378137.005492,0.002632,-0.005501
6378137.006590,0.003072,-0.006602
6378137.007786,0.003534,-0.007802
6378137.009081,0.004015,-0.009103
6378137.010420,0.004514,-0.010504
6378137.011797,0.005029,-0.012005
6378137.013210,0.005560,-0.013607
6378137.014653,0.006104,-0.015308
6378137.016125,0.006662,-0.017110
6378137.017621,0.007232,-0.019011
6378137.019140,0.007813,-0.021013
6378137.020678,0.008404,-0.023115
6378137.022235,0.009006,-0.025317
6378137.023806,0.009617,-0.027619
6378137.025392,0.010237,-0.030021
6378137.026990,0.010866,-0.032523
6378137.028599,0.011503,-0.035126
6378137.030217,0.012148,-0.037828
6378137.031843,0.012801,-0.040631
6378137.033477,0.013461,-0.043533
6378137.035116,0.014129,-0.046536
6378137.036761,0.014803,-0.049639
6378137.038411,0.015485,-0.052842
6378137.040064,0.016173,-0.056145
6378137.041721,0.016868,-0.059548
6378137.043380,0.017570,-0.063051
6378137.045040,0.018279,-0.066654
6378137.046703,0.018994,-0.070357
6378137.048366,0.019716,-0.074160
6378137.050030,0.020444,-0.078063
6378137.051694,0.021180,-0.082066
6378137.053358,0.021921,-0.086170
6378137.055021,0.022670,-0.090373
6378137.056684,0.023425,-0.094676
6378137.058345,0.024187,-0.099079
6378137.060005,0.024956,-0.103583
6378137.061664,0.025731,-0.108186
6378137.063321,0.026514,-0.112889
6378137.064976,0.027303,-0.117692
6378137.066629,0.028100,-0.122595
6378137.068279,0.028904,-0.127598
6378137.069928,0.029715,-0.132701
6378137.071573,0.030533,-0.137904
6378137.073216,0.031358,-0.143207
6378137.074856,0.032191,-0.148609
6378137.076493,0.033032,-0.154112
6378137.078126,0.033880,-0.159714
6378137.079757,0.034736,-0.165417
6378137.081384,0.035600,-0.171219
6378137.083008,0.036471,-0.177121
