ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.144343,0.078781,-0.495008,0.142707,0.126734,-0.998964
6378137.252763,0.269747,-1.980775,0.073298,0.255085,-1.891712
6378137.311694,0.548642,-3.869567,0.046473,0.299163,-1.886096
6378137.349411,0.861644,-5.753590,0.030166,0.324809,-1.882180
6378137.374313,1.194548,-7.634426,0.020377,0.339820,-1.879660
6378137.391550,1.539120,-9.513249,0.014541,0.348637,-1.878099
6378137.404225,1.890555,-11.390839,0.011075,0.353829,-1.877151
6378137.414195,2.246033,-13.267685,0.009022,0.356890,-1.876583
6378137.422562,2.603895,-15.144085,0.007806,0.358696,-1.876244
6378137.429981,2.963166,-17.020221,0.007088,0.359762,-1.876043
6378137.436840,3.323267,-18.896199,0.006663,0.360392,-1.875923
6378137.443367,3.683859,-20.772084,0.006411,0.360764,-1.875853
6378137.449699,4.044741,-22.647914,0.006263,0.360983,-1.875811
6378137.455914,4.405795,-24.523712,0.006175,0.361113,-1.875786
6378137.439851,4.792415,-26.389158,-0.104025,0.486068,-1.821911
6378137.202274,5.419725,-28.121032,-0.367756,0.760672,-1.627458
6378136.724154,6.290550,-29.626332,-0.579668,0.973296,-1.373190
6378136.069744,7.346462,-30.860829,-0.716836,1.132019,-1.091191
6378135.319805,8.538914,-31.813572,-0.769312,1.247817,-0.815317
6378134.558697,9.830260,-32.506658,-0.739766,1.330974,-0.577110
6378133.862635,11.191614,-32.991003,-0.641459,1.388322,-0.402030
6378133.290696,12.598495,-33.338720,-0.494830,1.421624,-0.306527
6378132.879648,14.025523,-33.633132,-0.323376,1.427353,-0.296277
6378132.642961,15.441596,-33.957673,-0.149537,1.397845,-0.365759
6378132.532443,16.926480,-34.486170,-0.188402,1.831086,-0.923630
6378132.161714,19.217012,-35.471049,-0.545719,2.720574,-0.998924
6378131.595076,21.928459,-36.482957,-0.584439,2.703408,-1.023326
6378130.998489,24.626080,-37.514477,-0.606949,2.692587,-1.038637
6378130.384440,27.315110,-38.558131,-0.620114,2.685957,-1.047986
6378129.760159,29.998918,-39.609142,-0.627844,2.681957,-1.053614
6378129.129864,32.679587,-40.664564,-0.632393,2.679564,-1.056974
6378128.496026,35.358386,-41.722613,-0.635075,2.678141,-1.058972
6378127.860099,38.036072,-42.782223,-0.636657,2.677297,-1.060157
6378127.222939,40.713099,-43.842758,-0.637591,2.676796,-1.060858
6378126.585052,43.389736,-44.903839,-0.638142,2.676501,-1.061273
6378125.946734,46.066142,-45.965244,-0.638468,2.676326,-1.061518
6378125.308163,48.742412,-47.026840,-0.638660,2.676222,-1.061663
6378124.669442,51.418602,-48.088549,-0.638774,2.676161,-1.061749
6378124.030632,54.094743,-49.150325,-0.638841,2.676125,-1.061799
6378123.391549,56.766969,-50.223760,-0.640829,2.644502,-1.154241
6378122.743124,59.324566,-51.583693,-0.657760,2.452106,-1.576981
6378122.077084,61.638678,-53.379900,-0.671732,2.154954,-2.020024
6378121.410257,63.601515,-55.613477,-0.653734,1.748889,-2.445287
6378120.790588,65.107991,-58.248125,-0.571395,1.244315,-2.815513
6378120.297700,66.071332,-61.211196,-0.394757,0.667577,-3.095740
6378120.037515,66.438507,-64.397300,-0.102222,0.059522,-3.255907
6378120.131220,66.203060,-67.674382,0.314251,-0.528241,-3.273164
6378120.699757,65.413215,-70.891886,0.845523,-1.038971,-3.133713
6378121.845732,64.173687,-73.890473,1.463839,-1.417640,-2.834041
6378123.641157,62.706435,-76.569488,2.078050,-1.214399,-2.771470
6378125.803767,61.573535,-79.792243,2.259917,-1.091365,-3.690645
6378128.159366,60.521252,-83.949176,2.452279,-1.012687,-4.635685
6378130.655851,59.525293,-88.626527,2.529499,-0.983821,-4.664516
6378133.207892,58.549735,-93.280467,2.571322,-0.968494,-4.644815
6378135.792485,57.586098,-97.918916,2.595949,-0.959481,-4.632972
6378138.396257,56.629479,-102.548085,2.610469,-0.954171,-4.625904
6378141.011342,55.676995,-107.171729,2.619038,-0.951039,-4.621704
6378143.633105,54.726953,-111.792092,2.624096,-0.949190,-4.619214
6378146.258810,53.778351,-116.410513,2.627083,-0.948099,-4.617740
6378148.886844,52.830599,-121.027783,2.628848,-0.947454,-4.616868
6378151.516253,51.883350,-125.644374,2.629890,-0.947073,-4.616353
6378154.146474,50.936398,-130.260563,2.630506,-0.946848,-4.616048
6378156.777176,49.989621,-134.876514,2.630869,-0.946716,-4.615868
6378159.473265,49.054732,-139.435719,2.883902,-0.891363,-4.394155
6378162.602420,48.279173,-143.598032,3.373672,-0.621421,-3.916644
6378166.191860,47.876876,-147.257629,3.791079,-0.146199,-3.389907
6378170.133173,48.038907,-150.370248,4.065135,0.501503,-2.824003
6378174.253509,48.912166,-152.901852,4.139266,1.266689,-2.229352
6378178.333307,50.579850,-154.828963,3.977755,2.077917,-1.616628
6378182.129504,53.048640,-156.138830,3.570081,2.854881,-0.996577
6378185.401800,56.244038,-156.829409,2.932605,3.516998,-0.379840
6378187.939207,60.014428,-156.909175,2.107418,3.992109,0.223215
6378189.584076,64.143515,-156.396768,1.158472,4.224383,0.802662
6378190.310195,68.620221,-155.342323,0.432425,4.933115,1.120908
6378190.568032,73.971222,-154.378549,0.097627,5.779473,0.796520
6378190.516165,79.904792,-153.611109,-0.195163,5.944355,0.808828
6378190.220534,85.839713,-152.766323,-0.381634,5.925834,0.875495
6378189.779641,91.758180,-151.869743,-0.491621,5.911806,0.914609
6378189.253060,97.665008,-150.942733,-0.556513,5.902441,0.937620
6378188.675913,103.564289,-149.997807,-0.594814,5.896533,0.951180
6378188.068917,109.458879,-149.042317,-0.617429,5.892911,0.959179
6378187.444294,115.350617,-148.080595,-0.630784,5.890726,0.963900
6378186.809262,121.240640,-147.115193,-0.638672,5.889419,0.966688
6378186.168080,127.129641,-146.147618,-0.643331,5.888642,0.968335
6378185.523266,133.018034,-145.178760,-0.646084,5.888180,0.969307
6378184.876306,138.906067,-144.209143,-0.647710,5.887907,0.969882
6378184.228079,144.793887,-143.239079,-0.648671,5.887745,0.970221
6378183.579103,150.681581,-142.268750,-0.649238,5.887650,0.970421
6378182.698076,156.506214,-141.179310,-1.420048,5.653175,1.369655
6378180.681453,161.851384,-139.481325,-2.591365,4.974558,2.027145
6378177.606368,166.363058,-137.147444,-3.521867,3.994974,2.636581
6378173.747736,169.778558,-134.237741,-4.146483,2.794890,3.174713
6378169.433702,171.923713,-130.832423,-4.424685,1.469801,3.624691
6378165.019493,172.724112,-127.025131,-4.343429,0.122441,3.976627
6378160.859389,172.208231,-122.915865,-3.917847,-1.145557,4.227754
