gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.157689,0.322667,0.085748
0.337193,0.562080,0.155476
0.414966,0.847900,0.255157
0.494063,1.107465,0.256388
0.611056,1.424345,0.284481
0.600564,1.764260,0.364545
0.614272,1.936628,0.467765
0.725785,2.344368,0.412275
0.805705,2.628080,0.431556
0.864157,2.876196,0.546472
0.919152,3.057586,0.535142
1.000816,3.336326,0.519684
1.036763,3.689786,0.528373
1.034792,3.771636,0.562472
1.023283,3.999381,0.589361
1.115308,4.183033,0.624545
1.198015,4.312112,0.631368
1.188742,4.419325,0.673410
1.148501,4.523134,0.603560
1.095725,4.602743,0.690702
1.150522,4.723703,0.693751
1.202700,4.728446,0.665388
1.225587,4.877631,0.722319
1.142661,4.942818,0.739846
1.174155,4.944345,0.657761
1.198268,4.961535,0.610438
1.145200,4.984583,0.745737
1.196907,5.028224,0.603332
1.187808,5.043479,0.605548
1.155961,5.045840,0.669390
1.197738,5.017481,0.617175
1.179989,5.066869,0.554381
1.248828,5.089727,0.693654
1.260763,5.078761,0.642048
1.219799,5.037663,0.668570
1.292510,5.078772,0.669991
1.163509,5.019813,0.665224
1.204049,4.985949,0.615338
1.143998,5.073565,0.548526
1.169261,5.074326,0.695538
1.149720,5.066456,0.704931
1.210768,4.997345,0.680751
1.166846,5.059978,0.642618
1.204482,4.947363,0.595941
1.284623,4.969305,0.656592
1.155756,4.983965,0.595052
1.193187,4.995580,0.640271
1.225514,4.904375,0.619920
1.115137,4.936773,0.593738
1.162710,4.819107,0.669968
1.142283,4.813515,0.607041
1.126720,4.854501,0.579116
1.193128,4.763164,0.676214
1.094729,4.817389,0.689274
1.139926,4.770073,0.633548
1.073673,4.755134,0.641007
1.123693,4.718745,0.624360
1.086295,4.726948,0.483606
1.107306,4.703904,0.548064
1.081378,4.659798,0.578308
1.074137,4.629055,0.566101
1.074939,4.609385,0.521562
1.089647,4.557719,0.600670
1.128653,4.599344,0.615592
1.030798,4.523279,0.602143
1.045677,4.533631,0.504861
1.043999,4.472105,0.522567
1.037759,4.535698,0.572666
1.070653,4.447086,0.583211
1.097984,4.441866,0.537865
1.064543,4.449646,0.503033
1.060712,4.463777,0.536442
1.057327,4.400581,0.537377
1.045994,4.362273,0.494780
0.987498,4.340605,0.574515
1.059578,4.275030,0.500475
0.977291,4.237473,0.530568
1.024846,4.286315,0.502222
1.009412,4.281103,0.470802
0.953415,4.196025,0.436744
0.958126,4.250026,0.513491
0.961302,4.163286,0.490316
0.917198,4.064333,0.442510
0.983128,4.181668,0.469672
0.914892,4.149403,0.424948
0.913418,4.071449,0.523704
0.920911,4.072056,0.493529
0.938291,4.060338,0.447467
0.946712,4.002226,0.468791
0.928305,3.998979,0.453802
