ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.137894,0.286479,0.078437
0.261921,0.572961,0.148977
0.373398,0.859452,0.212354
0.473513,1.145952,0.269235
0.563344,1.432464,0.320221
0.643868,1.718989,0.365858
0.715967,2.005527,0.406640
0.780441,2.292077,0.443015
0.838016,2.578639,0.475389
0.889346,2.865212,0.504129
0.935025,3.140195,0.529578
0.975592,3.386129,0.552065
1.011536,3.605797,0.571874
1.043302,3.801714,0.589262
1.071290,3.976159,0.604465
1.095866,4.131190,0.617694
1.117357,4.268671,0.629143
1.136063,4.390288,0.638986
1.152254,4.497567,0.647380
1.166174,4.591887,0.654470
1.178044,4.674496,0.660383
1.188064,4.746525,0.665239
1.196416,4.808994,0.669141
1.203262,4.862828,0.672187
1.208752,4.908864,0.674462
1.213020,4.947858,0.676045
1.216185,4.980494,0.677006
1.218359,5.007392,0.677410
1.219640,5.029111,0.677314
1.220118,5.046159,0.676769
1.219874,5.058993,0.675824
1.218981,5.068029,0.674520
1.217506,5.073641,0.672896
1.215508,5.076169,0.670986
1.213041,5.075920,0.668821
1.210155,5.073171,0.666430
1.206893,5.068174,0.663838
1.203296,5.061155,0.661068
1.199399,5.052321,0.658140
1.195236,5.041856,0.655073
1.190835,5.029930,0.651884
1.186224,5.016693,0.648588
1.181427,5.002284,0.645199
1.176464,4.986826,0.641728
1.171357,4.970433,0.638187
1.166121,4.953205,0.634586
1.160775,4.935235,0.630934
1.155331,4.916605,0.627238
1.149803,4.897392,0.623506
1.144203,4.877661,0.619745
1.138541,4.857476,0.615961
1.132828,4.836892,0.612157
1.127070,4.815958,0.608341
1.121277,4.794720,0.604515
1.115455,4.773218,0.600683
1.109611,4.751491,0.596849
1.103750,4.729570,0.593016
1.097878,4.707486,0.589186
1.091998,4.685267,0.585363
1.086116,4.662937,0.581548
1.080234,4.640518,0.577742
1.074357,4.618030,0.573949
1.068486,4.595491,0.570169
1.062626,4.572917,0.566404
1.056778,4.550324,0.562655
1.050944,4.527723,0.558923
1.045127,4.505128,0.555209
1.039328,4.482548,0.551514
1.033548,4.459994,0.547839
1.027790,4.437473,0.544184
1.022053,4.414995,0.540549
1.016340,4.392564,0.536936
1.010651,4.370189,0.533345
1.004987,4.347875,0.529775
0.999349,4.325626,0.526228
