ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000002,0.000100,-0.000100
6378137.000005,0.000300,-0.000300
6378137.000010,0.000600,-0.000600
6378137.000016,0.001000,-0.001000
6378137.000023,0.001500,-0.001500
6378137.000031,0.002101,-0.002099
6378137.000039,0.002794,-0.002799
6378137.000048,0.003552,-0.003599
6378137.000056,0.004367,-0.004498
6378137.000065,0.005234,-0.005497
6378137.000073,0.006147,-0.006596
6378137.000081,0.007102,-0.007795
6378137.000088,0.008096,-0.009093
6378137.000093,0.009123,-0.010492
6378137.000098,0.010181,-0.011990
6378137.000101,0.011268,-0.013588
6378137.000102,0.012379,-0.015285
6378137.000101,0.013513,-0.017082
6378137.000098,0.014668,-0.018979
6378137.000093,0.015841,-0.020976
6378137.000085,0.017031,-0.023073
6378137.000074,0.018237,-0.025269
6378137.000061,0.019456,-0.027564
6378137.000044,0.020688,-0.029960
6378137.000023,0.021932,-0.032455
6378136.999999,0.023186,-0.035050
6378136.999971,0.024449,-0.037744
6378136.999939,0.025721,-0.040539
6378136.999902,0.027002,-0.043432
6378136.999861,0.028289,-0.046426
6378136.999816,0.029584,-0.049519
6378136.999765,0.030885,-0.052712
6378136.999710,0.032191,-0.056004
6378136.999649,0.033503,-0.059396
6378136.999583,0.034820,-0.062887
6378136.999512,0.036141,-0.066479
6378136.999435,0.037467,-0.070169
6378136.999351,0.038797,-0.073960
6378136.999262,0.040131,-0.077850
6378136.999166,0.041469,-0.081839
6378136.999064,0.042810,-0.085929
6378136.998956,0.044155,-0.090117
6378136.998840,0.045502,-0.094406
6378136.998718,0.046853,-0.098794
6378136.998589,0.048207,-0.103281
6378136.998452,0.049563,-0.107868
6378136.998308,0.050923,-0.112554
6378136.998156,0.052285,-0.117340
6378136.997997,0.053650,-0.122226
6378136.997830,0.055017,-0.127211
6378136.997655,0.056387,-0.132296
6378136.997471,0.057760,-0.137480
6378136.997279,0.059135,-0.142763
6378136.997079,0.060512,-0.148146
6378136.996870,0.061892,-0.153629
6378136.996653,0.063275,-0.159211
6378136.996426,0.064660,-0.164892
6378136.996191,0.066047,-0.170673
6378136.995946,0.067437,-0.176554
