gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378145.350920,211.901433,-318.216060,4.092670,0.856438,-6.704435
6378156.683545,217.774507,-329.116427,4.802879,-0.773107,-6.292923
6378161.839752,215.424219,-321.070787,5.288884,-2.348240,-5.488538
6378164.800894,207.739193,-323.589257,5.358533,-3.590032,-4.570933
6378160.465498,207.565997,-347.758057,5.217478,-4.801358,-3.301066
6378173.760929,196.748685,-343.062213,4.930532,-5.977812,-2.118861
6378173.505905,194.621693,-352.045027,4.287924,-6.656627,-0.765255
6378174.949031,183.066514,-351.116256,3.328910,-7.252169,0.617152
6378187.059249,177.782918,-351.007090,2.272980,-7.474345,1.796495
6378194.879005,165.866906,-341.414760,2.743255,-7.603963,2.595753
6378192.095198,160.888185,-345.940214,3.970917,-7.764466,2.744690
6378191.130150,157.773415,-332.029758,4.129230,-7.764386,2.783070
6378198.721399,148.194725,-327.785753,4.195736,-7.777661,2.832610
6378202.104145,143.966782,-326.858436,4.325292,-7.622232,2.910893
6378199.081236,132.879010,-340.312518,4.257943,-7.714327,2.873692
6378210.159720,125.147419,-325.790484,4.295777,-7.616445,2.738500
6378220.491873,116.063313,-324.777331,4.299826,-7.568968,2.857304
6378222.716964,105.191232,-315.116360,4.268054,-7.526071,2.757878
6378230.742942,106.631730,-323.885243,4.253883,-7.574734,2.901100
6378223.517729,95.169880,-299.661431,4.306152,-7.573929,2.787424
6378232.384136,87.995106,-324.191618,4.344826,-7.607608,2.906913
6378235.379138,79.417290,-311.183081,4.262389,-7.554518,2.927008
6378238.263821,74.720983,-302.268235,4.501796,-7.422268,2.942811
6378250.948844,68.739688,-294.767262,4.948356,-7.220351,3.173918
6378244.984808,53.049147,-302.973345,5.140105,-6.811205,3.584981
6378256.344106,59.799017,-308.406882,5.454709,-6.550025,3.796228
6378260.790632,44.539862,-281.360095,5.770356,-6.061035,4.108406
6378261.628095,36.795723,-291.590331,5.957557,-5.794884,4.290657
6378271.515590,36.754147,-280.780562,6.254335,-5.328258,4.673879
6378274.456871,23.429512,-271.426447,6.491986,-4.926365,4.799024
6378281.744489,20.588340,-287.049811,6.687562,-4.529958,5.170664
6378293.169701,17.198472,-266.774999,6.777559,-4.123529,5.334388
