ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.000000,0.000000,0.000000
0.002768,0.008123,-0.010000
0.005256,0.015435,-0.019999
0.007493,0.022017,-0.029998
0.009502,0.027944,-0.039997
0.011305,0.033282,-0.049994
0.012921,0.038090,-0.059991
0.014368,0.042422,-0.069987
0.015663,0.046327,-0.079982
0.016819,0.049846,-0.089977
0.017851,0.053020,-0.099971
0.018770,0.055883,-0.109964
0.019588,0.058467,-0.119957
0.020313,0.060800,-0.129949
0.020956,0.062908,-0.139941
0.021525,0.064813,-0.149933
0.022026,0.066536,-0.159924
0.022466,0.068095,-0.169915
0.022852,0.069507,-0.179905
0.023188,0.070788,-0.189895
0.023479,0.071949,-0.199886
0.023730,0.073005,-0.209876
0.023945,0.073965,-0.219865
0.024127,0.074839,-0.229855
0.024280,0.075637,-0.239845
0.024405,0.076366,-0.249834
0.024507,0.077033,-0.259824
0.024587,0.077644,-0.269813
0.024647,0.078206,-0.279803
0.024689,0.078724,-0.289792
0.024714,0.079202,-0.299782
0.024726,0.079644,-0.309771
0.024723,0.080055,-0.319761
0.024709,0.080438,-0.329750
0.024684,0.080795,-0.339740
0.024649,0.081130,-0.349729
0.024604,0.081444,-0.359718
0.024552,0.081741,-0.369708
0.024491,0.082022,-0.379697
0.024424,0.082290,-0.389687
0.024351,0.082544,-0.399677
0.024271,0.082788,-0.409666
0.024187,0.083022,-0.419656
0.024097,0.083248,-0.429645
0.024003,0.083466,-0.439635
0.023904,0.083678,-0.449625
0.023802,0.083884,-0.459615
0.023696,0.084086,-0.469604
0.023587,0.084283,-0.479594
0.023475,0.084477,-0.489584
0.023360,0.084667,-0.499574
0.023242,0.084856,-0.509564
0.023121,0.085042,-0.519554
0.022998,0.085226,-0.529544
0.022873,0.085409,-0.539533
0.022746,0.085591,-0.549523
0.022616,0.085773,-0.559513
0.022485,0.085954,-0.569503
0.022352,0.086135,-0.579493
0.022217,0.086315,-0.589483
0.022080,0.086496,-0.599473
0.021941,0.086677,-0.609464
0.021802,0.086859,-0.619454
0.021660,0.087041,-0.629444
0.021517,0.087224,-0.639434
0.021373,0.087408,-0.649424
0.021227,0.087592,-0.659414
0.021080,0.087778,-0.669404
0.020931,0.087964,-0.679394
0.020782,0.088152,-0.689385
0.020631,0.088341,-0.699375
0.020479,0.088531,-0.709365
0.020325,0.088722,-0.719355
0.020171,0.088914,-0.729345
0.020015,0.089108,-0.739336
0.019858,0.089303,-0.749326
0.019700,0.089499,-0.759316
0.019541,0.089697,-0.769306
0.019381,0.089896,-0.779297
0.019220,0.090097,-0.789287
0.019058,0.090298,-0.799277
0.018894,0.090502,-0.809267
0.018730,0.090706,-0.819258
0.018565,0.090912,-0.829248
0.018398,0.091119,-0.839238
0.018231,0.091328,-0.849228
0.018063,0.091538,-0.859219
0.017893,0.091750,-0.869209
0.017723,0.091963,-0.879199
0.017552,0.092177,-0.889190
0.017380,0.092392,-0.899180
0.017207,0.092609,-0.909170
0.017033,0.092828,-0.919160
0.016858,0.093047,-0.929151
0.016682,0.093268,-0.939141
0.016505,0.093491,-0.949131
0.016327,0.093714,-0.959122
0.016149,0.093939,-0.969112
0.015969,0.094165,-0.979102
0.015789,0.094393,-0.989093
0.015608,0.094622,-0.999083
0.015426,0.094852,-1.009073
0.015243,0.095083,-1.019064
0.015059,0.095316,-1.029054
0.014874,0.095550,-1.039044
0.014689,0.095785,-1.049034
0.014503,0.096021,-1.059025
0.014316,0.096258,-1.069015
0.014128,0.096497,-1.079005
0.013939,0.096737,-1.088996
0.013749,0.096978,-1.098986
0.013559,0.097220,-1.108976
0.013368,0.097463,-1.118967
0.013176,0.097708,-1.128957
0.012983,0.097953,-1.138947
0.012790,0.098200,-1.148937
0.012596,0.098448,-1.158928
0.012401,0.098696,-1.168918
0.012205,0.098946,-1.178908
0.012008,0.099197,-1.188899
0.011811,0.099449,-1.198889
0.011613,0.099702,-1.208879
0.011414,0.099956,-1.218869
0.011215,0.100212,-1.228860
0.011015,0.100468,-1.238850
0.010814,0.100725,-1.248840
0.010612,0.100983,-1.258830
0.010410,0.101242,-1.268821
0.010207,0.101502,-1.278811
