ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.673385,-3.116733,-16.287610
27.672949,-3.127519,-16.286283
27.672513,-3.138247,-16.284961
27.672075,-3.148918,-16.283645
27.671636,-3.159533,-16.282335
27.671196,-3.170091,-16.281030
27.670755,-3.180594,-16.279731
27.670313,-3.191041,-16.278438
27.669871,-3.201432,-16.277150
27.669427,-3.211769,-16.275867
27.668983,-3.222051,-16.274591
27.668537,-3.232278,-16.273320
27.668091,-3.242451,-16.272054
27.667645,-3.252571,-16.270794
27.667197,-3.262636,-16.269539
27.666749,-3.272649,-16.268290
27.666301,-3.282608,-16.267046
27.665852,-3.292515,-16.265808
27.665402,-3.302370,-16.264575
27.664952,-3.312172,-16.263348
27.664501,-3.321922,-16.262126
27.664050,-3.331621,-16.260909
27.663598,-3.341268,-16.259698
27.663146,-3.350864,-16.258492
27.662694,-3.360409,-16.257291
27.662241,-3.369904,-16.256096
27.661788,-3.379349,-16.254906
27.661335,-3.388744,-16.253721
27.660882,-3.398089,-16.252542
27.660428,-3.407384,-16.251368
27.659975,-3.416630,-16.250199
27.659521,-3.425828,-16.249035
27.659067,-3.434976,-16.247876
27.658613,-3.444076,-16.246723
27.658158,-3.453128,-16.245574
27.657704,-3.462133,-16.244431
27.657250,-3.471089,-16.243293
27.656796,-3.479998,-16.242160
27.656342,-3.488860,-16.241032
27.655888,-3.497675,-16.239909
27.655434,-3.506444,-16.238792
27.654980,-3.515166,-16.237679
27.654526,-3.523842,-16.236571
27.654072,-3.532472,-16.235469
27.653619,-3.541056,-16.234371
27.653166,-3.549595,-16.233278
27.652713,-3.558089,-16.232190
27.652260,-3.566537,-16.231107
27.651807,-3.574941,-16.230029
27.651355,-3.583301,-16.228956
27.650903,-3.591617,-16.227888
27.650452,-3.599888,-16.226825
27.650001,-3.608116,-16.225766
27.649550,-3.616300,-16.224712
27.649099,-3.624441,-16.223663
27.648649,-3.632538,-16.222619
27.648199,-3.640593,-16.221580
27.647750,-3.648606,-16.220545
27.647302,-3.656576,-16.219515
27.646853,-3.664504,-16.218490
27.646405,-3.672390,-16.217470
27.645958,-3.680234,-16.216454
27.645511,-3.688037,-16.215443
27.645065,-3.695798,-16.214437
27.644620,-3.703518,-16.213435
27.644175,-3.711198,-16.212438
27.643730,-3.718837,-16.211445
27.643286,-3.726436,-16.210457
27.642843,-3.733994,-16.209473
27.642400,-3.741512,-16.208495
27.641958,-3.748991,-16.207520
27.641517,-3.756430,-16.206550
27.641077,-3.763830,-16.205585
27.640637,-3.771191,-16.204624
27.640197,-3.778513,-16.203668
27.639759,-3.785796,-16.202716
27.639321,-3.793040,-16.201768
27.638884,-3.800247,-16.200825
27.638448,-3.807415,-16.199886
27.638012,-3.814545,-16.198952
27.637578,-3.821638,-16.198021
27.637144,-3.828693,-16.197096
27.636711,-3.835711,-16.196174
27.636278,-3.842692,-16.195257
27.635847,-3.849635,-16.194344
27.635416,-3.856543,-16.193436
27.634986,-3.863413,-16.192532
27.634557,-3.870248,-16.191632
27.634129,-3.877046,-16.190736
27.633702,-3.883808,-16.189844
27.633276,-3.890535,-16.188957
27.632850,-3.897226,-16.188073
27.632426,-3.903881,-16.187194
27.632002,-3.910502,-16.186319
27.631580,-3.917087,-16.185449
27.631158,-3.923638,-16.184582
27.630737,-3.930154,-16.183719
27.630317,-3.936636,-16.182861
27.629898,-3.943083,-16.182006
27.629480,-3.949497,-16.181156
27.629064,-3.955876,-16.180309
27.628648,-3.962222,-16.179467
27.628233,-3.968534,-16.178628
27.627819,-3.974813,-16.177794
27.627406,-3.981059,-16.176963
27.626994,-3.987272,-16.176137
27.626583,-3.993452,-16.175314
27.626173,-3.999599,-16.174495
27.625764,-4.005714,-16.173680
27.625356,-4.011796,-16.172869
27.624949,-4.017847,-16.172062
27.624544,-4.023865,-16.171259
27.624139,-4.029852,-16.170459
27.623735,-4.035807,-16.169664
27.623333,-4.041730,-16.168872
27.622931,-4.047623,-16.168084
27.622531,-4.053484,-16.167299
27.622131,-4.059314,-16.166519
27.621733,-4.065113,-16.165742
27.621336,-4.070882,-16.164969
27.620940,-4.076621,-16.164200
27.620545,-4.082329,-16.163434
27.620151,-4.088007,-16.162672
27.619759,-4.093655,-16.161913
27.619367,-4.099273,-16.161159
27.618976,-4.104861,-16.160407
27.618587,-4.110420,-16.159660
27.618199,-4.115950,-16.158916
27.617812,-4.121450,-16.158176
27.617426,-4.126921,-16.157439
27.617041,-4.132364,-16.156706
