gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378138.619377,3.276184,2.386206,-0.099299,0.078005,0.068206
6378149.203461,2.573361,-4.240836,0.068260,0.087581,-0.985165
6378138.108220,-1.975852,-2.427140,0.023829,0.176912,-1.959801
6378134.737126,5.571848,2.084871,-0.012702,0.157892,-1.935682
6378143.406942,-3.937430,-16.562752,-0.020993,0.194571,-1.859761
6378136.032092,8.190868,-13.734124,-0.027729,0.180063,-1.907032
6378133.323811,-4.776850,-6.848597,0.000474,0.153848,-1.900081
6378135.458007,-2.246995,0.713245,0.011621,0.159428,-1.976799
6378134.068010,2.297821,-4.402289,-0.127481,0.176967,-1.930519
6378139.886478,-0.293463,-19.508354,-0.013375,0.153335,-1.931792
6378139.809686,-4.349934,-8.890835,-0.117288,0.119334,-1.938005
6378132.999913,-3.836479,-22.799684,-0.034410,0.144374,-1.835492
6378134.770737,5.531635,-20.164807,0.078118,0.241439,-1.968363
6378140.524050,-5.773482,-26.654505,-0.079134,0.177353,-1.951303
6378128.643360,10.999938,-16.924869,-0.060031,0.271497,-1.912998
6378134.997573,8.654121,-30.384506,0.000554,0.474611,-1.567870
6378139.278388,4.716696,-15.052773,-0.077740,0.819754,-1.338884
6378130.491980,10.802960,-32.113062,-0.151075,1.085269,-1.049772
6378147.378132,-0.279200,-29.750224,-0.132757,1.265501,-0.790468
6378139.087759,7.640780,-37.604005,-0.140914,1.351431,-0.332728
6378136.333993,10.270190,-34.357022,-0.240894,1.446681,-0.123837
6378144.107508,7.089654,-41.326864,-0.380818,1.655935,0.164981
6378127.592782,16.454188,-37.633462,-0.294855,1.755809,0.363073
6378137.570317,8.276616,-27.178575,-0.372203,1.884358,0.513317
6378135.244949,11.114418,-34.639591,-0.775907,2.365638,0.678400
6378131.072618,17.211901,-29.072853,-1.754441,2.522769,0.134303
6378133.471791,23.654472,-21.288153,-1.869450,2.437564,0.172882
6378126.971350,22.906542,-11.529295,-1.862382,2.461313,0.051670
6378121.403914,25.090539,-37.172405,-1.964974,2.441549,0.075431
6378126.715663,25.814564,-23.819002,-1.989564,2.386632,0.007137
6378124.339289,26.449503,-47.240609,-1.950227,2.449019,0.004952
6378122.310424,28.240002,-24.751550,-1.985716,2.310808,-0.025653
6378126.631059,34.953382,-24.730181,-1.966799,2.368669,0.012252
6378114.564267,41.404829,-9.425592,-1.986230,2.479953,-0.018898
6378112.276034,40.559786,-29.070318,-1.942425,2.396674,0.064422
6378114.784855,43.053927,-38.773750,-1.878233,2.419843,-0.076403
6378113.222778,48.307369,-18.852321,-2.009989,2.442200,0.009349
6378114.786780,62.252148,-26.011997,-1.945024,2.339101,-0.031050
6378115.087180,52.869678,-30.792860,-1.991437,2.369529,0.107466
6378095.724561,47.410442,-27.817958,-1.951041,2.692395,-0.364923
6378107.584348,53.556412,-33.696076,-1.820249,2.818449,-0.717778
6378097.531164,54.602224,-25.259901,-1.693830,2.998861,-1.246060
6378093.172944,58.603019,-32.986888,-1.567375,2.936118,-1.939788
6378097.134086,59.092258,-31.041065,-1.390301,2.861365,-2.555630
6378099.811195,62.428076,-34.331556,-1.035240,2.678271,-3.291234
6378093.268702,66.843344,-36.324863,-0.764619,2.212137,-3.897744
6378105.740334,77.478755,-55.063566,-0.205842,1.591849,-4.417693
6378096.198705,62.878446,-40.803468,0.320619,0.941549,-4.837176
6378104.899622,76.574946,-53.266388,0.838491,0.347593,-5.159891
6378102.154793,70.569532,-54.817136,-0.035235,0.488492,-5.048571
6378094.839765,70.085963,-62.645956,-0.768178,0.430821,-5.433618
6378101.489400,73.705798,-54.507340,-0.833783,0.438329,-5.518716
6378096.636385,65.853077,-83.952473,-0.870034,0.397712,-5.561100
6378091.781534,85.670099,-77.133266,-0.872055,0.452271,-5.494931
6378092.395419,72.210297,-90.341181,-0.884137,0.367610,-5.541768
